Family,Genus,Subgenus,Species,Subspecies,Authority,Notes
Megachilidae,Chelostoma,Foveosmia,campanularum,NA,"(Kirby, 1802)",NA
Megachilidae,Chelostoma,Foveosmia,distinctum,NA,"(Stöckhert, 1929)",NA
Megachilidae,Chelostoma,Chelostoma,edentulum,NA,"Pérez, 1895",NA
Megachilidae,Chelostoma,Chelostoma,emarginatum,NA,"(Nylander, 1856)",NA
Megachilidae,Chelostoma,Chelostoma,florisomne,NA,"(Linnaeus, 1758)",NA
Megachilidae,Chelostoma,Foveosmia,foveolatum,NA,"(Morawitz, 1868)",NA
Megachilidae,Chelostoma,Gyrodromella,nasutum,NA,"Pérez, 1895",NA
Megachilidae,Chelostoma,Gyrodromella,rapunculi,NA,"(Lepeletier, 1841)",NA
Megachilidae,Coelioxys,Allocoelioxys,acanthurus,NA,"(Illiger, 1806)",NA
Megachilidae,Coelioxys,Allocoelioxys,afer,NA,"Lepeletier, 1841",NA
Megachilidae,Coelioxys,Mesocoelioxys,argenteus,NA,"Lepeletier, 1841",NA
Megachilidae,Coelioxys,Coelioxys,aurolimbatus,NA,"Förster, 1853",NA
Megachilidae,Coelioxys,Allocoelioxys,brevis,NA,"Eversmann, 1852",NA
Megachilidae,Coelioxys,Allocoelioxys,caudatus,NA,"Spinola, 1838",NA
Megachilidae,Coelioxys,Coelioxys,conoideus,NA,"(Illiger, 1806)",NA
Megachilidae,Coelioxys,Allocoelioxys,coturnix,NA,"Pérez, 1883",NA
Megachilidae,Coelioxys,Allocoelioxys,echinatus,NA,"Förster, 1853",NA
Megachilidae,Coelioxys,Coelioxys,elongatus,NA,"Lepeletier, 1841",NA
Megachilidae,Coelioxys,Allocoelioxys,emarginatus,NA,"Förster, 1853",NA
Megachilidae,Coelioxys,Allocoelioxys,haemorrhoa,NA,"Förster, 1853",NA
Megachilidae,Coelioxys,Boreocoelioxys,inermis,NA,"(Kirby, 1802)",NA
Megachilidae,Coelioxys,Coelioxys,lanceolata,NA,"Nylander, 1852",NA
Megachilidae,Coelioxys,Boreocoelioxys,mandibularis,NA,"Nylander, 1848",NA
Megachilidae,Coelioxys,Allocoelioxys,obtusus,NA,"Pérez, 1883",NA
Megachilidae,Coelioxys,Boreocoelioxys,osmiae,NA,"Alfken, 1928",NA
Megachilidae,Coelioxys,Allocoelioxys,polycentris,NA,"Förster, 1853",NA
Megachilidae,Coelioxys,Coelioxys,quadridentatus,NA,"(Linnaeus, 1758)",NA
Megachilidae,Coelioxys,Boreocoelioxys,rufescens,NA,"Lepeletier & Serville, 1825",NA
Colletidae,Colletes,NA,abeillei,NA,"Pérez, 1903",NA
Colletidae,Colletes,NA,acutiformis,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,acutus,NA,"Pérez, 1903",NA
Colletidae,Colletes,NA,albomaculatus,NA,"(Lucas, 1849)",NA
Colletidae,Colletes,NA,brevigena,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,canescens,NA,"Smith, 1853",NA
Colletidae,Colletes,NA,carinatus,NA,"Radoszkowski, 1891",NA
Colletidae,Colletes,NA,collaris,NA,"Dours, 1872",NA
Colletidae,Colletes,NA,cunicularis,NA,"(Linnaeus, 1761)",NA
Colletidae,Colletes,NA,daviesanus,NA,"Smith, 1846",NA
Colletidae,Colletes,NA,dinizi,NA,"Kuhlman, Ortiz & Ornosa 2001",NA
Colletidae,Colletes,NA,dusmeti,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,eous,NA,"Morice, 1904",NA
Colletidae,Colletes,NA,escalerai,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,floralis,NA,"Eversmann, 1852",NA
Colletidae,Colletes,NA,fodiens,NA,"(Geoffroy in Fourcroy, 1785)",NA
Colletidae,Colletes,NA,foveolaris,NA,"Pérez, 1903",NA
Colletidae,Colletes,NA,gallicus,NA,"Radoszkowski, 1891",NA
Colletidae,Colletes,NA,hederae,NA,"Schmidt & Westrich, 1993",NA
Colletidae,Colletes,NA,hylaeformis,NA,"Eversmann, 1852",NA
Colletidae,Colletes,NA,intricans,NA,"Spinola, 1838",NA
Colletidae,Colletes,NA,ligatus,NA,"Erichson, 1835",NA
Colletidae,Colletes,NA,maidli,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,marginatus,NA,"Smith, 1846",NA
Colletidae,Colletes,NA,merceti,NA,"Noskiewicz, 1936",NA
Colletidae,Colletes,NA,mlokossewiczi,NA,"Radoszkowski, 1891",NA
Colletidae,Colletes,NA,nigricans,NA,"Gistel, 1857",NA
Colletidae,Colletes,NA,noskiewiczi,NA,"Cockerell, 1942",NA
Colletidae,Colletes,NA,pulchellus,NA,"Pérez, 1903",NA
Colletidae,Colletes,NA,schmidi,NA,"Noskiewicz, 1962",NA
Colletidae,Colletes,NA,sierrensis,NA,"Frey-Gessner, 1901",NA
Colletidae,Colletes,NA,similis,NA,"Schenck, 1853",NA
Colletidae,Colletes,NA,succinctus,NA,"(Linnaeus, 1785)",NA
Colletidae,Colletes,NA,tuberculiger,NA,"Noskiewicz, 1936",NA
Melittidae,Dasypoda,Heterodasypoda,albimana,NA,"Pérez, 1905",NA
Melittidae,Dasypoda,Megadasypoda,argentata,NA,"Panzer, 1809",NA
Melittidae,Dasypoda,Microdasypoda,cingulata,NA,"Erichson, 1835",NA
Melittidae,Dasypoda,Microdasypoda,crassicornis,NA,"Friese, 1896",NA
Melittidae,Dasypoda,Dasypoda,dusmeti,NA,"Quilis, 1928",NA
Melittidae,Dasypoda,Dasypoda,hirtipes,NA,"(Fabricius, 1793)",NA
Melittidae,Dasypoda,Heterodasypoda,iberica,NA,"Warncke, 1973",NA
Melittidae,Dasypoda,Heterodasypoda,michezi,NA,"Radchencko, 2017",NA
Melittidae,Dasypoda,Heterodasypoda,morotei,NA,"Quilis, 1928",NA
Melittidae,Dasypoda,Heterodasypoda,pyrotrichia,eatoni,"Saunders, 1881",NA
Melittidae,Dasypoda,Megadasypoda,visnaga,NA,"(Rossi, 1790)",NA
Megachilidae,Dioxys,NA,ardens,NA,"Gerstäcker, 1869",NA
Megachilidae,Dioxys,NA,cinctus,NA,"(Jurine, 1807)",NA
Megachilidae,Dioxys,NA,moestus,NA,"Costa, 1883",NA
Megachilidae,Dioxys,NA,pumilus,NA,"Gerstäcker, 1869",NA
Megachilidae,Dioxys,NA,schenckii,NA,"Hagens, 1882",NA
Halictidae,Dufourea,Alpinodufourea,alpina,NA,"Morawitz, 1865",NA
Halictidae,Dufourea,Dufourea,balearica,NA,"Ebmer, 2015",NA
Halictidae,Dufourea,Halictoides�,dentiventris,NA,"(Nylander, 1848)",NA
Halictidae,Dufourea,Dentirophites,gaullei,NA,"Vachal, 1897",NA
Halictidae,Dufourea,Dufourea,halictula,NA,"(Nylander, 1852)",NA
Halictidae,Dufourea,Glossadufourea,longiglossa,NA,"Ebmer, 1993",NA
Halictidae,Dufourea,Dentirophites,lusitanica,NA,"Ebmer, 1999",NA
Halictidae,Dufourea,Merrophites,merceti,NA,"Vachal, 1907",NA
Halictidae,Dufourea,Dufourea,minuta,NA,"Lepeletier, 1841",NA
Halictidae,Dufourea,Cephalictoides,paradoxa,NA,"(Morawitz, 1867)",NA
Halictidae,Dufourea,Dufourea,trautmanni,NA,"Dusmet, 1935",NA
Megachilidae,Ensliniana,NA,bidentata,NA,"(Friese, 1899)",NA
Apidae,Epeolus,NA,alpinus,NA,"Friese, 1893",NA
Apidae,Epeolus,NA,aureovestitus,NA,"Dours, 1873",NA
Apidae,Epeolus,NA,cruciger,NA,"(Panzer, 1799)",NA
Apidae,Epeolus,NA,fallax,NA,"Morawitz, 1872",NA
Apidae,Epeolus,NA,fasciatus,NA,"Friese, 1895",NA
Apidae,Epeolus,NA,ibericus,NA,"Bogusch, 2018",NA
Apidae,Epeolus,NA,intermedius,NA,Pérez 1884,NA
Apidae,Epeolus,NA,productulus,NA,"Bischoff, 1930",NA
Apidae,Epeolus,NA,transitorius,NA,"Eversmann, 1852","A. julliani is synonym, listed by Ortiz-Sanchez"
Apidae,Epeolus,NA,variegatus,NA,"(Linnaeus, 1758)",NA
Apidae,Eucera,Eucera,algira,NA,Brullé 1840,NA
Apidae,Eucera,Synhalonia,alternans,NA,"(Brullé, 1832)",NA
Apidae,Eucera,Eucera,barbiventris,NA,"Pérez, 1902",NA
Apidae,Eucera,Synhalonia,brachycera,NA,"Gribodo, 1893",NA
Apidae,Eucera,Eucera,caspica,NA,"Morawitz, 1873",NA
Apidae,Eucera,Eucera,chrysopyga,NA,"Pérez, 1879",NA
Apidae,Eucera,Tetralonia,cinctella,NA,"(Saunders, 1908)",NA
Apidae,Eucera,Eucera,cineraria,NA,"Eversmann, 1852",NA
Apidae,Eucera,Eucera,clypeata,NA,"Erichson, 1835",NA
Apidae,Eucera,Eucera,codinai,NA,"Dusmet, 1926",NA
Apidae,Eucera,Eucera,collaris,NA,"Dours, 1873",NA
Apidae,Eucera,Synhalonia,commixta,NA,"(Dalla Torre & Friese, 1894)",NA
Apidae,Eucera,Eucera,dalmatica,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,decolorata,NA,"Gribodo, 1924",NA
Apidae,Eucera,Tetralonia,dentata,NA,"(Germar, 1839)",NA
Apidae,Eucera,Eucera,elongatula,NA,"Vachal, 1907",NA
Apidae,Eucera,Eucera,eucnemidea,NA,"Dours, 1873",NA
Apidae,Eucera,Tetralonia,fulvescens,NA,"(Giraud, 1863)",NA
Apidae,Eucera,Eucera,gracilipes,NA,(Pérez  1895),NA
Apidae,Eucera,Tetralonia,graja,NA,"(Eversmann, 1852)",NA
Apidae,Eucera,Eucera,hispaliensis,NA,"Pérez, 1902",NA
Apidae,Eucera,Eucera,hispana,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Synhalonia,hungarica,NA,"Friese, 1896",NA
Apidae,Eucera,Tetralonia,iberica,NA,"(Dusmet, 1926)",NA
Apidae,Eucera,Eucera,interrupta,NA,"Bär, 1850",NA
Apidae,Eucera,Tetralonia,julliani,NA,"(Pérez, 1879)",NA
Apidae,Eucera,Eucera,longicornis,NA,"(Linnaeus, 1758)",NA
Apidae,Eucera,Tetralonia,malvae,NA,"(Rossi, 1790)",NA
Apidae,Eucera,Tetralonia,nana,NA,"(Morawitz, 1873)",NA
Apidae,Eucera,Eucera,nigrescens,NA,"Pérez, 1879",NA
Apidae,Eucera,Eucera,nigrifacies,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,nigrilabris,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,notata,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,numida,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,obliterata,NA,"Pérez, 1895",NA
Apidae,Eucera,Eucera,oraniensis,NA,"Lepeletier, 1841",NA
Apidae,Eucera,Eucera,pannonica,NA,"Mocsáry, 1878",NA
Apidae,Eucera,Tetralonia,pollinosa,NA,"(Lepeletier, 1841)",NA
Apidae,Eucera,Eucera,proxima,NA,"Morawitz, 1875","E. graeca Radoszkowski, 1876 is a synonym, listed by Ortiz-Sanchez"
Apidae,Eucera,Synhalonia,quilisi,NA,"(Dusmet, 1926)",NA
Apidae,Eucera,Synhalonia,rufa,NA,"(Lepeletier, 1841)",NA
Apidae,Eucera,Tetralonia,ruficornis,NA,"(Fabricius, 1804)",NA
Apidae,Eucera,Tetralonia,salicariae,NA,"(Lepeletier, 1841)",NA
Apidae,Eucera,Tetralonia,strigata,NA,"(Lepeletier, 1841)",NA
Apidae,Eucera,Eucera,taurica,NA,"Morawitz, 1871",NA
Apidae,Eucera,Synhalonia,tricincta,NA,"Erichson, 1835",NA
Apidae,Eucera,Eucera,vulpes,NA,"Brullé, 1832",NA
Andrenidae,Flavipanurgus,NA,flavus,NA,"(Friese, 1897)",NA
Andrenidae,Flavipanurgus,NA,fuzetus,NA,"Patiny, 1999",NA
Andrenidae,Flavipanurgus,NA,granadensis,NA,"(Warncke, 1987)",NA
Andrenidae,Flavipanurgus,NA,ibericus,NA,"(Warncke, 1972)",NA
Andrenidae,Flavipanurgus,NA,kastiliensis,NA,"(Warncke, 1987)",NA
Andrenidae,Flavipanurgus,NA,merceti,NA,"(Vachal, 1910)",NA
Andrenidae,Flavipanurgus,NA,venustus,NA,Erichson 1835,NA
Apidae,Habropoda,NA,zonatula,NA,"Smith, 1854",NA
Halictidae,Halictus,Seladonia,balearicus,NA,(Pérez  1903),NA
Halictidae,Halictus,Halictus,brunnescens,NA,"(Eversmann, 1852)",NA
Halictidae,Halictus,Halictus,cochlearitarsis,NA,"(Dours, 1872)",NA
Halictidae,Halictus,Seladonia,confusus,NA,"Smith, 1853",NA
Halictidae,Halictus,Halictus,consobrinus,NA,"Pérez, 1895",NA
Halictidae,Halictus,Halictus,crenicornis,NA,"Blüthgen, 1923",NA
Halictidae,Halictus,Halictus,eurygnathus,NA,"Blüthgen, 1931",NA
Halictidae,Halictus,Halictus,fulvipes,NA,"(Klug, 1817)",NA
Halictidae,Halictus,Halictus,fumatipennis,NA,"Blüthgen, 1923",Probably the female of H. jaramielicus
Halictidae,Halictus,Seladonia,gavarnicus,NA,"Pérez, 1903",NA
Halictidae,Halictus,Seladonia,gemellus,NA,(Pauly  2015),NA
Halictidae,Halictus,Seladonia,gemmeus,NA,"Dours, 1872",NA
Halictidae,Halictus,Halictus,jaramielicus,NA,"Blüthgen, 1923",Probably the male of H. fumatipennis
Halictidae,Halictus,Seladonia,kessleri,NA,"(Bramson, 1879)",NA
Halictidae,Halictus,Halictus,langobardicus,NA,"Blüthgen, 1944",NA
Halictidae,Halictus,Seladonia,leucaheneus,NA,"Ebmer, 1972",NA
Halictidae,Halictus,Halictus,maculatus,NA,"Smith, 1848",NA
Halictidae,Halictus,Seladonia,microcardia,NA,"Pérez, 1895",NA
Halictidae,Halictus,Seladonia,orientanus,NA,"(Pauly & Devalez, 2015)",NA
Halictidae,Halictus,Halictus,patellatus,NA,"Morawitz, 1874",NA
Halictidae,Halictus,Seladonia,pici,NA,"Pérez, 1895",NA
Halictidae,Halictus,Seladonia,pollinosus,NA,"Sichel, 1860",NA
Halictidae,Halictus,Halictus,pyrenaeus,NA,"Pérez, 1903",NA
Halictidae,Halictus,Halictus,quadricintus,NA,"(Fabricius, 1776)",NA
Halictidae,Halictus,Halictus,quadripartitus,NA,"Blüthgen, 1923",NA
Halictidae,Halictus,Halictus,rubicundus,NA,"(Christ, 1791)",NA
Halictidae,Halictus,Halictus,scabiosae,NA,"(Rossi, 1790)",NA
Halictidae,Halictus,Seladonia,seladonius,NA,"Fabricius, 1794",NA
Halictidae,Halictus,Halictus,senilis,NA,"(Eversmann, 1852)",NA
Halictidae,Halictus,Halictus,sexcinctus,NA,"(Fabricius, 1775)",NA
Halictidae,Halictus,Halictus,simplex,NA,"Blüthgen, 1923",NA
Halictidae,Halictus,Seladonia,smaragdulus,NA,"Vachal, 1895",NA
Halictidae,Halictus,Seladonia,subauratus,NA,"(Rossi, 1792)",NA
Halictidae,Halictus,Seladonia,submediterraneus,NA,"(Pauly, 2015)",NA
Halictidae,Halictus,Halictus,toparensis,NA,"Pauly, 2017",NA
Halictidae,Halictus,Halictus,tridivisus,NA,"Blüthgen, 1923",NA
Halictidae,Halictus,Seladonia,tumulorum,NA,"(Linnaeus, 1758)",NA
Halictidae,Halictus,Seladonia,vestitus,NA,"Lepeletier, 1841",NA
Megachilidae,Heriades,Heriades,crenulatus,NA,"Nylander, 1856",NA
Megachilidae,Heriades,Heriades,labiatus,NA,"Pérez, 1895",NA
Megachilidae,Heriades,Heriades,rubicola,NA,"Pérez, 1890",NA
Megachilidae,Heriades,Heriades,truncorum,NA,"(Linnaeus, 1758)",NA
Megachilidae,Hoplitis,Alcidamea,acuticornis,NA,"(Dufour & Perris, 1840)",NA
Megachilidae,Hoplitis,Hoplitis,adunca,NA,"(Panzer, 1798)",NA
Megachilidae,Hoplitis,Stenosmia,albatera,NA,"(Warncke, 1991)",NA
Megachilidae,Hoplitis,Anthocopa,albiscopa,NA,"(Friese, 1899)",NA
Megachilidae,Hoplitis,Hoplitis,annulata,NA,"(Latreille, 1811)",NA
Megachilidae,Hoplitis,Hoplitis,anthocopoides,NA,"(Schenck, 1853)",NA
Megachilidae,Hoplitis,Anthocopa,antigae,NA,"(Pérez, 1895)",NA
Megachilidae,Hoplitis,Anthocopa,batyamae,NA,van der Zanden 1986,NA
Megachilidae,Hoplitis,Hoplitis,benoisti,NA,"(Alfken, 1935)",NA
Megachilidae,Hoplitis,Anthocopa,bisulca,NA,"(Gerstäcker, 1869)",NA
Megachilidae,Hoplitis,Alcidamea,brachypogon,NA,"(Pérez, 1879)",NA
Megachilidae,Hoplitis,Pentadentosmia,cadiza,NA,"(Warncke, 1991)",NA
Megachilidae,Hoplitis,Alcidamea,campanularis,NA,"(Morawitz, 1877)",NA
Megachilidae,Hoplitis,Alcidamea,claviventris,NA,"(Thomson, 1872)",NA
Megachilidae,Hoplitis,Anthocopa,cristatula,NA,"(van der Zanden, 1990)",NA
Megachilidae,Hoplitis,Alcidamea,curtula,NA,"(Pérez, 1895)",NA
Megachilidae,Hoplitis,Alcidamea,curvipes,NA,"(Morawitz, 1871)",NA
Megachilidae,Hoplitis,Anthocopa,dalmatica,NA,"(Morawitz, 1871)",NA
Megachilidae,Hoplitis,Hoplitis,fertoni,NA,"(Pérez, 1890)",NA
Megachilidae,Hoplitis,Anthocopa,grumi,NA,"(Morawitz, 1894)",NA
Megachilidae,Hoplitis,Hoplitis,hilbera,NA,"Müller, 2012",NA
Megachilidae,Hoplitis,Hoplitis,insularis,NA,"(Schmiedeknecht, 1885)",NA
Megachilidae,Hoplitis,Anthocopa,jakovlevi,NA,"Radoszkowski, 1874",NA
Megachilidae,Hoplitis,Hoplitis,lepeletieri,NA,"(Pérez, 1879)",NA
Megachilidae,Hoplitis,Alcidamea,leucomelana,NA,"(Kirby, 1802)",NA
Megachilidae,Hoplitis,Hoplitis,lithodorae,NA,"Müller, 2012",NA
Megachilidae,Hoplitis,Hoplitis,loti,NA,"(Morawitz, 1868)",NA
Megachilidae,Hoplitis,Anthocopa,manuelae,NA,"Müller, 2012",NA
Megachilidae,Hoplitis,Hoplitis,marchali,NA,"(Pérez, 1902)",NA
Megachilidae,Hoplitis,Alcidamea,mitis,NA,"(Nylander, 1852)",NA
Megachilidae,Hoplitis,Anthocopa,mocsaryi,NA,"(Friese, 1895)",NA
Megachilidae,Hoplitis,Incertae sedis,mucidoides,NA,"van der Zanden, 1990",NA
Megachilidae,Hoplitis,Alcidamea,occidentalis,NA,"Müller, 2012",NA
Megachilidae,Hoplitis,Hoplitis,ochraceicornis,NA,"(Ferton, 1902)",NA
Megachilidae,Hoplitis,Anthocopa,papaveris,NA,"(Latreille, 1799)",NA
Megachilidae,Hoplitis,Anthocopa,peniculifera,NA,"Müller, 2012",NA
Megachilidae,Hoplitis,Anthocopa,perezi,NA,"(Ferton, 1895)",NA
Megachilidae,Hoplitis,Alcidamea,praestans,NA,"(Morawitz, 1893)",NA
Megachilidae,Hoplitis,Anthocopa,pulchella,NA,"(Pérez, 1895)",NA
Megachilidae,Hoplitis,Pentadentosmia,quinquespinosa,NA,"(Friese, 1899)",NA
Megachilidae,Hoplitis,Hoplitis,ravouxi,NA,"(Pérez, 1902)",NA
Megachilidae,Hoplitis,Anthocopa,saundersi,NA,"(Vachal, 1891)",NA
Megachilidae,Hoplitis,Hoplitis,stecki,NA,"(Frey-Gessner, 1908)","former subspecies of H. mitis, elevated to full species status"
Megachilidae,Hoplitis,Hoplitis,tkalcuella,NA,"Le Goff, 2003",NA
Megachilidae,Hoplitis,Alcidamea,tridentata,NA,"(Dufour & Perris, 1840)",NA
Megachilidae,Hoplitis,Anthocopa,villosa,NA,"(Schenck, 1853)",NA
Megachilidae,Hoplitis,Anthocopa,zaianorum,NA,"(Benoist, 1927)",NA
Colletidae,Hylaeus,Prosopis,absolutus,NA,"(Gribodo, 1894)",NA
Colletidae,Hylaeus,Spatulariella,alpinus,NA,"(Morawitz, 1867)",NA
Colletidae,Hylaeus,Hylaeus,angustatus,NA,"(Schenck, 1861)",NA
Colletidae,Hylaeus,Lambdopsis,annularis,NA,"(Kirby, 1802)",NA
Colletidae,Hylaeus,Dentigera,brachycephalus,NA,"(Morawitz, 1868)",NA
Colletidae,Hylaeus,Dentigera,brevicornis,NA,"Nylander, 1852",NA
Colletidae,Hylaeus,Paraprosopis,clypearis,NA,"(Schenck, 1853)",NA
Colletidae,Hylaeus,Hylaeus,communis,NA,"Nylander, 1852",NA
Colletidae,Hylaeus,Dentigera,conformis,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Prosopis,confusus,NA,"Nylander, 1852",NA
Colletidae,Hylaeus,Prosopis,convergens,NA,"Dathe, 2000",NA
Colletidae,Hylaeus,Prosopis,coriaceus,NA,"(Pérez, 1895)",NA
Colletidae,Hylaeus,Abrupta,cornutus,NA,"Curtis, 1831",NA
Colletidae,Hylaeus,Lambdopsis,crassanus,NA,"(Warncke, 1972)",NA
Colletidae,Hylaeus,Hylaeus,diffiformis,hispanicus,"(Warncke, 1972)",NA
Colletidae,Hylaeus,Lambdopsis,dilatatus,NA,"(Kirby, 1802)",NA
Colletidae,Hylaeus,Lambdopsis,euryscapus,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Prosopis,garrulus,NA,"(Warncke, 1981)",NA
Colletidae,Hylaeus,Prosopis,gazagnairei,NA,"(Vachal, 1891)",NA
Colletidae,Hylaeus,Prosopis,gibbus,NA,"Saunders, 1850",NA
Colletidae,Hylaeus,Dentigera,glacialis,NA,"Morawitz, 1872",NA
Colletidae,Hylaeus,Hylaeus,gracilicornis,NA,"(Morawitz, 1867)",NA
Colletidae,Hylaeus,Dentigera,gredleri,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Spatulariella,hyalinatus,NA,"Smith, 1843",NA
Colletidae,Hylaeus,Hylaeus,ibericus,NA,"Dathe, 2000",NA
Colletidae,Hylaeus,Dentigera,imparilis,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Prosopis,incongruus,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Dentigera,kahri,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Hylaeus,leptocephalus,NA,"(Morawitz, 1870)",NA
Colletidae,Hylaeus,Paraprosopis,lineolatus,NA,"(Schenck, 1861)",NA
Colletidae,Hylaeus,Prosopis,meridionalis,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Hylaeus,moricei,NA,"(Friese, 1898)",NA
Colletidae,Hylaeus,Hylaeus,nigritus,NA,"(Fabricius, 1798)",NA
Colletidae,Hylaeus,Dentigera,penalaris,NA,"Dathe, 1979",NA
Colletidae,Hylaeus,Paraprosopis,pictipes,NA,"Nylander, 1852",NA
Colletidae,Hylaeus,Prosopis,pictus,NA,"(Smith, 1853)",NA
Colletidae,Hylaeus,Dentigera,pilosulus,NA,"(Pérez, 1903)",NA
Colletidae,Hylaeus,Prosopis,praenotatus,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Spatulariella,punctatus,NA,"(Brullé, 1832)",NA
Colletidae,Hylaeus,Koptogaster,punctulatissimus,NA,"Smith, 1843",NA
Colletidae,Hylaeus,Hylaeus,pyrenaicus,NA,"Dathe, 2000",NA
Colletidae,Hylaeus,Dentigera,rubicola,NA,"Saunders, 1850",NA
Colletidae,Hylaeus,Prosopis,signatus,NA,"(Panzer, 1798)",NA
Colletidae,Hylaeus,Paraprosopis,sinuatus,NA,"(Schenck, 1853)",NA
Colletidae,Hylaeus,Paraprosopis,soror,NA,"(Pérez, 1903)",NA
Colletidae,Hylaeus,Spatulariella,sulphuripes,NA,"(Gribodo, 1894)",NA
Colletidae,Hylaeus,Paraprosopis,taeniolatus,NA,"Förster, 1871",NA
Colletidae,Hylaeus,Prosopis,teruelus,NA,"(Warncke, 1981)",NA
Colletidae,Hylaeus,Prosopis,trinotatus,NA,"(Pérez, 1895)",NA
Colletidae,Hylaeus,Prosopis,variegatus,NA,"(Fabricius, 1798)",NA
Megachilidae,Icteranthidium,NA,ferrugineum,NA,"(Fabricius, 1787)",NA
Megachilidae,Icteranthidium,NA,grohmanni,NA,"(Spinola, 1838)",NA
Megachilidae,Icteranthidium,NA,laterale,NA,"(Latreille, 1809)",NA
Halictidae,Lasioglossum,Dialictus,aeratum,NA,"(Kirby, 1802)",NA
Halictidae,Lasioglossum,Sphecodogastra,albipes,NA,"(Fabricius, 1781)",NA
Halictidae,Lasioglossum,Lasioglossum,albocinctum,NA,"(Lucas, 1846)",NA
Halictidae,Lasioglossum,Dialictus,albovirens,NA,"(Pérez, 1895)",NA
Halictidae,Lasioglossum,Sphecodogastra,algericolellum,NA,"(Strand, 1909)",NA
Halictidae,Lasioglossum,Hemihalictus,angusticeps,NA,"(Perkins, 1895)",NA
Halictidae,Lasioglossum,Sphecodogastra,articulare,NA,"(Pérez, 1895)",NA
Halictidae,Lasioglossum,Hemihalictus,asellum,NA,"(Pérez, 1895)",NA
Halictidae,Lasioglossum,Dialictus,aureolum,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Lasioglossum,bimaculatum,NA,"(Dours, 1872)",NA
Halictidae,Lasioglossum,Hemihalictus,bluethgeni,NA,"Ebmer, 1971",NA
Halictidae,Lasioglossum,Hemihalictus,brevicorne,NA,"(Schenck, 1869)",NA
Halictidae,Lasioglossum,Lasioglossum,breviventre,NA,"(Schenck, 1853)",NA
Halictidae,Lasioglossum,Hemihalictus,buccale,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Sphecodogastra,calceatum,NA,"(Scopoli, 1763)",NA
Halictidae,Lasioglossum,Lasioglossum,callizonium,NA,"(Pérez, 1895)",NA
Halictidae,Lasioglossum,Sphecodogastra,capitale,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Evylaeus s.l.,castillianum,NA,"(Blüthgen, 1931)",NA
Halictidae,Lasioglossum,Hemihalictus,clypeare,NA,(Schenck 1853),NA
Halictidae,Lasioglossum,Dialictus,collopiense,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Hemihalictus,convexiusculum,NA,(Schenck 1853),NA
Halictidae,Lasioglossum,Hemihalictus,corvinum,NA,"(Morawitz, 1878)",NA
Halictidae,Lasioglossum,Lasioglossum,costulatum,NA,"(Kriechbaumer, 1873)",NA
Halictidae,Lasioglossum,Hemihalictus,crassepunctatum,NA,"(Blüthgen, 1923)",NA
Halictidae,Lasioglossum,Lasioglossum,cristula,NA,"(Pérez, 1895)",NA
Halictidae,Lasioglossum,Dialictus,cupromicans,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Lasioglossum,discum,discum,"(Smith, 1853)",NA
Halictidae,Lasioglossum,Lasioglossum,discum,fertoni,"(Vachal, 1895)",NA
Halictidae,Lasioglossum,Dialictus,duckei,helios,"(Alfken, 1909)",NA
Halictidae,Lasioglossum,Sphecodogastra,dusmeti,NA,"(Blüthgen, 1924)",NA
Halictidae,Lasioglossum,Hemihalictus,elegans,NA,"(Lepeletier, 1841)",NA
Halictidae,Lasioglossum,Sphecodogastra,euboeense,NA,"(Strand, 1909)",NA
Halictidae,Lasioglossum,Sphecodogastra,fratellum,NA,"(Pérez, 1903)",NA
Halictidae,Lasioglossum,Sphecodogastra,fulvicorne,NA,"(Kirby, 1802)",NA
Halictidae,Lasioglossum,Evylaeus s.l.,glabriusculum,NA,"(Morawitz, 1872)",NA
Halictidae,Lasioglossum,Hemihalictus,griseolum,NA,"(Morawitz, 1872)",NA
Halictidae,Lasioglossum,Hemihalictus,ibericum,NA,"Ebmer, 1975",NA
