Family,Genus,Subgenus,Species,Subspecies,Authority,Notes
Andrenidae,Andrena,Brachyandrena,miegiella,NA,"Dours, 1873",NA
Andrenidae,Andrena,Truncandrena,minapalumboi,NA,"Gribodo, 1894",NA
Andrenidae,Andrena,Micrandrena,minutula,NA,"(Kirby, 1802)",NA
Andrenidae,Andrena,Micrandrena,minutuloides,NA,"Perkins, 1914",NA
Andrenidae,Andrena,Andrena,mitis,NA,"Schmiedeknecht, 1883",NA
Andrenidae,Andrena,Orandrena,monilia,NA,"Warncke, 1967",As distinct from A. fulvicornis
Andrenidae,Andrena,Graecandrena,montarca,NA,"Warncke, 1975",NA
Andrenidae,Andrena,Melandrena,morio,NA,"Brullé, 1832",NA
Andrenidae,Andrena,Didonia,mucida,NA,"Kreichbaumer, 1873",NA
Andrenidae,Andrena,Poliandrena,murana,NA,"Warncke, 1967",NA
Andrenidae,Andrena,Micrandrena,nana,NA,"(Kirby, 1802)",NA
Andrenidae,Andrena,Micrandrena,nanula,NA,"Nylander, 1848",NA
Andrenidae,Andrena,Graecandrena,nebularia,NA,"Warncke, 1975",NA
Andrenidae,Andrena,Cnemidandrena,nigriceps,NA,"(Kirby, 1802)",NA
Andrenidae,Andrena,Melandrena,nigroaenea,NA,"(Kirby, 1802)",NA
Andrenidae,Andrena,Chlorandrena,nigroolivacea,NA,"Dours, 1873",NA
Andrenidae,Andrena,Carandrena,nigroviridula,NA,"Dours, 1873",NA
Andrenidae,Andrena,Campylogaster,nilotica,NA,"Warncke, 1967",NA
Andrenidae,Andrena,Melandrena,nitida,NA,"(Müller, 1776)",NA
Andrenidae,Andrena,Notandrena,nitidiuscula,NA,"Schenck, 1853",NA
Andrenidae,Andrena,Distandrena,nitidula,NA,"Pérez, 1903",NA
Andrenidae,Andrena,Micrandrena,niveata,NA,"Friese, 1887",NA
Andrenidae,Andrena,Hoplandrena,nuptialis,NA,(Pérez  1902),NA
Andrenidae,Andrena,Micrandrena,omnilaevis,NA,"Wood, 2020",In the process of being published
Andrenidae,Andrena,Distandrena,orana,NA,"Warncke, 1975",NA
Andrenidae,Andrena,Rufandrena,orbitalis,NA,"Morawitz, 1871",NA
Andrenidae,Andrena,Taeniandrena,ovatula,aggregate,"(Kirby, 1802)","sensu latu, taxon is dire need of revision"
Andrenidae,Andrena,Poliandrena,oviventris,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Notandrena,pallitarsis,NA,"Pérez, 1903",NA
Andrenidae,Andrena,Lepidandrena,pandellei,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Fumandrena,pandosa,NA,"Warncke, 1968",NA
Andrenidae,Andrena,Avandrena,panurgina,NA,"Destefani, 1889",NA
Andrenidae,Andrena,Leucandrena,parviceps,NA,"Kreichbaumer, 1873",NA
Andrenidae,Andrena,Lepidandrena,paucisquama,NA,"Noskiewicz, 1924",NA
Andrenidae,Andrena,Margandrena,pellucens,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Plastandrena,pilipes,NA,"Fabricius, 1781",NA
Andrenidae,Andrena,Poliandrena,polita,NA,"Smith, 1847",NA
Andrenidae,Andrena,Andrena,praecox,NA,"(Scopoli, 1763)",NA
Andrenidae,Andrena,Simandrena,propinqua,NA,"Schenck, 1853",As distinct from A. dorsata
