"Id","Number"
"1_Ornosa",1
"2_Ornosa",2
"3_Montero",3
"4_Arroyo-Correa",4
"5_Banos-Picon",5
"6_Moreira",6
"7_Ornosa",7
"8_Ornosa",8
"9_Ornosa",9
"10_Ornosa_etal",10
"11_Ornosa_etal",11
"12_Ornosa_etal",12
"13_Gomez",13
"14_Marshall",14
"16_Carvalho",16
"17_Bartomeus_etal",17
"18_Castro_etal",18
"19_Kuhlmann_etal",19
"20_Gayubo",20
"21_Boieiro_etal",21
"22_Nunez",22
"23_Costa",23
"24_Magrach",24
"25_Trillo",25
"26_Martinez-Lopez",26
"27_Azpiazu_etal",27
"28_Roberts",28
"29_Hormaza_etal",29
"30_Lazaro_etal",30
"31_Diaz-Calafat",31
"32_Valverde",32
"33_Lara-Romero_etal",33
"34_dePablos",34
"35_Magrach",35
"36_Nunez",36
"37_Ortiz_etal",37
"38_Ortiz_etal",38
"39_Ortiz_etal",39
"40_Gonzalez",40
"41_Torres",41
"42_Ornosa_etal",42
"43_Alvarez_etal",43
"44_Ornosa",44
"45_Nunez",45
"46_Obeso",46
"48_Casimiro-Soriguer_etal",48
"49_Ornosa_etal",49
"50_Heleno_etal",50
"51_Minarro",51
"53_Ferrero",53
"54_Wood_etal",54
"55",55
"56_Lazaro",56
"59_Antonini",59
"60_Lopez-Angulo",60
"61",61
"62",62
"63",63
"64",64
"65",65
"66_Alvarez",66
"67_life",67
"68",68
"69",69
"70_Rodrigo",70
"71_Rodrigo",71
"72_Dardon",72
"73",73
"74",74
"75",75
"76",76
"77",77
"78",78
"79_Oviedo",79
"80",80
"81",81
"82_Aguado",82
"i1_Gbif",NA
"i2_inaturalist",NA
