"","flag","Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","Original_name","rm","Genus_species","accepted_name"
"17","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","La Esperanza","28.42449","-16.3784","","1993",NA,NA,NA,"16/10/1993","Rasmont P","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_19994","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"18","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas","27.70817","-15.55788","","1996",NA,NA,NA,"06/11/1996",NA,"Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_21611","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"19","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Finca los Dragos","28.06963","-15.45797","","1997",NA,NA,NA,"23/03/1997","Terrainconginta","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_21616","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"20","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11929","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"21","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","La Esperanza","28.42449","-16.3784","","1993",NA,NA,NA,"15/10/1993","Rasmont P","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"RASMONT","54_Wood_etal_19976","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"22","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Las Palmas de Gran Canaria","28.06963","-15.45797","","2010",NA,NA,NA,"03/10/2010","Emilio J","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_25102","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"23","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11934","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"24","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11928","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"25","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11933","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"26","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Las Palmas de Gran Canaria","28.06963","-15.45797","","2010",NA,NA,NA,"06/09/2010","Emolio J","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_25082","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
