ID,flag,checked,synonym_names,questionable,accepted_name,accepted_subspecies,Notes,
337,Andrena albupunctata,NA,NA,NA,Andrena albopunctata,NA,Typo,
338,Andrena armata,NA,NA,NA,Andrena fulva,NA,old synonym,
339,Andrena benoisti,NA,NA,NA,Andrena benoisti,NA,newly described,
340,Andrena coitana,NA,NA,NA,Andrena coitana,NA,This is a good species,
341,Andrena dourada,NA,NA,NA,Remove,NA,newly descibed, there are a lot of Lasioglossum names
342,Andrena dunningi,NA,NA,NA,Remove,NA,This is a North American species,
343,Andrena flava,NA,NA,NA,Remove,NA,There is no Andrena flava,
344,Andrena fortipunctata,NA,NA,NA,Andrena fortipunctata,NA,newly described,
345,Andrena gallica,NA,Andrena assimilis,NA,Andrena assimilis,NA,synonym,
346,Andrena hispanica,NA,NA,NA,Andrena hispania,NA,Typo,
347,Andrena juliana,NA,NA,NA,Andrena juliana,NA,newly described,
348,Andrena levante,NA,NA,NA,Andrena levante,NA,newly described,
349,Andrena maderiensis,NA,NA,NA,Remove,NA,Madeira only,
350,Andrena minuta,NA,NA,NA,Andrena minutula,NA,Typo,
351,Andrena numida,NA,NA,NA,Andrena hypopolia,NA,hypopolia is probably a synonym of A. numida,
352,Andrena ocreata,NA,Andrena similis,NA,Andrena similis,NA,NB all similis data needs to be synonymised under Andrena russula Lepeletier,
353,Andrena ornata,NA,NA,NA,Remove,NA,Eastern species - never recorded from Iberia,
354,Andrena orotavensis,NA,NA,NA,Remove,NA,Does not exist - no idea!,
355,Andrena parvula,NA,Andrena minutula,NA,Andrena minutula,NA,synonym,
356,Andrena quadrimaculata,NA,NA,NA,Remove,NA,Eastern species - never recorded from Iberia,
357,Andrena strohmella,NA,NA,NA,Remove,NA,Taxonomic+ecological issues, taxonomically challenging
358,Andrena taraxaci,NA,NA,NA,Remove,NA,Species complex,
359,Andrena ternuistriata,NA,NA,NA,Andrena tenuistriata,NA,Typo,
360,Anthidium blongatum,NA,NA,NA,Anthidium oblongatum,NA,Typo,
361,Anthidium canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
362,Anthidium florentimun,NA,NA,NA,Anthidium florentinum,NA,Typo,
363,Anthidium latreillei,NA,NA,NA,Remove,NA,Could possibly be Icteranthidium laterale,
364,Anthidium stictium,NA,NA,NA,Rhodanthidium sticticum,NA,I assume that both the genus and the spelling of the specific name is incorrect,
365,Anthidium trematum,NA,NA,NA,Remove,NA,No idea! Delete, but hard to say for certain
366,Anthidium variegatum,NA,NA,NA,Remove,NA,No idea! Delete,
367,Anthophora californica,NA,NA,NA,Remove,NA,North American species!,
368,Anthophora hispanicus,NA,NA,NA,Anthophora hispanica,NA,NA,
369,Anthophora liefrincki,NA,NA,NA,Remove,NA,No idea! Delete, I had forgotten that this was now present in Spain
370,Anthophora nigrocincta,NA,NA,NA,Anthophora canescens,NA,synonym,
371,Anthophora toracica,NA,NA,NA,Remove,NA,No idea! Delete,
372,Bombus argillaceus,NA,NA,NA,Remove,NA,argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus,
373,Bombus canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
374,Bombus cryptarum,NA,NA,NA,Remove,NA,Good species,
375,Bombus montincola,NA,NA,NA,Bombus monticola,NA,Typo,
376,Bombus subterraneous,NA,NA,NA,Bombus subterraneus,NA,Typo,
377,Bombus terrestri,NA,NA,NA,Bombus terrestris,NA,Typo,
378,Bombus wuerflenii,NA,NA,NA,Bombus wurflenii,NA,Typo,
379,Bombus wurfleinii,NA,NA,NA,Bombus wurflenii,NA,Typo,
380,Ceratina calybea,NA,NA,NA,Ceratina chalybea,NA,Typo,
381,Ceratina curcubitina,NA,NA,NA,Ceratina cucurbitina,NA,Typo,
382,Coelioxys auroliubata,NA,NA,NA,Coelioxys aurolimbata,NA,Typo,
383,Colletes africana,NA,NA,NA,Remove,NA,Not an Iberian species, but need to ask the author
384,Colletes albescens,NA,NA,NA,Remove,NA,Not an Iberian species, we do need an aggregate
385,Colletes dimidiatus,NA,NA,NA,Colletes dimidiatus,NA,Endemic to Spain,
386,Colletes jansmiti,NA,NA,NA,Colletes jansmiti,NA,Newly described,
387,Colletes moricei,NA,NA,NA,Colletes moricei,NA,Good species,
388,Colletes perezi,NA,NA,NA,Remove,NA,Does not occur in Iberia,
389,Dioxys cinta,NA,NA,NA,Dioxys cinctus,NA,NA,
390,Dioxys tridentata,NA,NA,NA,Aglaoapis tridentata,NA,NA,
391,Dufourea maura,NA,NA,NA,Remove,NA,North American species!,
392,Dufourea minta,NA,NA,NA,Remove,NA,Not a species,
393,Eucera berlandi,NA,NA,NA,Eucera rufa,NA,synonym,
394,Eucera gracillipes,NA,NA,NA,Remove,NA,Canary Islands only,
395,Eucera lanuginosus,NA,NA,NA,Remove,NA,Taxonomic status unclear,
396,Eucera maroccana,NA,NA,NA,Remove,NA,Status in Iberia unclear,
397,Eucera nigrencens,NA,NA,NA,Eucera nigrescens,NA,Typo,
398,Halictus asperellus,NA,NA,NA,Remove,NA,Not present in Iberia,
399,Halictus cremicornis,NA,NA,NA,Halictus crenicornis,NA,Typo,
400,Halictus frontalis,NA,NA,NA,Remove,NA,Madeira only, not present in the Iberian peninsula
401,Halictus gemmea,NA,NA,NA,Halictus gemellus,NA,equals Seladonia gemmella,
402,Halictus gemmella,NA,NA,NA,Halictus gemellus,NA,equals Seladonia gemmella,
403,Halictus pauxillum,NA,NA,NA,Lasioglossum pauxillum,NA,NA,
404,Halictus sacabiosae,NA,NA,NA,Halictus scabiosae,NA,Typo,
405,Halictus seladonia,NA,NA,NA,Halictus seladonius,NA,equals Seladonia seladonia,
406,Halictus similar,NA,NA,NA,Remove,NA,No idea,
407,Halictus subaurata,NA,NA,NA,Halictus subauratus,NA,equals Seladonia subaurata,
408,Halictus submediterranea,NA,NA,NA,Halictus submediterraneus,NA,equals Seladonia submediterranea,
409,Hoplitis cristata,NA,NA,NA,Hoplitis cristata,NA,NA,
410,Hylaeus ater,NA,NA,NA,Remove,NA,Canary Islands only,
411,Hylaeus bisinuatus,NA,NA,NA,Hylaeus leptocephalus,NA,synonym,
412,Hylaeus canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
413,Hylaeus congruens,NA,NA,NA,Hylaus imparilis,NA,synonym,
414,Hylaeus gredieri,NA,NA,NA,Hylaeus gredleri,NA,Typo,
415,Hylaeus hohmanni,NA,NA,NA,Remove,NA,Canary Islands only,
416,Hylaeus imparallis,NA,NA,NA,Hylaus imparilis,NA,Typo,
417,Hylaeus lineopatus,NA,NA,NA,Hylaeus lineolatus,NA,Typo, best to include as P. nanum aggregate
418,Hylaeus maderensis,NA,NA,NA,Remove,NA,Madeira only,
419,Icteranthidium ghromanni,NA,NA,NA,Icteranthidium grohmanni,NA,Typo,
420,Lasioglossum atrovirens,NA,NA,NA,Lasioglossum albovirens,NA,Typo,
421,Lasioglossum capitalis,NA,NA,NA,Lasioglossum capitale,NA,Typo,
422,Lasioglossum consobrinus,NA,NA,NA,Remove,NA,Delete for now - could be Halictus consobrinus that is a confused taxon,
423,Lasioglossum discus,NA,NA,NA,Lasioglossum discum,NA,Typo,
424,Lasioglossum evylaeus,NA,NA,NA,Remove,NA,Delete - (Evylaeus) is an old subgenus,
425,Lasioglossum flavipes,NA,NA,NA,Remove,NA,Not a West Palearctic species,
426,Lasioglossum leptocephalum,NA,NA,NA,Remove,NA,Not in Iberia - delete,
427,Lasioglossum lissonotus,NA,NA,NA,Lasioglossum lissonotum,NA,Typo,
428,Lasioglossum loetum,NA,NA,NA,Remove,NA,Canary Islands only,
429,Lasioglossum malachorum,NA,NA,NA,Lasioglossum malachurum,NA,Typo,
430,Lasioglossum mediterraneaum,NA,NA,NA,Lasioglossum mediterraneum,NA,Typo,
431,Lasioglossum minutisimum,NA,NA,NA,Lasioglossum minutissimum,NA,Typo,
432,Lasioglossum minutissima,NA,NA,NA,Lasioglossum minutissimum,NA,Typo,
433,Lasioglossum minutum,NA,NA,NA,Remove,NA,No idea,
434,Lasioglossum pilosum,NA,NA,NA,Remove,NA,Not a West Palearctic species,
435,Lasioglossum pygmaeus,NA,NA,NA,Lasioglossum pygmaeum,NA,Typo,
436,Lasioglossum seratum,NA,NA,NA,Remove,NA,No idea,
437,Lasioglossum smaragdulus,NA,NA,NA,Halictus smaragdulus,NA,equals Seladonia smaragdula,
438,Lasioglossum smeathmanellus,NA,NA,NA,Lasioglossum smeathmanellum,NA,Typo,
439,Lasioglossum titusi,NA,NA,NA,Remove,NA,North American species!,
440,Lasioglossum transitorius,NA,NA,NA,Lasioglossum transitorium,planulum,All Iberian material is the subspecies planulum,
441,Lasioglossum wollastoni,NA,NA,NA,Remove,NA,NA,
442,Lasioglossum xantopus,NA,NA,NA,Lasioglossum xanthopus,NA,Typo,
443,Lasioglossum xathophus,NA,NA,NA,Lasioglossum xanthopus,NA,Typo,
444,Megachile binominata,NA,NA,NA,Remove,NA,Canary Islands only,
445,Megachile canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
446,Megachile cetuncularis,NA,NA,NA,Megachile centuncularis,NA,Typo,
447,Megachile circucimcta,NA,NA,NA,Megachile circumcincta,NA,Typo,
448,Megachile retundata,NA,NA,NA,Megachile rotundata,NA,Typo,
449,Megachilini analis,NA,NA,NA,Megachile analis,NA,Typo,
450,Nomioides fallax,NA,NA,NA,Nomioides facilis,NA,synonym,
451,Nomioides minutissima,NA,NA,NA,Nomioides minutissimus,NA,Typo,
452,Nomioides variegatus,NA,NA,NA,Ceylalictus variegatus,NA,Wrong genus,
453,Osmia acuticornis,NA,NA,NA,Hoplitis acuticornis,NA,Wrong genus,
454,Osmia canariensis,NA,NA,NA,Remove,NA,There is no Osmia canariensis - possibly Andrena submicans canaria,
455,Osmia cinnabarina,NA,NA,NA,Osmia cinnabarina,NA,Authority Perez 1895,
456,Osmia dimidata,NA,NA,NA,Osmia dimidiata,NA,Typo,
457,Osmia latreille,NA,NA,NA,Osmia latreillei,NA,Typo,
458,Osmia latrillei,NA,NA,NA,Osmia latreillei,NA,Typo,
459,Osmia madeirensis,NA,NA,NA,Remove,NA,Madeira only,
460,Osmia perambigua,NA,NA,NA,Remove,NA,Wrong genus, no-body really understands Thyreus at all
461,Osmia uncinata,NA,NA,NA,Osmia uncincata,NA,Typo,
462,Osmia xanthomelaena,NA,NA,NA,Osmia xanthomelana,NA,Typo,
463,Osmiini emarginata,NA,NA,NA,Osmia emarginata,NA,Typo,
464,Panurgus brullei,NA,NA,NA,Remove,NA,Typo,
465,Paranthidiellum lituratum,NA,NA,NA,Remove,NA,Delete,
466,Peponapis pruinosa,NA,NA,NA,Remove,NA,North American species! Bizarre record,
467,Pseudoanthidium liturathum,NA,NA,NA,Remove,NA,Delete,
468,Reanthidium nigricolle,NA,NA,NA,Remove,NA,Delete,
469,Rhodanthidium septemdentatun,NA,NA,NA,Rhodanthidium septemdentatum,NA,Typo,
470,Rhodanthidium septempunctatum,NA,NA,NA,Remove,NA,Possibly septemdentatum,
471,Sphecodes divisus,NA,NA,NA,Sphecodes crassus,NA,synonym,
472,Sphecodes marginaturs,NA,NA,NA,Sphecodes marginatus,NA,Typo,
473,Sphecodes rufierus,NA,NA,NA,Sphecodes ruficrus,NA,Possibly Sphecodes ruficrus,
474,Stelis murina,NA,NA,NA,Stelis murina,NA,NA,
475,Stelis phaeophtera,NA,NA,NA,Stelis phaeoptera,NA,Typo,
476,Stelis phoenoptera,NA,NA,NA,Stelis phaeoptera,NA,Typo,
477,Stelis puntulatissima,NA,NA,NA,Stelis punctulatissima,NA,Typo,
478,Tetraloniella alticincta,NA,NA,NA,Remove,NA,Complex, Spain and Portugal. Authority Wood & Praz
479,Trachusa atlanticum,NA,NA,NA,Trachusa laeviventris,NA,synonym, present in Iberia
480,Trachusa integra,NA,NA,NA,Remove,NA,Not present in Iberia, Madeira only
481,Trianthidium caturigense,NA,NA,NA,Rhodanthidium caturigense,NA,Wrong genus, delete
482,Vestitohalictus pollinosus,NA,NA,NA,Halictus pollinosus,NA,Wrong genus, must be a genus + species error
483,Vestitohalictus vestitus,NA,NA,NA,Halictus vestitus,NA,Wrong genus, Spain. authority Wood
484,Xylocopa fenestrata,NA,NA,NA,Remove,NA,Delete,
485,Xylocopa fimbriata,NA,NA,NA,Remove,NA,Delete,
486,Xylocopa latipes,NA,NA,NA,Remove,NA,Delete, Spain and Portugal. Authority Wood
487,Xylocopa virginica,NA,NA,NA,Remove,NA,Delete, Spain. authority Wood & Praz
488,Afranthidium malacopygum,NA,NA,NA,Afranthidium carduele,malacopygum,NA,
489,Amegilla albifrons,NA,NA,NA,Remove,NA,NA,
490,Andrena albupunctata,NA,NA,NA,Andrena albopunctata,NA,Typo, but keep all Iberian data under hypopolia for now
491,Andrena armata,NA,NA,NA,Andrena fulva,NA,old synonym, 1841 at some point
492,Andrena benoisti,NA,NA,NA,Andrena benoisti,NA,newly described,
493,Andrena coitana,NA,NA,NA,Andrena coitana,NA,This is a good species,
494,Andrena dourada,NA,NA,NA,Remove,NA,newly descibed,
495,Andrena dunningi,NA,NA,NA,Remove,NA,This is a North American species,
496,Andrena flava,NA,NA,NA,Remove,NA,There is no Andrena flava, difference from A. icterina Warncke unclear
497,Andrena fortipunctata,NA,NA,NA,Andrena fortipunctata,NA,newly described, true taraxaci not present in Iberia
498,Andrena gallica,NA,Andrena assimilis,NA,Andrena assimilis,NA,synonym,
499,Andrena hispanica,NA,NA,NA,Andrena hispania,NA,Typo,
500,Andrena juliana,NA,NA,NA,Andrena juliana,NA,newly described, exclude
501,Andrena levante,NA,NA,NA,Andrena levante,NA,newly described,
502,Andrena maderiensis,NA,NA,NA,Remove,NA,Madeira only, but this is too much of a jump to make without examining the specimen
503,Andrena minuta,NA,NA,NA,Andrena minutula,NA,Typo,
504,Andrena numida,NA,NA,NA,Andrena hypopolia,NA,hypopolia is probably a synonym of A. numida,
505,Andrena ocreata,NA,Andrena similis,NA,Andrena similis,NA,NB all similis data needs to be synonymised under Andrena russula Lepeletier,
506,Andrena ornata,NA,NA,NA,Remove,NA,Eastern species - never recorded from Iberia,
507,Andrena orotavensis,NA,NA,NA,Remove,NA,Does not exist - no idea!,
508,Andrena parvula,NA,Andrena minutula,NA,Andrena minutula,NA,synonym,
509,Andrena quadrimaculata,NA,NA,NA,Remove,NA,Eastern species - never recorded from Iberia,
510,Andrena strohmella,NA,NA,NA,Remove,NA,Taxonomic+ecological issues,
511,Andrena taraxaci,NA,NA,NA,Remove,NA,Species complex,
512,Andrena ternuistriata,NA,NA,NA,Andrena tenuistriata,NA,Typo,
513,Anthidium blongatum,NA,NA,NA,Anthidium oblongatum,NA,Typo, but B. cryptarum does not occur in Iberia
514,Anthidium canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
515,Anthidium florentimun,NA,NA,NA,Anthidium florentinum,NA,Typo,
516,Anthidium latreillei,NA,NA,NA,Remove,NA,Could possibly be Icteranthidium laterale,
517,Anthidium stictium,NA,NA,NA,Rhodanthidium sticticum,NA,I assume that both the genus and the spelling of the specific name is incorrect,
518,Anthidium trematum,NA,NA,NA,Remove,NA,No idea! Delete,
519,Anthidium variegatum,NA,NA,NA,Remove,NA,No idea! Delete,
520,Anthophora californica,NA,NA,NA,Remove,NA,North American species!,
521,Anthophora hispanicus,NA,NA,NA,Anthophora hispanica,NA,NA,
522,Anthophora liefrincki,NA,NA,NA,Remove,NA,No idea! Delete,
523,Anthophora nigrocincta,NA,NA,NA,Anthophora canescens,NA,synonym,
524,Anthophora toracica,NA,NA,NA,Remove,NA,No idea! Delete,
525,Bombus argillaceus,NA,NA,NA,Remove,NA,argillaceus does not occur in Iberia - probably a specimen of Bombus ruderatus,
526,Bombus canariensis,NA,NA,NA,Remove,NA,Canary Islands only, endemic to Spain
527,Bombus cryptarum,NA,NA,NA,Remove,NA,Good species,
528,Bombus montincola,NA,NA,NA,Bombus monticola,NA,Typo,
529,Bombus subterraneous,NA,NA,NA,Bombus subterraneus,NA,Typo,
530,Bombus terrestri,NA,NA,NA,Bombus terrestris,NA,Typo,
531,Bombus wuerflenii,NA,NA,NA,Bombus wurflenii,NA,Typo,
532,Bombus wurfleinii,NA,NA,NA,Bombus wurflenii,NA,Typo,
533,Ceratina calybea,NA,NA,NA,Ceratina chalybea,NA,Typo,
534,Ceratina curcubitina,NA,NA,NA,Ceratina cucurbitina,NA,Typo, exclude
535,Coelioxys auroliubata,NA,NA,NA,Coelioxys aurolimbata,NA,Typo, exclude for now
536,Colletes africana,NA,NA,NA,Remove,NA,Not an Iberian species,
537,Colletes albescens,NA,NA,NA,Remove,NA,Not an Iberian species, delete
538,Colletes dimidiatus,NA,NA,NA,Colletes dimidiatus,NA,Endemic to Spain,
539,Colletes jansmiti,NA,NA,NA,Colletes jansmiti,NA,Newly described,
540,Colletes moricei,NA,NA,NA,Colletes moricei,NA,Good species,
541,Colletes perezi,NA,NA,NA,Remove,NA,Does not occur in Iberia,
542,Dioxys cinta,NA,NA,NA,Dioxys cinctus,NA,NA,
543,Dioxys tridentata,NA,NA,NA,Aglaoapis tridentata,NA,NA,
544,Dufourea maura,NA,NA,NA,Remove,NA,North American species!,
545,Dufourea minta,NA,NA,NA,Remove,NA,Not a species, clearly a typo but I don't know what the name was supposed to be
546,Eucera berlandi,NA,NA,NA,Eucera rufa,NA,synonym,
547,Eucera gracillipes,NA,NA,NA,Remove,NA,Canary Islands only,
548,Eucera lanuginosus,NA,NA,NA,Remove,NA,Taxonomic status unclear,
549,Eucera maroccana,NA,NA,NA,Remove,NA,Status in Iberia unclear,
550,Eucera nigrencens,NA,NA,NA,Eucera nigrescens,NA,Typo,
551,Halictus asperellus,NA,NA,NA,Remove,NA,Not present in Iberia,
552,Halictus cremicornis,NA,NA,NA,Halictus crenicornis,NA,Typo,
553,Halictus frontalis,NA,NA,NA,Remove,NA,Madeira only,
554,Halictus gemmea,NA,NA,NA,Halictus gemellus,NA,equals Seladonia gemmella,
555,Halictus gemmella,NA,NA,NA,Halictus gemellus,NA,equals Seladonia gemmella,
556,Halictus pauxillum,NA,NA,NA,Lasioglossum pauxillum,NA,NA,
557,Halictus sacabiosae,NA,NA,NA,Halictus scabiosae,NA,Typo,
558,Halictus seladonia,NA,NA,NA,Halictus seladonius,NA,equals Seladonia seladonia,
559,Halictus similar,NA,NA,NA,Remove,NA,No idea,
560,Halictus subaurata,NA,NA,NA,Halictus subauratus,NA,equals Seladonia subaurata,
561,Halictus submediterranea,NA,NA,NA,Halictus submediterraneus,NA,equals Seladonia submediterranea, probably restricted to North Africa
562,Hoplitis cristata,NA,NA,NA,Hoplitis cristata,NA,NA,
563,Hylaeus ater,NA,NA,NA,Remove,NA,Canary Islands only, therefore this record has no determination
564,Hylaeus bisinuatus,NA,NA,NA,Hylaeus leptocephalus,NA,synonym, clearly a mistake
565,Hylaeus canariensis,NA,NA,NA,Remove,NA,Canary Islands only, could be several closely related Iberian species
566,Hylaeus congruens,NA,NA,NA,Hylaus imparilis,NA,synonym,
567,Hylaeus gredieri,NA,NA,NA,Hylaeus gredleri,NA,Typo,
568,Hylaeus hohmanni,NA,NA,NA,Remove,NA,Canary Islands only,
569,Hylaeus imparallis,NA,NA,NA,Hylaus imparilis,NA,Typo,
570,Hylaeus lineopatus,NA,NA,NA,Hylaeus lineolatus,NA,Typo,
571,Hylaeus maderensis,NA,NA,NA,Remove,NA,Madeira only,
572,Icteranthidium ghromanni,NA,NA,NA,Icteranthidium grohmanni,NA,Typo, delete
573,Lasioglossum atrovirens,NA,NA,NA,Lasioglossum albovirens,NA,Typo, clearly a mistake
574,Lasioglossum capitalis,NA,NA,NA,Lasioglossum capitale,NA,Typo,
575,Lasioglossum consobrinus,NA,NA,NA,Remove,NA,Delete for now - could be Halictus consobrinus that is a confused taxon, delete
576,Lasioglossum discus,NA,NA,NA,Lasioglossum discum,NA,Typo,
577,Lasioglossum evylaeus,NA,NA,NA,Remove,NA,Delete - (Evylaeus) is an old subgenus,
578,Lasioglossum flavipes,NA,NA,NA,Remove,NA,Not a West Palearctic species,
579,Lasioglossum leptocephalum,NA,NA,NA,Remove,NA,Not in Iberia - delete,
580,Lasioglossum lissonotus,NA,NA,NA,Lasioglossum lissonotum,NA,Typo,
581,Lasioglossum loetum,NA,NA,NA,Remove,NA,Canary Islands only,
582,Lasioglossum malachorum,NA,NA,NA,Lasioglossum malachurum,NA,Typo,
583,Lasioglossum mediterraneaum,NA,NA,NA,Lasioglossum mediterraneum,NA,Typo,
584,Lasioglossum minutisimum,NA,NA,NA,Lasioglossum minutissimum,NA,Typo,
585,Lasioglossum minutissima,NA,NA,NA,Lasioglossum minutissimum,NA,Typo,
586,Lasioglossum minutum,NA,NA,NA,Remove,NA,No idea,
587,Lasioglossum pilosum,NA,NA,NA,Remove,NA,Not a West Palearctic species,
588,Lasioglossum pygmaeus,NA,NA,NA,Lasioglossum pygmaeum,NA,Typo,
589,Lasioglossum seratum,NA,NA,NA,Remove,NA,No idea,
590,Lasioglossum smaragdulus,NA,NA,NA,Halictus smaragdulus,NA,equals Seladonia smaragdula,
591,Lasioglossum smeathmanellus,NA,NA,NA,Lasioglossum smeathmanellum,NA,Typo,
592,Lasioglossum titusi,NA,NA,NA,Remove,NA,North American species!,
593,Lasioglossum transitorius,NA,NA,NA,Lasioglossum transitorium,planulum,All Iberian material is the subspecies planulum, but I cannot be certain without inspecting material
594,Lasioglossum wollastoni,NA,NA,NA,Remove,NA,NA,
595,Lasioglossum xantopus,NA,NA,NA,Lasioglossum xanthopus,NA,Typo,
596,Lasioglossum xathophus,NA,NA,NA,Lasioglossum xanthopus,NA,Typo,
597,Megachile binominata,NA,NA,NA,Remove,NA,Canary Islands only,
598,Megachile canariensis,NA,NA,NA,Remove,NA,Canary Islands only,
599,Megachile cetuncularis,NA,NA,NA,Megachile centuncularis,NA,Typo, Canary Islands only: Hoplitis perambigua
600,Megachile circucimcta,NA,NA,NA,Megachile circumcincta,NA,Typo,
601,Megachile retundata,NA,NA,NA,Megachile rotundata,NA,Typo,
602,Megachilini analis,NA,NA,NA,Megachile analis,NA,Typo,
603,Nomioides fallax,NA,NA,NA,Nomioides facilis,NA,synonym, check records
604,Nomioides minutissima,NA,NA,NA,Nomioides minutissimus,NA,Typo, Pseudoanthidium lituratum complex records can only be clarified by specimen examination
605,Nomioides variegatus,NA,NA,NA,Ceylalictus variegatus,NA,Wrong genus,
606,Osmia acuticornis,NA,NA,NA,Hoplitis acuticornis,NA,Wrong genus, Pseudoanthidium lituratum complex records can only be clarified by specimen examination
607,Osmia canariensis,NA,NA,NA,Remove,NA,There is no Osmia canariensis - possibly Andrena submicans canaria,
608,Osmia cinnabarina,NA,NA,NA,Osmia cinnabarina,NA,Authority Perez 1895,
609,Osmia dimidata,NA,NA,NA,Osmia dimidiata,NA,Typo,
610,Osmia latreille,NA,NA,NA,Osmia latreillei,NA,Typo,
611,Osmia latrillei,NA,NA,NA,Osmia latreillei,NA,Typo,
612,Osmia madeirensis,NA,NA,NA,Remove,NA,Madeira only,
613,Osmia perambigua,NA,NA,NA,Remove,NA,Wrong genus,
614,Osmia uncinata,NA,NA,NA,Osmia uncincata,NA,Typo,
615,Osmia xanthomelaena,NA,NA,NA,Osmia xanthomelana,NA,Typo,
616,Osmiini emarginata,NA,NA,NA,Osmia emarginata,NA,Typo,
617,Panurgus brullei,NA,NA,NA,Remove,NA,Typo, cannot be resolved
618,Paranthidiellum lituratum,NA,NA,NA,Remove,NA,Delete,
619,Peponapis pruinosa,NA,NA,NA,Remove,NA,North American species! Bizarre record, delete
620,Pseudoanthidium liturathum,NA,NA,NA,Remove,NA,Delete,
621,Reanthidium nigricolle,NA,NA,NA,Remove,NA,Delete,
622,Rhodanthidium septemdentatun,NA,NA,NA,Rhodanthidium septemdentatum,NA,Typo,
623,Rhodanthidium septempunctatum,NA,NA,NA,Remove,NA,Possibly septemdentatum, clearly misidentified
624,Sphecodes divisus,NA,NA,NA,Sphecodes crassus,NA,synonym, clearly misidentified
625,Sphecodes marginaturs,NA,NA,NA,Sphecodes marginatus,NA,Typo, clearly misidentified
626,Sphecodes rufierus,NA,NA,NA,Sphecodes ruficrus,NA,Possibly Sphecodes ruficrus, clearly misidentified
627,Stelis murina,NA,NA,NA,Stelis murina,NA,NA,
628,Stelis phaeophtera,NA,NA,NA,Stelis phaeoptera,NA,Typo,
629,Stelis phoenoptera,NA,NA,NA,Stelis phaeoptera,NA,Typo,
630,Stelis puntulatissima,NA,NA,NA,Stelis punctulatissima,NA,Typo,
631,Tetraloniella alticincta,NA,NA,NA,Remove,NA,Complex, Spain and Portugal. Authority Wood & Praz
632,Trachusa atlanticum,NA,NA,NA,Trachusa laeviventris,NA,synonym, present in Iberia
633,Trachusa integra,NA,NA,NA,Remove,NA,Not present in Iberia, Madeira only
634,Trianthidium caturigense,NA,NA,NA,Rhodanthidium caturigense,NA,Wrong genus, delete
635,Vestitohalictus pollinosus,NA,NA,NA,Halictus pollinosus,NA,Wrong genus, must be a genus + species error
636,Vestitohalictus vestitus,NA,NA,NA,Halictus vestitus,NA,Wrong genus, Spain. authority Wood
637,Xylocopa fenestrata,NA,NA,NA,Remove,NA,Delete,
638,Xylocopa fimbriata,NA,NA,NA,Remove,NA,Delete,
639,Xylocopa latipes,NA,NA,NA,Remove,NA,Delete, Spain and Portugal. Authority Wood
640,Xylocopa virginica,NA,NA,NA,Remove,NA,Delete, Spain. authority Wood & Praz
641,Afranthidium schulthesii,NA,NA,NA,Remove,NA,NA,
642,Andrena agulimima,NA,NA,NA,Remove,NA,NA,
643,Andrena asimilis,NA,NA,NA,Remove,NA,NA, but keep all Iberian data under hypopolia for now
644,Andrena baemorrhoa,NA,NA,NA,Remove,NA,NA, 1841 at some point
645,Andrena boyerella,NA,NA,NA,Remove,NA,NA,
646,Andrena cf. pilipes,NA,NA,NA,Remove,NA,NA,
647,Andrena cyanomicans/ suerinensis,NA,NA,NA,Remove,NA,NA,
648,Andrena ferrugineicrus/ truncatilabris,NA,NA,NA,Remove,NA,NA,
649,Andrena florea fabricius,NA,NA,NA,Remove,NA,NA, difference from A. icterina Warncke unclear
650,Andrena fulica,NA,NA,NA,Remove,NA,NA, true taraxaci not present in Iberia
651,Andrena fulvicrus,NA,NA,NA,Remove,NA,NA,
652,Andrena gallica assimilis,NA,NA,NA,Remove,NA,NA,
653,Andrena haemorhoa,NA,NA,NA,Remove,NA,NA, exclude
654,Andrena humlis,NA,NA,NA,Remove,NA,NA,
655,Andrena minitula,NA,NA,NA,Remove,NA,NA, but this is too much of a jump to make without examining the specimen
656,Andrena morfo sp7,NA,NA,NA,Remove,NA,NA,
657,Andrena morfo sp9,NA,NA,NA,Remove,NA,NA,
658,Andrena na,NA,NA,NA,Remove,NA,NA,
659,Andrena obsoleta,NA,NA,NA,Remove,NA,NA,
660,Andrena pauxilla,NA,NA,NA,Remove,NA,NA,
661,Andrena schenki,NA,NA,NA,Remove,NA,NA,
662,Andrena varia,NA,NA,NA,Remove,NA,NA,
663,Anthidium interruptum,NA,NA,NA,Remove,NA,NA,
664,Anthidium laeviventris,NA,NA,NA,Remove,NA,NA,
665,Anthophora balearicus,NA,NA,NA,Remove,NA,NA,
666,Anthophora fluvitarsis,NA,NA,NA,Remove,NA,NA, but B. cryptarum does not occur in Iberia
667,Anthophora na,NA,NA,NA,Remove,NA,NA,
668,Anthophora pilipes,NA,NA,NA,Remove,NA,NA,
669,Anthophora sp a,NA,NA,NA,Remove,NA,NA,
670,Anthophora sp b,NA,NA,NA,Remove,NA,NA,
671,Apis tessellata,NA,NA,NA,Remove,NA,NA,
672,Biastes emarginatus,NA,NA,NA,Remove,NA,NA,
673,Bombus (throracobombud/ sylvarum),NA,NA,NA,Remove,NA,NA,
