"","decimalLatitude","decimalLongitude","family","species","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"2",36.763528,-4.425162,"Apidae","Xylocopa violacea",2022,1,2,"lizamast","lizamast",NA,"Andalucía",NA,NA,"i1_Gbif_2"
"3",37.185436,-5.776409,"Apidae","Apis mellifera",2022,1,20,"Jesús","Jesús",NA,"Andalucía",NA,NA,"i1_Gbif_3"
"4",41.963856,2.82876,"Apidae","Bombus terrestris",2022,1,11,"mammal","Leonid","FEMALE","Cataluña",NA,NA,"i1_Gbif_4"
"6",37.257385,-6.328051,"Apidae","Apis mellifera",2022,1,6,"adremix","adremix",NA,"Andalucía",NA,NA,"i1_Gbif_6"
"7",38.909163,-0.229156,"Apidae","Bombus terrestris",2022,1,15,"supergan","Leonid","FEMALE","Comunidad Valenciana",NA,NA,"i1_Gbif_7"
"8",41.273485,1.983021,"Apidae","Apis mellifera",2022,1,1,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_8"
"9",42.131177,3.121833,"Apidae","Apis mellifera",2022,1,15,"mammal","John Ascher",NA,"Cataluña",NA,NA,"i1_Gbif_9"
"11",36.763353,-4.425303,"Apidae","Xylocopa violacea",2022,1,2,"lizamast","lizamast",NA,"Andalucía",NA,NA,"i1_Gbif_11"
"16",41.3397,1.742276,"Apidae","Apis mellifera",2022,1,2,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_16"
"18",41.338874,1.741306,"Apidae","Apis mellifera",2022,1,2,"Josep Mª Albesa Gasulla","justyna_kierat",NA,"Cataluña",NA,NA,"i1_Gbif_18"
"19",41.346179,1.739896,"Apidae","Apis mellifera",2022,1,2,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_19"
"21",35.911263,-5.363185,"Apidae","Apis mellifera",2022,1,15,"Francisco","Ray G. Cama",NA,"Ceuta y Melilla",NA,NA,"i1_Gbif_21"
"23",41.342751,1.743181,"Apidae","Apis mellifera",2022,1,2,"Josep Mª Albesa Gasulla","justyna_kierat",NA,"Cataluña",NA,NA,"i1_Gbif_23"
"24",42.12056,2.184678,"Apidae","Apis mellifera",2022,1,9,"Alba","Alba",NA,"Cataluña",NA,NA,"i1_Gbif_24"
"27",37.047199,-6.566277,"Apidae","Apis mellifera",2022,1,3,"Liam Castillo Foschi","Liam Castillo Foschi",NA,"Andalucía",NA,NA,"i1_Gbif_27"
"28",41.96486,2.828203,"Apidae","Apis mellifera",2022,1,19,"mammal","frank007",NA,"Cataluña",NA,NA,"i1_Gbif_28"
"29",39.521448,-0.508264,"Apidae","Apis mellifera",2022,1,16,"hecpg09","hecpg09",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_29"
"31",38.641632,0.066027,"Apidae","Apis mellifera",2022,1,2,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_31"
"34",38.641632,0.066027,"Apidae","Apis mellifera",2022,1,2,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_34"
"36",40.518845,-3.902397,"Apidae","Bombus terrestris",2022,1,24,"Maria Clara Gil","Maria Clara Gil",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_36"
"37",40.278331,-3.921554,"Apidae","Bombus terrestris",2022,1,3,"victoria v","victoria v","FEMALE","Comunidad de Madrid",NA,NA,"i1_Gbif_37"
"39",41.793592,1.633317,"Apidae","Apis mellifera",2022,1,29,"peresol","peresol",NA,"Cataluña",NA,NA,"i1_Gbif_39"
"40",43.50925,-7.389946,"Apidae","Apis mellifera",2022,1,16,"adrivas08","adrivas08",NA,"Galicia",NA,NA,"i1_Gbif_40"
"41",38.642332,0.067225,"Apidae","Apis mellifera",2022,1,2,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_41"
"42",37.356327,-5.934521,"Apidae","Xylocopa violacea",2022,1,30,"joseronchel","joseronchel",NA,"Andalucía",NA,NA,"i1_Gbif_42"
"43",38.856193,-6.91336,"Apidae","Apis mellifera",2022,1,29,"jose_rasero","justyna_kierat",NA,"Extremadura",NA,NA,"i1_Gbif_43"
"44",37.35659,-5.941572,"Apidae","Apis mellifera",2022,1,30,"joseronchel","joseronchel",NA,"Andalucía",NA,NA,"i1_Gbif_44"
"45",37.413184,-5.995798,"Apidae","Xylocopa violacea",2022,1,28,"David Aragonés Borrego","David Aragonés Borrego",NA,"Andalucía",NA,NA,"i1_Gbif_45"
"46",36.637235,-6.385774,"Apidae","Xylocopa violacea",2022,1,30,"lucamo","Karim Strohriegl",NA,"Andalucía",NA,NA,"i1_Gbif_46"
"47",36.663013,-6.119008,"Apidae","Apis mellifera",2022,1,20,"b3ugaz","b3ugaz",NA,"Andalucía",NA,NA,"i1_Gbif_47"
"50",38.647277,0.068563,"Apidae","Bombus terrestris",2022,1,27,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_50"
"51",42.26352,2.965408,"Apidae","Apis mellifera",2022,1,31,"Jofre","Joan Díaz Calafat",NA,"Cataluña",NA,NA,"i1_Gbif_51"
"53",38.644922,0.069363,"Apidae","Apis mellifera",2022,1,27,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_53"
"54",39.634797,2.641262,"Apidae","Xylocopa violacea",2022,1,29,"Tomeu Bosch","Tomeu Bosch",NA,"Islas Baleares",NA,NA,"i1_Gbif_54"
"55",38.899242,-0.215227,"Apidae","Bombus terrestris",2022,1,28,"supergan","supergan",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_55"
"56",42.175651,-3.534636,"Apidae","Apis mellifera",2022,1,23,"euqirneto","Tim","FEMALE","Castilla y León",NA,NA,"i1_Gbif_56"
"57",38.727598,0.10481,"Apidae","Apis mellifera",2022,1,8,"eva_b_s","eva_b_s",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_57"
"58",38.64898,0.066803,"Apidae","Apis mellifera",2022,1,2,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_58"
"59",42.195959,2.905612,"Apidae","Apis mellifera",2022,1,28,"mammal","mammal",NA,"Cataluña",NA,NA,"i1_Gbif_59"
"62",36.637239,-6.385772,"Apidae","Apis mellifera",2022,1,30,"lucamo","Joan Díaz Calafat",NA,"Andalucía",NA,NA,"i1_Gbif_62"
"65",40.414531,-3.607101,"Apidae","Bombus terrestris",2022,1,5,"Sara Navarro","Sara Navarro",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_65"
"66",42.827424,-2.655675,"Apidae","Bombus terrestris",2022,1,1,"garnikaisabel","NABU Nordvorpommern","FEMALE","País Vasco",NA,NA,"i1_Gbif_66"
"67",36.653607,-4.484393,"Apidae","Apis mellifera",2022,1,28,"moleo","Manuel Raab","MALE","Andalucía",NA,NA,"i1_Gbif_67"
"68",37.285516,-4.880012,"Apidae","Xylocopa violacea",2022,2,2,"Fco. Javier Pérez Mata","Fco. Javier Pérez Mata",NA,"Andalucía",NA,NA,"i1_Gbif_68"
"70",38.828093,0.122265,"Apidae","Apis mellifera",2022,2,2,"Christian Moore Anderson","Christian Moore Anderson",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_70"
"73",41.433487,2.184513,"Apidae","Xylocopa violacea",2022,2,3,"dolordebarriga","dolordebarriga",NA,"Cataluña",NA,NA,"i1_Gbif_73"
"75",36.829557,-2.404871,"Apidae","Apis mellifera",2022,2,2,"Antonio Sarabia","Antonio Sarabia",NA,"Andalucía",NA,NA,"i1_Gbif_75"
"79",38.819423,-6.282467,"Apidae","Apis mellifera",2022,2,6,"juan manuel pérez rayego","Ray G. Cama",NA,"Extremadura",NA,NA,"i1_Gbif_79"
"80",41.387395,2.118792,"Apidae","Bombus terrestris",2022,2,8,"Valle Del Rímac","Valle Del Rímac",NA,"Cataluña",NA,NA,"i1_Gbif_80"
"81",37.407112,-6.009061,"Apidae","Xylocopa violacea",2022,2,6,"Justine","Karim Strohriegl","MALE","Andalucía",NA,NA,"i1_Gbif_81"
"82",39.634797,2.641262,"Apidae","Bombus terrestris",2022,2,4,"Tomeu Bosch","Tomeu Bosch",NA,"Islas Baleares",NA,NA,"i1_Gbif_82"
"84",42.106273,2.966573,"Apidae","Apis mellifera",2022,2,5,"lkrauel","lkrauel",NA,"Cataluña",NA,NA,"i1_Gbif_84"
"85",36.6366,-6.384821,"Apidae","Xylocopa violacea",2022,2,9,"lucamo","lucamo","MALE","Andalucía",NA,NA,"i1_Gbif_85"
"89",41.622336,-1.308461,"Apidae","Apis mellifera",2022,2,6,"Arantxa Mendoza","Arantxa Mendoza",NA,"Aragón",NA,NA,"i1_Gbif_89"
"90",39.634797,2.641262,"Apidae","Apis mellifera",2022,2,4,"Tomeu Bosch","Ricardo Lemaur",NA,"Islas Baleares",NA,NA,"i1_Gbif_90"
"91",40.364503,-3.624772,"Apidae","Bombus terrestris",2022,2,2,"Juan Cepeda Espinosa","Leonid",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_91"
"92",38.725354,0.104337,"Apidae","Apis mellifera",2022,2,9,"eva_b_s","eva_b_s",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_92"
"95",37.209518,-5.899608,"Apidae","Apis mellifera",2022,2,10,"José Carlos Moreno Chacón","José Carlos Moreno Chacón",NA,"Andalucía",NA,NA,"i1_Gbif_95"
"97",38.568915,-0.139658,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_97"
"98",38.568893,-0.139718,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_98"
"100",37.266718,-4.917921,"Apidae","Eucera nigrilabris",2022,2,14,"Fco. Javier Pérez Mata","Karim Strohriegl","MALE","Andalucía",NA,NA,"i1_Gbif_100"
"101",36.637112,-6.385641,"Apidae","Apis mellifera",2022,2,14,"lucamo","lucamo",NA,"Andalucía",NA,NA,"i1_Gbif_101"
"103",40.499192,-4.065256,"Apidae","Apis mellifera",2022,2,8,"Verdemorillo","Verdemorillo",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_103"
"104",39.473499,-0.382902,"Apidae","Apis mellifera",2022,2,10,"javieraula","javieraula","FEMALE","Comunidad Valenciana",NA,NA,"i1_Gbif_104"
"105",38.568893,-0.139718,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_105"
"106",37.351467,-5.979442,"Apidae","Apis mellifera",2022,2,10,"Bárbara Matos da Cunha Guimarães","Bárbara Matos da Cunha Guimarães",NA,"Andalucía",NA,NA,"i1_Gbif_106"
"107",38.568893,-0.139718,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_107"
"108",38.56951,-0.139748,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_108"
"109",37.194803,-3.547788,"Apidae","Xylocopa violacea",2022,2,17,"Inma Torres","Inma Torres","MALE","Andalucía",NA,NA,"i1_Gbif_109"
"111",38.642158,0.06943,"Apidae","Apis mellifera",2022,2,11,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_111"
"112",40.308556,-3.659953,"Apidae","Apis mellifera",2022,2,11,"Agustín Silgado","frank007",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_112"
"113",39.626769,2.709449,"Apidae","Apis mellifera",2022,2,13,"harrynjames","frank007",NA,"Islas Baleares",NA,NA,"i1_Gbif_113"
"115",36.715263,-4.472852,"Apidae","Xylocopa violacea",2022,2,16,"Álvaro Martín Muñoz","Trevor Sless","MALE","Andalucía",NA,NA,"i1_Gbif_115"
"117",37.279878,-5.950764,"Apidae","Xylocopa violacea",2022,2,13,"antagarcia","Karim Strohriegl",NA,"Andalucía",NA,NA,"i1_Gbif_117"
"119",41.489378,2.063721,"Apidae","Apis mellifera",2022,2,11,"javixu","javixu","FEMALE","Cataluña",NA,NA,"i1_Gbif_119"
"120",38.568893,-0.139718,"Apidae","Apis mellifera",2022,2,12,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_120"
"121",42.106238,2.968571,"Apidae","Apis mellifera",2022,2,13,"lkrauel","lkrauel",NA,"Cataluña",NA,NA,"i1_Gbif_121"
"122",42.820609,-1.788993,"Apidae","Bombus terrestris",2022,2,7,"gardatxanae","Leonid",NA,"Comunidad Foral de Navarra",NA,NA,"i1_Gbif_122"
"123",42.331814,3.098194,"Apidae","Apis mellifera",2022,2,17,"eduardmarques","eduardmarques","FEMALE","Cataluña",NA,NA,"i1_Gbif_123"
"125",38.909163,-0.229156,"Apidae","Bombus terrestris",2022,2,23,"supergan","supergan",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_125"
"132",37.620201,-0.887328,"Apidae","Xylocopa cantabrita",2022,2,22,"onyx :)","Trevor Sless",NA,"Región de Murcia",NA,NA,"i1_Gbif_132"
"134",38.909163,-0.229156,"Apidae","Apis mellifera",2022,2,17,"supergan","supergan","FEMALE","Comunidad Valenciana",NA,NA,"i1_Gbif_134"
"136",37.372577,-5.971887,"Apidae","Xylocopa violacea",2022,2,24,"joseronchel","joseronchel",NA,"Andalucía",NA,NA,"i1_Gbif_136"
"137",38.644653,0.062602,"Apidae","Apis mellifera",2022,2,17,"Bas van Hulst-Kuiper","Bas van Hulst-Kuiper","FEMALE","Comunidad Valenciana",NA,NA,"i1_Gbif_137"
"138",38.798855,-3.744525,"Apidae","Eucera nigrilabris",2022,2,16,"jesusvallez","Angel M. Moreno","MALE","Castilla-La Mancha",NA,NA,"i1_Gbif_138"
"140",41.281732,1.654985,"Apidae","Apis mellifera",2022,2,20,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_140"
"141",40.14741,-5.119717,"Apidae","Apis mellifera",2022,2,19,"antoniorico","Trevor Sless","FEMALE","Castilla y León",NA,NA,"i1_Gbif_141"
"142",35.9111,-5.370619,"Apidae","Bombus terrestris",2022,2,19,"Francisco","Francisco",NA,"Ceuta y Melilla",NA,NA,"i1_Gbif_142"
"144",36.716017,-4.471568,"Apidae","Xylocopa violacea",2022,2,21,"Álvaro Martín Muñoz","Álvaro Martín Muñoz","MALE","Andalucía",NA,NA,"i1_Gbif_144"
"146",40.493577,-3.636005,"Apidae","Apis mellifera",2022,2,20,"Balles2601","John Ascher",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_146"
"147",36.756111,-3.493889,"Apidae","Apis mellifera",2021,1,3,"Inma Torres","Inma Torres","FEMALE","Andalucía",NA,NA,"i1_Gbif_147"
"148",42.082972,2.88145,"Apidae","Bombus terrestris",2021,1,8,"albertmola","albertmola","FEMALE","Cataluña",NA,NA,"i1_Gbif_148"
"149",42.120443,2.184641,"Apidae","Apis mellifera",2021,1,17,"Alba","Alba",NA,"Cataluña",NA,NA,"i1_Gbif_149"
"150",36.91373,-6.061417,"Apidae","Apis mellifera",2021,1,28,"Dr. Jesús Jiménez-Ruiz","Dr. Jesús Jiménez-Ruiz",NA,"Andalucía",NA,NA,"i1_Gbif_150"
"151",42.125833,2.197353,"Apidae","Apis mellifera",2021,1,17,"Alba","Alba",NA,"Cataluña",NA,NA,"i1_Gbif_151"
"152",39.390733,-0.37251,"Apidae","Apis mellifera",2021,1,24,"Luis Orlando","John Ascher",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_152"
"153",41.519898,1.65168,"Apidae","Xylocopa violacea",2021,1,28,"Cristobal Jimenez","Cristobal Jimenez","MALE","Cataluña",NA,NA,"i1_Gbif_153"
"154",36.810159,-2.615035,"Apidae","Apis mellifera",2021,1,20,"Alberto J. Urea Ramos","Alberto J. Urea Ramos",NA,"Andalucía",NA,NA,"i1_Gbif_154"
"155",41.503717,2.086401,"Apidae","Xylocopa violacea",2021,1,24,"Isa Manclus","Karim Strohriegl","MALE","Cataluña",NA,NA,"i1_Gbif_155"
"156",41.834191,-0.865782,"Apidae","Apis mellifera",2021,1,11,"javisahun","javisahun",NA,"Aragón",NA,NA,"i1_Gbif_156"
"157",37.532893,-6.148481,"Apidae","Apis mellifera",2021,1,16,"José Ignacio Márquez Corro","José Ignacio Márquez Corro",NA,"Andalucía",NA,NA,"i1_Gbif_157"
"158",37.023961,-4.546847,"Apidae","Apis mellifera",2021,1,16,"Susanne Vogel","Susanne Vogel",NA,"Andalucía",NA,NA,"i1_Gbif_158"
"159",41.528381,1.641302,"Apidae","Bombus terrestris",2021,1,26,"Cristobal Jimenez","Cristobal Jimenez",NA,"Cataluña",NA,NA,"i1_Gbif_159"
"160",39.457366,-0.378874,"Apidae","Apis mellifera",2021,1,15,"Manuela","Florian Mongin","FEMALE","Comunidad Valenciana",NA,NA,"i1_Gbif_160"
"161",41.405926,2.184402,"Apidae","Apis mellifera",2021,1,31,"avellanes","Susanna Heideman",NA,"Cataluña",NA,NA,"i1_Gbif_161"
"162",42.756365,-2.925381,"Apidae","Apis mellifera",2021,1,24,"garnikaisabel","garnikaisabel",NA,"País Vasco",NA,NA,"i1_Gbif_162"
"163",42.470506,-2.461496,"Apidae","Apis mellifera",2021,1,31,"José Antonio León Mangado","José Antonio León Mangado",NA,"La Rioja",NA,NA,"i1_Gbif_163"
"164",37.396919,-6.002278,"Apidae","Apis mellifera",2021,1,31,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"i1_Gbif_164"
"165",43.355462,-5.08017,"Apidae","Bombus terrestris",2021,1,8,"Miguel A. Casado","Joan Díaz Calafat","FEMALE","Principado de Asturias",NA,NA,"i1_Gbif_165"
"166",40.676997,-3.737752,"Apidae","Apis mellifera",2021,1,14,"ARSENIO GONZALEZ NAVARRO","ARSENIO GONZALEZ NAVARRO",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_166"
"167",36.414452,-5.16015,"Apidae","Xylocopa violacea",2021,1,15,"1129633969",NA,NA,NA,"UTM25_30S_0300_4025",NA,"i1_Gbif_167"
"168",39.463395,-0.51721,"Apidae","Apis mellifera",2021,2,9,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_168"
"169",41.523506,1.651664,"Apidae","Bombus pascuorum",2021,2,11,"Cristobal Jimenez","Rafael",NA,"Cataluña",NA,NA,"i1_Gbif_169"
"170",42.136765,2.177368,"Apidae","Bombus pratorum",2021,2,2,"Alba","John Ascher","FEMALE","Cataluña",NA,NA,"i1_Gbif_170"
"171",42.048402,2.034247,"Apidae","Anthophora plumipes",2021,2,5,"jordi_compte","jordi_compte","MALE","Cataluña",NA,NA,"i1_Gbif_171"
"172",41.519865,1.652682,"Apidae","Xylocopa violacea",2021,2,3,"Cristobal Jimenez","Cristobal Jimenez","MALE","Cataluña",NA,NA,"i1_Gbif_172"
"173",36.581074,-4.59722,"Apidae","Apis mellifera",2021,2,1,"djhird","djhird",NA,"Andalucía",NA,NA,"i1_Gbif_173"
"174",41.490259,1.956545,"Apidae","Apis mellifera",2021,2,2,"Jose-Antonio Ortiz-Marzo","Jose-Antonio Ortiz-Marzo",NA,"Cataluña",NA,NA,"i1_Gbif_174"
"175",39.463207,-0.517063,"Apidae","Apis mellifera",2021,2,8,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_175"
"176",40.156218,-5.06826,"Apidae","Xylocopa violacea",2021,2,15,"antoniorico","Trevor Sless","MALE","Castilla y León",NA,NA,"i1_Gbif_176"
"177",36.137959,-5.462091,"Apidae","Apis mellifera",2021,2,13,"whodden","whodden",NA,"Andalucía",NA,NA,"i1_Gbif_177"
"178",38.035427,-1.139868,"Apidae","Nomada agrestis",2021,2,15,"Chema Catarineu","Chema Catarineu","FEMALE","Región de Murcia",NA,NA,"i1_Gbif_178"
"179",41.420132,2.175785,"Apidae","Xylocopa violacea",2021,2,13,"crisbiete","crisbiete","MALE","Cataluña",NA,NA,"i1_Gbif_179"
"180",41.62453,-1.295268,"Apidae","Xylocopa violacea",2021,2,16,"Arantxa Mendoza","Arantxa Mendoza",NA,"Aragón",NA,NA,"i1_Gbif_180"
"181",40.151296,-5.115495,"Apidae","Apis mellifera",2021,2,20,"antoniorico","Trevor Sless",NA,"Castilla y León",NA,NA,"i1_Gbif_181"
"182",37.017415,-4.553498,"Apidae","Apis mellifera",2021,2,25,"Susanne Vogel","José Costa","FEMALE","Andalucía",NA,NA,"i1_Gbif_182"
"183",41.54274,1.633553,"Apidae","Eucera nigrilabris",2021,2,17,"Cristobal Jimenez","Angel M. Moreno","MALE","Cataluña",NA,NA,"i1_Gbif_183"
"184",41.356977,1.966915,"Apidae","Xylocopa violacea",2021,2,18,"neuspip","neuspip","MALE","Cataluña",NA,NA,"i1_Gbif_184"
"185",41.562726,2.023316,"Apidae","Xylocopa violacea",2021,2,13,"Jose-Antonio Ortiz-Marzo","José Costa",NA,"Cataluña",NA,NA,"i1_Gbif_185"
"186",40.587094,-3.703053,"Apidae","Apis mellifera",2021,2,20,"rafac","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_186"
"187",41.793553,1.633213,"Apidae","Apis mellifera",2021,2,17,"peresol","John Ascher",NA,"Cataluña",NA,NA,"i1_Gbif_187"
"188",40.652418,-3.784167,"Apidae","Xylocopa violacea",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","MALE","Comunidad de Madrid",NA,NA,"i1_Gbif_188"
"189",41.366968,2.152605,"Apidae","Apis mellifera",2021,2,20,"sbrnmnndz","John Ascher",NA,"Cataluña",NA,NA,"i1_Gbif_189"
"190",41.562728,2.023316,"Apidae","Bombus terrestris",2021,2,23,"Jose-Antonio Ortiz-Marzo","Jose-Antonio Ortiz-Marzo","FEMALE","Cataluña",NA,NA,"i1_Gbif_190"
"191",40.66703,-3.763588,"Apidae","Bombus terrestris",2021,2,13,"Angel","Angel",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_191"
"192",40.412253,-3.692366,"Apidae","Apis mellifera",2021,2,13,"deinonyco","deinonyco",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_192"
"193",39.477983,-0.386065,"Apidae","Apis mellifera",2021,2,13,"Luis Orlando","Luis Orlando",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_193"
"194",42.122715,2.214188,"Apidae","Bombus pratorum",2021,2,18,"Alba","Alba",NA,"Cataluña",NA,NA,"i1_Gbif_194"
"195",40.58711,-3.702688,"Apidae","Apis mellifera",2021,2,20,"rafac","Susanna Heideman",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_195"
"196",40.636987,-3.838978,"Apidae","Apis mellifera",2021,2,20,"Eduardo Ramirez Esteban","Eduardo Ramirez Esteban",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_196"
"197",40.172715,-5.331412,"Apidae","Xylocopa violacea",2021,2,14,"keith681","keith681",NA,"Castilla y León",NA,NA,"i1_Gbif_197"
"198",40.652418,-3.784167,"Apidae","Apis mellifera",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","FEMALE","Comunidad de Madrid",NA,NA,"i1_Gbif_198"
"199",40.652418,-3.784167,"Apidae","Xylocopa violacea",2021,2,19,"Ricardo Rodero Henández","Ricardo Rodero Henández","MALE","Comunidad de Madrid",NA,NA,"i1_Gbif_199"
"200",40.587241,-3.702259,"Apidae","Apis mellifera",2021,2,19,"rafac","Trevor Sless",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_200"
"201",41.540736,1.635793,"Apidae","Apis mellifera",2021,2,16,"Cristobal Jimenez","Cristobal Jimenez","FEMALE","Cataluña",NA,NA,"i1_Gbif_201"
"202",39.477983,-0.386065,"Apidae","Xylocopa violacea",2021,2,13,"Luis Orlando","Luis Orlando","MALE","Comunidad Valenciana",NA,NA,"i1_Gbif_202"
"203",40.14958,-5.11864,"Apidae","Apis mellifera",2021,2,20,"antoniorico","antoniorico",NA,"Castilla y León",NA,NA,"i1_Gbif_203"
"204",41.64257,2.707815,"Apidae","Bombus terrestris",2021,2,24,"jorditb","jorditb","FEMALE","Cataluña",NA,NA,"i1_Gbif_204"
"205",37.011736,-4.555382,"Apidae","Xylocopa violacea",2021,2,16,"Susanne Vogel","Susanne Vogel","MALE","Andalucía",NA,NA,"i1_Gbif_205"
"206",37.292701,-5.931458,"Apidae","Xylocopa violacea",2021,2,17,"Santiago Martín-Bravo","Santiago Martín-Bravo","MALE","Andalucía",NA,NA,"i1_Gbif_206"
"207",42.048623,2.034086,"Apidae","Xylocopa violacea",2021,2,25,"jordi_compte","jordi_compte","MALE","Cataluña",NA,NA,"i1_Gbif_207"
"208",38.372241,-0.499277,"Apidae","Apis mellifera",2021,2,22,"isma4el","Trevor Sless",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_208"
"209",40.593752,-3.724011,"Apidae","Bombus terrestris",2021,2,28,"rafac","rafac",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_209"
"210",43.459273,-7.825563,"Apidae","Bombus terrestris",2021,2,27,"Chukos","Chukos",NA,"Galicia",NA,NA,"i1_Gbif_210"
"211",38.035517,-1.139605,"Apidae","Nomada succincta",2021,2,16,"Chema Catarineu","Chema Catarineu","FEMALE","Región de Murcia",NA,NA,"i1_Gbif_211"
"212",41.276283,1.974331,"Apidae","Bombus terrestris",2021,2,20,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_212"
"213",40.754613,-2.616305,"Apidae","Apis mellifera",2021,2,27,"solrac82","José Costa","FEMALE","Castilla-La Mancha",NA,NA,"i1_Gbif_213"
"214",37.356902,-5.941199,"Apidae","Xylocopa violacea",2021,2,11,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"i1_Gbif_214"
"215",37.356951,-5.940382,"Apidae","Xylocopa violacea",2021,2,11,"Víctor González García","Víctor González García",NA,"Andalucía",NA,NA,"i1_Gbif_215"
"216",41.570368,-1.060522,"Apidae","Apis mellifera",2021,2,20,"Javier Patiño Loira","Javier Patiño Loira",NA,"Aragón",NA,NA,"i1_Gbif_216"
"217",41.570307,-1.060503,"Apidae","Xylocopa violacea",2021,2,26,"Javier Patiño Loira","Javier Patiño Loira","MALE","Aragón",NA,NA,"i1_Gbif_217"
"220",36.662862,-6.118809,"Apidae","Xylocopa violacea",2021,2,27,"b3ugaz","b3ugaz",NA,"Andalucía",NA,NA,"i1_Gbif_220"
"221",41.276233,1.974251,"Apidae","Apis mellifera",2021,3,6,"Josep Mª Albesa Gasulla","Josep Mª Albesa Gasulla",NA,"Cataluña",NA,NA,"i1_Gbif_221"
"222",40.653238,-3.754,"Apidae","Apis mellifera",2021,3,5,"Eduardo Ramirez Esteban","Eduardo Ramirez Esteban",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_222"
"223",40.44398,-3.459189,"Apidae","Apis mellifera",2021,3,9,"ARBA del Henares","ARBA del Henares",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_223"
