"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS.(N)","GPS.(E)","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Comentarios","Atención!"
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Bombus","Bombus","terrestris","Madrid"," A. Soria, M-30","Madrid","España","2018-02-02",NA,NA,NA,"C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","C. Ornosa","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
"Lasioglossum","Evylaeus","marginatum","Monte Valgallegos","La Cabrera","Madrid","España","2018-04-25",800,"40º50´8´´N","3º35´10´´W","D. Romero","C. Ornosa",2018,NA,"1 obrera","UCME",NA,NA
