"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Observaciones"
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidium","Anthidium","manicatum","Ruinas de Bruñel ","Sierra de Cazorla","Jaén","España","16-VI-2010",NA,NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","septemdentatum ","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","sticticum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Anthidiellum",NA,"strigatum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,1,NA,"UCME",NA
"Rhodanthidium","Rhod.","sticticum","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Rhodanthidium","Rhod.","septemdentatum ","Linarejos ","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,"C. Ornosa","C. Ornosa",2010,NA,"1","UCME",NA
"Chalicodoma",NA,"sicula ","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","J. Ortiz",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"latrillei","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,1," ","Almería/UCME",NA
"Osmia",NA,"ferruginea","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"tricornis","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Osmia",NA,"tricornis","Las Cuevas de los Medinas","Almería","Almería","España","2011-04-03",NA,NA,"J. Ortiz","F. Torres",2011,NA,"1","Almería/UCME",NA
"Stelis",NA,"punctulatissima","Fuente Chirrichana","Cofrentes","Valencia","España","2011-06-17","630","30SXJ6650","J. Ortiz","C. Ornosa",2011,NA,"1","Almería/UCME",NA
"Anthidiellum",NA,"strigatum","Fuente Chirrichana","Cofrentes","Valencia","España","2011-06-17","630","30SXJ6650","J. Ortiz","C. Ornosa",2011,1,NA,"Almería/UCME",NA
"Anthidium",NA,"cingulatum","Casa de Postas","Buñol ","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,NA,"1","Almería",NA
"Anthidiellum",NA,"strigatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,1," ","Almería/UCME",NA
"Anthidiellum",NA,"strigatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2111,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"laticeps","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidium",NA,"florentinum","Fuente la Losa","Calles","Valencia","España","2011-06-18","510","30SXK7600","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"interrupta","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Coelioxys","Coelioxys","conoidea","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205","J. Ortiz","J. Ortiz",2011,NA,"1","Almería",NA
"Anthidium",NA,"loti","Finca Contreras, Hoces del Cabriel","Minglanilla","Cuenca","España","2011-06-19","650","30SXJ2877","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Anthidium",NA,"florentinum","Finca Contreras, Hoces del Cabriel","Minglanilla","Cuenca","España","2011-06-19","650","30SXJ2877","J. Ortiz","C. Ornosa",2011,1,NA,"Almería",NA
"Stelis",NA,"signata","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Coelioxys","Allocoelioxys","afra","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","J. Ortiz",2011,1,NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
"Trachusa",NA,"interrupta","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877","J. Ortiz","C. Ornosa",2011,NA,"1","Almería",NA
