"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus","terrestris",NA,"Spain","Bizkaia","Orozko","43.0758458200","-2.8249904000","<1km",2020,5,3,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lathyrus linifolius","BC3_1","Ainhoa Magrach",NA,NA
"Bombus","lapidarius",NA,"Spain","Bizkaia","Orozko","43.0759921600","-2.8250249700","<1km",2020,5,3,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lathyrus linifolius","BC3_2","Ainhoa Magrach",NA,NA
"Bombus","lapidarius",NA,"Spain","Bizkaia","Orozko","43.0760373400","-2.8251928700","<1km",2020,5,3,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lathyrus linifolius","BC3_3","Ainhoa Magrach",NA,NA
"Bombus","lapidarius",NA,"Spain","Bizkaia","Orozko","43.0758524300","-2.8251129100","<1km",2020,5,3,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lathyrus linifolius","BC3_4","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0809051400","-2.8190489400","<1km",2020,5,6,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_7","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0808490100","-2.8189227900","<1km",2020,5,6,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_8","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0808209800","-2.8188597800","<1km",2020,5,6,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_9","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0808132800","-2.8188661500","<1km",2020,5,6,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_10","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0782209600","-2.8103903700","<1km",2020,5,7,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_14","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.078016978348963","-2.810401869309984","<1km",2020,5,7,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_15","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.078047585002707","-2.810467388757291","<1km",2020,5,7,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_16","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809367100","-2.8188358000","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_17","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0809397400","-2.8188189200","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Taraxacum sp.","BC3_18","Ainhoa Magrach",NA,NA
"Apis","mellifera",NA,"Spain","Bizkaia","Orozko","43.0808872300","-2.8188192900","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ranunculus sp.","BC3_19","Ainhoa Magrach",NA,NA
"Bombus","terrestris",NA,"Spain","Bizkaia","Orozko","43.0808624900","-2.8188110300","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Pinguicula grandiflora subsp. Grandiflora","BC3_21","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0808872300","-2.8188192900","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_23","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809380900","-2.8187915500","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_25","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809740900","-2.8189198100","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_31","Ainhoa Magrach",NA,NA
"Bombus","lapidarius",NA,"Spain","Bizkaia","Orozko","43.0809941600","-2.8189175700","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_32","Ainhoa Magrach",NA,NA
"Bombus","lapidarius",NA,"Spain","Bizkaia","Orozko","43.0809413900","-2.8188463000","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_33","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809894900","-2.8189070700","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_34","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809894900","-2.8189070700","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_35","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809600500","-2.8188883800","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_37","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0809737700","-2.8188482400","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_38","Ainhoa Magrach",NA,NA
"Bombus","terrestris",NA,"Spain","Bizkaia","Orozko","43.081038965582998","-2.818923565908640","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_39","Ainhoa Magrach",NA,NA
"Bombus","terrestris",NA,"Spain","Bizkaia","Orozko","43.0809584300","-2.8188609300","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_40","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0810152600","-2.8187994500","<1km",2020,5,17,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_41","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0781764800","-2.8105626100","<1km",2020,5,18,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_44","Ainhoa Magrach",NA,NA
"Bombus","pascuorum",NA,"Spain","Bizkaia","Orozko","43.0780619700","-2.8104042100","<1km",2020,5,18,NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_45","Ainhoa Magrach",NA,NA
