"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS.(N)","GPS.(E)","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Bombus","terrestris","Guadalajara","Guadalajara","Guadalajara","España","1983-05-10",NA,NA,NA,"Antonio Rodríguez","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Villares del Saz","Villares del Saz","Cuenca","España","1986-06-25",NA,NA,NA,"Isaac Vega","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Cerceda","Cerceda","Madrid","España","1986-05-20",NA,NA,NA,"J.A. Díaz","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","El Espinar","El Espinar","Segovia","España","1986-05-22",NA,NA,NA,"J. Sandoz","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Algete","Algete","Madrid","España","1986-06-21",NA,NA,NA,"A. Pérez","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1983-09-04",NA,NA,NA,"Manuel Galdón","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1982-07-13",NA,NA,NA,"B. Delgado","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Saelices del Río","Saelices del Río","León","España","00/08/1977",NA,NA,NA,"V. Santos Vega","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Ciudad Universitaria","Madrid","Madrid","España","00/04/1986",NA,NA,NA,"E. Manzanera","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Salnes","Salnes","Pontevedra","España","00/04/1986",NA,NA,NA,"J. Alonso","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Llanes","Llanes","Asturias","España","1986-04-01",NA,NA,NA,"M.A. Valladares","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Barajas","Madrid","Madrid","España","00/06/1986",NA,NA,NA,"Soledad Fernández","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1985-09-15",NA,NA,NA,"J.M. Vera","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Barrio de Moratalaz","Madrid","Madrid","España","1981-05-10",NA,NA,NA,"Paloma Fraguio","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Barcelona","Barcelona","Barcelona","España","00/08/1985",NA,NA,NA,"J. Herrero","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Cazorla","Cazorla","Jaén","España","00/05/1986",NA,NA,NA,"S. Lorente","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Valdemorillo","Madrid","Madrid","España","1980-05-13",NA,NA,NA,"-","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Marbella","Marbella","Málaga","España","1986-04-26",NA,NA,NA,"M. Escobar","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","El Escorial","Madrid","Madrid","España","1981-06-10",NA,NA,NA,"M. Garijo","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1978-08-02",NA,NA,NA,"M.A. Jardio","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Casa de Campo","Madrid","Madrid","España","1981-05-14",NA,NA,NA,"Rosa Feijoo","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/04/1980",NA,NA,NA,"Gonzalo García Pérez","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Parque del Oeste","Madrid","Madrid","España","1980-06-15",NA,NA,NA,"R. Gil","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Casa de Campo","Madrid","Madrid","España","00/08/1981",NA,NA,NA,"Mª Ángeles Bermejo","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Peguerinos","Ávila","Ávila","España","1980-04-09",NA,NA,NA,"Julio César","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1983-05-13",NA,NA,NA,"L.J. Escorda","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/05/1981",NA,NA,NA,"J. Quiroga","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Becerril de la Sierra","Madrid","Madrid","España","1983-06-18",NA,NA,NA,"P. Nicolas","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/07/1981",NA,NA,NA,"-","C. Ornosa",2014,"macho","obrera","UCME/CACLM"
