Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Tetralonia ;berlandi;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2006;12;30;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Tetralonia ;berlandi;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;1;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;1;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;1;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;1;24;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;1;24;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Tetralonia ;berlandi;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;27;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;27;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;27;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Tetralonia ;berlandi;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;8;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;8;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;8;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;dispar;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;8;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Tetralonia ;berlandi;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;dispar;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;3;9;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Bombus ;terrestris;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;6;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;6;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Almonte;37.736946;-6.50777777777777;<10m;2007;2;6;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;plumipes;NA;Spain;Huelva;Hinojos;37.2922222;-6.41777777777777;<10m;2007;3;15;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Anthophora ;hispanicus;NA;Spain;Huelva;Hinojos;37.2922222;-6.41777777777777;<10m;2007;3;15;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
Apis;mellifera;NA;Spain;Huelva;Hinojos;37.2922222;-6.41777777777777;<10m;2007;3;15;NA;NA;Ramon Casimiro-Soriguer;Javier Herrera;NA;NA;NA;NA;NA;NA;NA;Francisco Javier Ortiz;Feeding on Erophaca baetica;NA
