"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus","pascuorum",NA,"Spain","Cantabria","Suances","43.4416666666666",-4.04722222222222,"<5km",2007,"April/May",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sílvia Castro",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"José M. Sánchez",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Navarro",NA,NA
"Bombus","terrestris",NA,"Spain","Cantabria","Suances","43.4416666666666",-4.04722222222222,"<5km",2007,"April/May",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sílvia Castro",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"José M. Sánchez",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Navarro",NA,NA
"Bombus","pascuorum",NA,"Spain","Palencia","Ventanilla","42.8777777777777",-4.53305555555555,"<5km",2008,"June",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sílvia Castro",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"José M. Sánchez",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Navarro",NA,NA
"Bombus","terrestris",NA,"Spain","Palencia","Ventanilla","42.8777777777777",-4.53305555555555,"<5km",2008,"June",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora diffusa",NA,"Victoria Ferrero",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sílvia Castro",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"José M. Sánchez",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Navarro",NA,NA
"Apis ","mellifera",NA,"Spain","Jaén","S. Magina","37.7016666666666",-3.46472222222222,"<5km",2007,"May",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora nitida",NA,"Victoria Ferrero",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sílvia Castro",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"José M. Sánchez",NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Luis Navarro",NA,NA
"Eucera","longicornis",NA,"Spain","Jaén","S. Magina","37.7016666666666",-3.46472222222222,"<5km",2007,"May",NA,NA,NA,"V. Ferrero","V. Ferrero",0,0,0,1,NA,"Glandora nitida",NA,"Victoria Ferrero",NA,NA
