"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Observaciones"
"Anthidium","Anthid","florentinum","San Lorenzo de Tormes"," ","Ávila","España","18-VIII-1988",NA,NA,"F. Sanza","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Pasaron",NA,"Cáceres","España","18-VIII-1988",NA,NA,"C. Heras","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium","Proanthid","oblongatum","Poyales del Hoyo",NA,"Ávila","España","20-VIII_1988","560m",NA,"J. J. Pedrero","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Candeleda",NA,"Ávila","España","20-VIII_1988",NA,NA,"C. Heras","F. Torres",NA,NA,1,"Salamanca/2",NA
NA,NA,NA,"Antigüedad",NA,"Palencia","España","25-VII-1985",NA,NA,"A. Rueda","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Anthidium","Anthid","manicatum","Piedrahita",NA,"Ávila","España","12-VIII-1987",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,1,"Salamanca/2",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","14-VIII_1997",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
"Anthidium","Anthid","cingulatum","Salto Aldeadávila",NA,"Salamanca","España","2-VIII_1997",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","22-VI-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Anthidium","Anthid","cingulatum","Pina de Ebro",NA,"Zaragoza","España","7-VIII-1991",NA,NA,"J. Blasco","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium","Anthid","cingulatum","Dueñas",NA,"Palencia","España","11-VII-1985",NA,NA,"A. Rueda","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium",NA,"taeniatum","La Aldehuela",NA,"Ávila","España","19-VIII-1987",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium",NA,"taeniatum","Navalsanz",NA,"Ávila","España","20-VIII-1987",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
"Anthidium",NA,"taeniatum","Villamuera de la C.",NA,"Palencia","España","20-VII-1987",NA,NA,"A. Rueda","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium",NA,"lituratum","Tariego",NA,"Palencia","España","16-IX-1985",NA,NA,"A. Rueda","F. Torres",NA,NA,1,"Salamanca/2",NA
"Anthidium",NA,"trematum","Salto Aldeadávila",NA,"Salamanca","España","2-VIII-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","18-VIII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Anthidium",NA,"punctatum","Pina de Ebro",NA,"Zaragoza","España","20-VI-1991",NA,NA,"J. Blasco","F. Torres",NA,1,NA,"Salamanca/2",NA
