"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","female","male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data"
"Bombus","terrestris",NA,"Portugal","Madeira","Pico do Arieiro"," 32.733305°","-16.929006°","<20m",2019,"junho",9,NA,NA,"Fabiana Esposito","Fabiana Esposito",2,0,0,0,NA,"Echium candicans",NA,"Fabiana Espositio","Direct observation and photographed"
"Amegilla","quadrifasciata","maderae","Portugal","Madeira","Pico do Arieiro"," 32.733305°","-16.929006°","<20m",2019,"junho",9,NA,NA,"Fabiana Esposito","Fabiana Esposito",1,0,0,0,NA,"Echium candicans",NA,"Fabiana Espositio","Direct observation and photographed"
"Bombus","terrestris",NA,"Portugal","Madeira","Pico do Arieiro"," 32.733305°","-16.929006°","<20m",2019,"junho",9,NA,NA,"Fabiana Esposito","Fabiana Esposito",25,0,0,0,NA,"Echium candicans",NA,"Fabiana Espositio","Direct observation and filmed"
"Xylocopa","violacea",NA,"Portugal","Estremadura","Lisboa"," 38.788226°"," -9.150271°","<10m",2020,"maio",28,NA,NA,"Carla Rego","Carla Rego",0,1,0,0,NA,"Bituminaria betuminosa",NA,"Carla Rego","Direct observation"
"Xylocopa","violacea",NA,"Portugal","Estremadura","Lisboa"," 38.790567°"," -9.151290°","<10m",2020,"maio",17,NA,NA,"Carla Rego","Carla Rego",1,0,0,0,NA,NA,NA,"Carla Rego","Direct observation"
"Apis","mellifera",NA,"Portugal","Estremadura","Lisboa"," 38.788226°"," -9.150271°","<10m",2020,"maio",28,NA,NA,"Carla Rego","Carla Rego",0,0,1,0,NA,"Echium sp",NA,"Carla Rego","Direct observation"
"Apis","mellifera",NA,"Portugal","Estremadura","Lisboa"," 38.790848°"," -9.157461°","<10m",2020,"maio",10,NA,NA,"Carla Rego","Carla Rego",0,0,30,0,NA,"Echium sp",NA,"Carla Rego","Direct observation"
"Xylocopa","violacea",NA,"Portugal","Estremadura","Lisboa"," 38.787019°"," -9.160942°","<10m",2020,"março",22,NA,NA,"Carla Rego","Carla Rego",3,0,0,0,NA,NA,NA,"Carla Rego","Direct observation"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.657174°"," -27.230494°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,35,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.657174°"," -27.230494°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,12,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.656084°"," -27.230389°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,18,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.657174°"," -27.230494°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",4,0,16,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.657174°"," -27.230494°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",1,0,8,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.656084°"," -27.230389°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",2,0,2,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.653897°"," -27.228820°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,26,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.653897°"," -27.228820°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",7,0,16,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.652725°"," -27.225259°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,8,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.652725°"," -27.225259°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,2,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
