"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador;","Año.ident","Machos","Hembras","Proced/caja","Observaciones"
"Rhodanthidium",NA,"septemdentatum","Peñagolosa",NA,"Castellón","España","23-VII-1946",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"septemdentatum","Peñagolosa",NA,"Castellón","España","23-VII-1946",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Cañada",NA,"Valencia","España",NA,NA,NA,"Giner Mari","E.Mingo","1961","1",NA,NA,NA
"Rhodanthidium",NA,"sticticum","S.J. de la Peña ",NA,"Huesca","España","09-IV-1977",NA,NA,"C.Gavete","C.Ornosa",NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Cabo de Gata (zona de dunas)",NA,"Almería","España","14-IV-1976",NA,NA,"C.Ornosa","C Ornosa",NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Rostrogordo",NA,NA,"España","1959",NA,NA,NA,NA,NA,NA,1,"A.Compte",NA
"Rhodanthidium",NA,"sticticum","Rocafort",NA,"Valencia","España","04/14-II-1960",NA,NA,"M.A.Barón","E.Mingo","1965",NA,1,"Peris",NA
"Rhodanthidium",NA,"sticticum","Benidorm",NA,"Alicante","España","20-III-1965",NA,NA,NA,"E.Mingo","1965",NA,1,"Peris",NA
"Rhodanthidium",NA,"sticticum","Bétera",NA,"Valencia","España","IV-1940",NA,NA,"Peris Torres","E.Mingo","1961",NA,1,"Peris",NA
"Rhodanthidium",NA,"sticticum","Bétera",NA,"Valencia","España","14-IV-1941",NA,NA,"Peris Torres","E.Mingo","1961",NA,1,"Peris",NA
"Rhodanthidium",NA,"sticticum","Cuenca",NA,NA,"España","26-VI-1972",NA,NA,"F.J.Haering",NA,NA,NA,NA,"Alumnos",NA
"Rhodanthidium",NA,"sticticum","Villafán",NA,"Castellón","España","01-V-1971",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Carvajal",NA,"Málaga","España","13-IV-1974",NA,NA,"M.J.Sanz","C.P-Iñigo",NA,NA,1,"Alumnos",NA
"Rhodanthidium",NA,"sticticum","El Escorial",NA,"Madrid","España","V-1977",NA,NA,"A.Serrano","C Ornosa",NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","20-V-1947",NA,NA,"C.Marin","C Ornosa",NA,"1",NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","27-IV-1945",NA,NA,"C.Marin","C Ornosa",NA,"1",NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","27-IV-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,1,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","06-III-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,1,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","07-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","07-V-1945",NA,NA,"C.Marin","C Ornosa",NA,"1",NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","07-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Valencia",NA,NA,"España",NA,NA,NA,NA,NA,NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","06-III-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,1,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","12-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","07-V-1945",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Artana",NA,"Castellón","España","03-V-1944",NA,NA,"C.Marin","C Ornosa",NA,NA,NA,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","Dehesa Albufera",NA,"Valencia","España","15-IV-1928",NA,NA,"Quilis","C Ornosa",NA,NA,1,"C.Marin",NA
"Rhodanthidium",NA,"sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08","673",NA,NA,NA,"J. Ortiz","2008",1,"UCME",NA
"Rhodanthidium",NA,"sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08",NA,NA,NA,"J. Ortiz","J. Ortiz","2008",1,"UCME",NA
"Rhodanthidium",NA,"sticticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08",NA,NA,NA,"J. Ortiz","J. Ortiz","2008",1,"UCME",NA
"Rhodanthidium",NA,"septemdentatum","Tibi",NA,"Alicante","España","6-VI-2008",NA,NA,NA,"J. Ortiz","C. Ornosa","2008",1,"UCME",NA
"Rhodanthidium ",NA,"sticticum","Arroyomolinos de León",NA,"Huelva","España","24-IV-2009","600","29SQC2612",NA,"J. Ortiz","C. Ornosa","2009",1,"Almería ",NA
"Rhodanthidium ",NA,"sticticum","Fuente del Medio, Celemín","Cardenete","Cuenca","España","16-V-2009","940","30SXK0804",NA,"J. Ortiz","C. Ornosa","2009",1,"Almería ",NA
"Rhodanthidium ",NA,"sticticum","Arroyomolinos de León",NA,"Huelva","España","24-IV-2009","600","29SQC2612",NA,"J. Ortiz","C. Ornosa","2009",NA,"Almería",NA
"Rhodanthidium ",NA,"sticticum","Pozo Cañada",NA,"Albacete","España",NA,"815","30SXH1094",NA,"J. Ortiz","C. Ornosa","2009",NA,"Almería",NA
"Rhodanthidium ",NA,"sticticum","Fuente del Medio, Celemín","Cardenete","Cuenca","España","16-V-2009","940","30SXK0804",NA,"J. Ortiz","C. Ornosa","2009",1,"Almería",NA
"Rhodanthidium ",NA,"sticticum","Arroyomolinos de León",NA,"Huelva","España","24-IV-2009","600","29SQC2612",NA,"J. Ortiz","C. Ornosa","2009",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatun","Jarafuel",NA,"Valencia","España","17-V-2009","800","30SXJ 5232",NA,"J. Ortiz","C. Ornosa","2009",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peña Cañada",NA,"Albacete","España","15-V-2009","815","30SKH1094",NA,"J. Ortiz","C. Ornosa",NA,1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Casa de Postas","Buñol","Valencia","España","2011-06-17","600","30SXJ8369",NA,"J. Ortiz","C. Ornosa","2011",NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008",NA,"J. Ortiz","C. Ornosa","2011",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Peñas de Dios","Higueruelas","Valencia","España","2011-06-18","1060","30SXK8008",NA,"J. Ortiz","C. Ornosa","2011",NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195",NA,"J. Ortiz","C. Ornosa","2011",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Puente Alta, río Turia","Calles","Valencia","España","2011-06-18","350","30SXKJ7195",NA,"J. Ortiz","C. Ornosa","2011",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","La Tartalona","Tuéjar","Valencia","España","2011-06-18","730","30SXK6205",NA,"J. Ortiz","C. Ornosa","2011",1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum","Presa Contreras, Hoces del Cabriel","Villargordo del Cabriel","Valencia","España","2011-06-19","680","30SXJ2877",NA,"J. Ortiz","C. Ornosa","2011",NA,"Almería",NA
"Rhodanthidium",NA,"sticticum","Lagunas de Ruidera ( 3)","Lagunas de Ruidera","Albacetel","España","8-VI-2009","800","30SWJ112124",NA,"C. Ornosa",NA,NA,NA,NA,NA
"Rhodanthidium",NA,"sticticum","Lagunas de Ruidera ( 3)","Lagunas de Ruidera","Albacetel","España","8-VI-2009","800","30SWJ112124",NA,"C. Ornosa",NA,NA,1,NA,NA
"Rhodanthidium",NA,"septemdentatum","Ruta de la Laguna Blanca (4)","Lagunas de Ruidera","Albacetel","España","9-VI-2009","825","30SWJ156084",NA,"C. Ornosa",NA,NA,1,NA,NA
"Rhodanthidium",NA,"septemdentatum","Ruta de la Laguna Blanca (4)","Lagunas de Ruidera","Albacetel","España","9-VI-2009","825","30SWJ156084",NA,"C. Ornosa",NA,NA,NA,NA,NA
"Trianthidium",NA,"caturigense","Viana de Cega",NA,"Valladolid","España","26-VII-1993",NA,NA,NA,"J. A. González","F. Torres",NA,1,"Salamanca/3",NA
"Rhodanthidium",NA,"infuscatum","Foz de Lumbier",NA,"Navarra",NA,"8-VII-2008","445","30TXN3822",NA,"J. Ortiz","C. Ornosa",NA,1,"Almería",NA
"Rhodanthidium",NA,"septemdentatum ","Linarejos  (3)","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,NA,"C. Ornosa","C. Ornosa","2010",1,"Almería",NA
"Rhodanthidium",NA,"sticticum","Linarejos  (3)","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,NA,"C. Ornosa","C. Ornosa","2010",1,"Almería",NA
"Rhodanthidium",NA,"sticticum","Linarejos  (3)","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,NA,"C. Ornosa","C. Ornosa","2010",NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatum ","Linarejos  (3)","P Nat Cazorla, Segura y las Viñas","Jaén","España","17-VI-2010","1110 m",NA,NA,"C. Ornosa","C. Ornosa","2010",NA,"Almería",NA
"Rhodanthidium",NA,"caturigense","Monte Padilla. Sierra de Baza. ","Baza","Granada",NA,"27-VI-1994","2020","30SWG1924",NA,"J. Ortiz","C. Ornosa","2010",1,"Almería",NA
"Rhodanthidium",NA,"caturigense","Strio. Virgen de la Cabeza","Sierra Morena","Jaén",NA,"2-V-1994","500","30SVh1027",NA,"J. Ortiz","C. Ornosa","2010",1,"Almería",NA
"Rhodanthidium",NA,"caturigense","Peñarrubia. Sierra Cambrón (o Ponce)",NA,"Murcia",NA,"8-V-1994","1000","30SXG1694",NA,"J. Ortiz","C. Ornosa","2010",1,"Almería",NA
"Rhodanthidium",NA,"siculum","Devesa del Saler","Estany Pujol","Valencia",NA,"6-V-2004",NA,NA,NA,"Domínguez, Serranoy Montagud","J. OrtizC. Ornosa","2009/2010",1,"Almería",NA
"Rhodanthidium",NA,"infuscatum","Devesa del Saler",NA,"Valencia",NA,"30-VI-2004",NA,NA,NA,"Domínguez, Serranoy Montagud","C. Ornosa",NA,1,"Almería",NA
"Rhodanthidium",NA,"siculum","Polígono I. Olmo",NA,"Almería?",NA,"8-IV-2002",NA,NA,NA,"J.C.","C. Ornosa","2010",NA,"Almería",NA
"Rhodanthidium",NA,"septemdentatun","Benasque",NA,"Huesca","España","2011-07-15",NA,NA,NA,"C. Ornosa","C. Ornosa",NA,NA,NA,NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf","Barcelona",NA,"España","20-V-2009",NA,NA,NA,"J. Bosch","C. Ornosa","2012",1,"UCM",NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf","Barcelona",NA,"España","20-V-2009",NA,NA,NA,"J. Bosch","C. Ornosa","2012",NA,"UCM",NA
"Rhodanthidium ",NA,"sticticum","La Pleta  Garraf","Barcelona",NA,"España","20-V-2009",NA,NA,NA,"J. Bosch","C. Ornosa","2012",NA,"UCM",NA
