"Especie","Localidad","Municipio","Provincia","País","Fecha.captura","Colector","Identificador","Año.identificación","Machos","Hembras","Obreras","Procedencia"
"Megachile apicalis","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile apicalis","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile apicalis","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile apicalis","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","6-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","28-VI-1995","F. Torres","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile rotundata","Casa de Campo",NA,"Madrid","España","6-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile centuncularis","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
