"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Bombus","terrestris","Cantoblanco, UAM","Tres Cantos","Madrid","España","XI-1979",NA,NA,NA,"J. L. Viejo","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","31-VII-1991",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","25-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","20-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","25-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","25-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","23-VII-1991",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,NA,NA
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","28-VII-1991",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","25-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","17-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Thoracobombus","pascuorum","Cerro Colgado","Sierra de Guadarrama (Cercedilla)","Madrid","España","9-VII-1990",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Megabombus","hortorum","Mondragón",NA,"Guipúzkoa","España","V-1973",NA,NA,NA,"R. M. Muñoz","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Espalion",NA,NA,"Francia","4-IV-1972",NA,NA,NA,"A. García","C. Ornosa","2012",NA,NA,NA
"Bombus ","Megabombus","hortorum","Sendero San Glorio",NA,"Cantabria","España","2-V-1996",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Megabombus","hortorum","Sendero San Glorio",NA,"Cantabria","España","2-V-1996",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Megabombus","hortorum","Béjar. Cª: Cast-Cand.",NA,"Salamanca","España","4-VII-1977","1040",NA,NA,"S. Fdez. Gayubo","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Premiá de Dalt",NA,"Barcelona","España","13-VIII-1982",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera",NA
"Bombus ","Thoracobombus","pascuorum","Premiá de Dalt",NA,"Barcelona","España","13-VIII-1983",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Premiá de Dalt",NA,"Barcelona","España","13-VIII-1984",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Premiá de Dalt",NA,"Barcelona","España","13-VIII-1985",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera",NA
"Bombus ","Thoracobombus","pascuorum","Premiá de Dalt",NA,"Barcelona","España","13-VIII-1986",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Sta. Cruz de Oleiros",NA,"La Coruña","España","16-VIII-1995",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,NA
"Bombus ","Thoracobombus","pascuorum","Valença do Minho",NA,NA,"Portugal","11-VIII-1995",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",1,NA,"UCME"
"Bombus ","Thoracobombus","pascuorum","Circo de Fuente Dé",NA,"Cantabria","España","10-VII-1995",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus","pascuorum","Circo de Fuente Dé",NA,"Cantabria","España","10-VII-1995",NA,NA,NA,"C. Ornosa","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus","Megabombus","reinigiellus","Laguna Majano","Capileira","Granada","España","24-VIII-1988",NA,NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","1988/2012",NA,"1 obrera",NA
"Bombus","Megabombus","reinigiellus","Laguna Majano","Capileira","Granada","España","24-VIII-1988",NA,NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","1988/2012",NA,"1 obrera",NA
"Bombus","Megabombus","reinigiellus","Laguna Majano","Capileira","Granada","España","24-VIII-1988",NA,NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","1988/2012",NA,"1 obrera",NA
"Bombus","Megabombus","reinigiellus","Laguna Majano","Capileira","Granada","España","24-VIII-1988",NA,NA,NA,"F. J. Ortiz-Sánchez","C. Ornosa","1988/2012",NA,"1 obrera",NA
"Bombus ","Kallobombus","soroeensis","Baqueira, Ruda",NA,"Lérida","España","27-VII-2006","1.550 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Kallobombus","soroeensis","Estany Ratera, Mirador","PN Aiguestortes","Lérida","España","26-VII-2006","2.200 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Kallobombus","soroeensis","Soldeu",NA,"Lérida","Andorra","28-VII-2006","2.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera",NA
"Bombus ","Kallobombus","soroeensis","Salardú",NA,"Lérida","España","27-VII-2006","1. 350 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Kallobombus","soroeensis","Puerto de Tarna",NA,"Léon","España","18-21-VI-2008","1.490 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Kallobombus","soroeensis","Selva de Oza, subida Aguas Tortas","PN Valles Occidentales","Huesca","España","10-VII-2009","1.500 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
