Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Amegilla ;quadrifasciata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;5;C. Azpiazu;O. Aguado;0;1;0;0;NA;Lavandula angustifolia;NA;C. Azpiazu;NA;NA
Amegilla ;quadrifasciata;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Amegilla ;quadrifasciata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;5;12;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena;ternuistriata;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;28;C. Azpiazu;O. Aguado;1;0;0;0;NA;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;7;4;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;9;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Andrena ;albopunctata;melona;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Andrena ;bicolor ;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Andrena ;bicolorata;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;4;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Diplotaxis virgata;NA;C. Azpiazu;NA;NA
Andrena ;carbonaria;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
