http://www.atlashymenoptera.net/page.aspx?id=169
Accessed 21/8/2020
Year	Latitude	Longitude	Authors	Pub_year	Source
    	50.44658	16.83093	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37179	22.51518	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.27087	16.54353	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.51542	20.24598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73476	19.75109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.51314	19.94442	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37179	22.51518	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37179	22.51518	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.45407	16.26775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73476	19.75109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73476	19.75109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	53.51542	20.24598	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	44.8741	22.39256	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	50.45407	16.26775	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37769	20.03569	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	42.52708	1.17375	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.20546	7.01944	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73476	19.75109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	8.34406	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.55162	19.47927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.55162	19.47927	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.37967	20.31118	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	43.2471	-4.84762	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.19782	20.03919	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	46.86076	9.65594	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.56086	20.58518	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.20546	7.01944	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.95914	26.09669	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	47.0256	7.0261	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73476	19.75109	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.59398	25.58975	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	49.73742	20.02858	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.94632	25.06477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
    	45.94632	25.06477	Rasmont & Iserbyt	09.XII.2013	www.atlashymenoptera.net
