"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS.(N)","GPS.(E)","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Observaciones","Otros.datos","Comentarios","Atención!"
"Bombus","Bombus","terrestris"," CU-Botánico"," Madrid","Madrid","España","2017-04-03",640,NA,NA,"M.Benito","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," CU-Botánico"," Madrid","Madrid","España","2017-04-04",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Anthidium",NA,"florentinum"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Anthidium",NA,"florentinum"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Anthidium",NA,"florentinum"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Anthidium",NA,"florentinum"," C Universitaria"," Madrid","Madrid","España","2017-06-15",640,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," Cercedilla"," Madrid","Madrid","España","2017-06-18",1230,NA,NA,"C. Ornosa","C. Ornosa",2017,1,NA,"UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," Cercedilla"," Madrid","Madrid","España","2017-06-18",1230,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," Cercedilla"," Madrid","Madrid","España","2017-06-18",1230,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
"Bombus","Bombus","terrestris"," Cercedilla"," Madrid","Madrid","España","2017-06-18",1230,NA,NA,"C. Ornosa","C. Ornosa",2017,NA,"1 obrera","UCME",NA,NA,NA,NA
