"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Osmia","caerulescens",NA,"Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",22,38,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","brevicornis",NA,"Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,0,0,0,"10.1111/ele.13265",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia ","niveata",NA,"Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",0,1,0,0,"10.1111/ele.13266",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hoplosmia","anceyi","anceyi","Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,1,0,0,"10.1111/ele.13267",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","versicolor",NA,"Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",0,1,0,0,"10.1111/ele.13268",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Stelis","phaeophtera",NA,"Spain","La Rioja","Briones ",4708098,515125,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,3,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Calitrancos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","caerulescens",NA,"Spain","La Rioja","Cenicero",4701972,528801,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",17,28,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Valderrín","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","niveata",NA,"Spain","La Rioja","Cenicero",4701972,528801,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Valderrín","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","apicalis",NA,"Spain","La Rioja","Cenicero",4701972,528801,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",3,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Valderrín","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","pictipes",NA,"Spain","La Rioja","Cenicero",4701972,528801,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,3,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Valderrín","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia ","caerulescens",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",6,22,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","brevicornis",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",3,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","niveata",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",31,124,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","leaiana",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,6,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","submicans",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",6,6,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","versicolor",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","pictus",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",3,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","difformis","hispanicus","Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",0,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Stelis","phaeophtera",NA,"Spain","La Rioja","Cenicero",4704456,531578,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",3,13,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Vallehuso","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","pictipes",NA,"Spain","La Rioja","Cenicero",4701727,530168,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Plano","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","niveata",NA,"Spain","La Rioja","Cenicero",4700799,530193,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",0,15,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Ribarrey","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Anthidium","manicatum",NA,"Spain","La Rioja","Cenicero",4700799,530193,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,2,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Ribarrey","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","pictipes",NA,"Spain","La Rioja","Cenicero",4700799,530193,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",5,3,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Ribarrey","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Stelis","phaeophtera",NA,"Spain","La Rioja","Cenicero",4700799,530193,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",0,4,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Ribarrey","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","brevicornis",NA,"Spain","La Rioja","San Asensio ",4706256,520441,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_SCebrin","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hoplosmia","anceyi","anceyi","Spain","La Rioja","San Asensio ",4706256,520441,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",3,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_SCebrin","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","centuncularis",NA,"Spain","La Rioja","San Asensio ",4706256,520441,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,3,0,0,"10.1111/ele.13269",NA,"RIOJA2007_SCebrin","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","caerulescens",NA,"Spain","La Rioja","Ventosa",4693486,530734,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",5,13,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Hayedo","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hoplitis","adunca","adunca","Spain","La Rioja","Ventosa",4693486,530734,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",4,4,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Hayedo","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Anthidium","manicatum",NA,"Spain","La Rioja","Ventosa",4693486,530734,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",6,2,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Hayedo","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","caerulescens",NA,"Spain","La Rioja","Ventosa",4694155,530222,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,17,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Idesa","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","centuncularis",NA,"Spain","La Rioja","Ventosa",4694155,530222,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Idesa","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","brevicornis",NA,"Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",24,61,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hoplosmia","anceyi","anceyi","Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hoplitis","adunca","adunca","Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",14,4,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Chelostoma","rapunculi",NA,"Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,2,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Megachile","apicalis",NA,"Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Hylaeus","communis",NA,"Spain","La Rioja","Ventosa",4695045,530281,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",1,0,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Laguardia","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Chalicodoma ","ericetorum",NA,"Spain","La Rioja","Rodezno",4708833,512511,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",4,5,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Pradillos","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","niveata",NA,"Spain","La Rioja","Rodezno",4706426,512907,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",2,3,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Montenegro","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Chelostoma","rapunculi",NA,"Spain","La Rioja","Rodezno",4706426,512907,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",4,1,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Montenegro","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","caerulescens",NA,"Spain","La Rioja","Hormilla",4700367,519211,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",9,23,0,0,"10.1080/00218839.2017.1282079",NA,"RIOJA2007_Calera","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
"Osmia","brevicornis",NA,"Spain","La Rioja","Hormilla",4700367,519211,"<1 km",2007,9,15,2007-04-15,2007-09-15,"L.Baños-Picón","F. Torres",7,7,0,0,"10.1111/ele.13269",NA,"RIOJA2007_Calera","L. Baños-Picón, J. Tormos, J.D. Asís","TRAP-NEST",NA
