Gen﻿Species;Country;Locality;Collector;Determiner;Date;Year;Genus;Species;Grid.Reference;Collection;Males;Females;Notes;Flowers.visited;Flower.genera;Visitation
Eucera collaris;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Matasgordas";S.P.M. Roberts;S. Risch;04/04/2003;2003;Eucera (Eucera);collaris;29SQB276112;S.P.M. Roberts;1;NA;NA;NA;NA;NA
Eucera dalmatica;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;S. Risch;19/04/2003;2003;Eucera (Eucera);dalmatica;29SQB255127;S.P.M. Roberts;1;NA;A very fresh specimen;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;S. Risch;18/04/2003;2003;Eucera (Eucera);elongatula;29SQB290264;S.P.M. Roberts;NA;4;NA;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;S. Risch;20/04/2003;2003;Eucera (Eucera);elongatula;29SQB290264;S.P.M. Roberts;NA;2;NA;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Matasgordas";S.P.M. Roberts;S. Risch;05/04/2003;2003;Eucera (Eucera);elongatula;29SQB276112;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;S. Risch;09/04/2003;2003;Eucera (Eucera);elongatula;29SQB280137;S.P.M. Roberts;2;NA;NA;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;S. Risch;10/04/2003;2003;Eucera (Eucera);elongatula;29SQB280137;S.P.M. Roberts;2;4;NA;NA;NA;NA
Eucera elongatula;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;S. Risch;11/04/2003;2003;Eucera (Eucera);elongatula;29SQB280137;S.P.M. Roberts;3;2;NA;NA;NA;NA
Eucera eucnemidea;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;S. Risch;19/04/2003;2003;Eucera (Eucera);eucnemidea;29SQB255127;S.P.M. Roberts;1;NA;NA;NA;NA;NA
Eucera eucnemidea;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;S. Risch;11/04/2003;2003;Eucera (Eucera);eucnemidea;29SQB280137;S.P.M. Roberts;2;NA;NA;NA;NA;NA
