"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Stelis ","Stelis","phaeoptera","La Tejera.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","540m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Stelis ","Stelis","phaeoptera","La Tejera.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","540m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Stelis ","Stelis","phaeoptera","La Tejera.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","540m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Stelis ","Stelis","phaeoptera","La Tejera.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","540m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Stelis ","Stelis","phaeoptera","El Raso.   Agoncillo",NA,"La Rioja","España","2008 emergencia, primavera-verano","340m",NA,"F. Torres","C. Ornosa",2008,1,NA,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Las Arenillas.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","410m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Las Arenillas.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","410m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Las Arenillas.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","410m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Anthidium","Anthidium","manicatum","Las Arenillas.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","410m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Anthidium","Anthidium","manicatum","Las Arenillas.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","410m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca"
"Anthidium","Anthidium","manicatum","Hayedo.       Ventosa",NA,"La Rioja","España","2008 emergencia, primavera-verano","730m",NA,"F. Torres","C. Ornosa",2008,1,NA,"Salamanca"
"Anthidium","Anthidium","manicatum","Hayedo.       Ventosa",NA,"La Rioja","España","2008 emergencia, primavera-verano","730m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Hayedo.       Ventosa",NA,"La Rioja","España","2008 emergencia, primavera-verano","730m",NA,"F. Torres","C. Ornosa",2008,1,NA,"Salamanca"
"Anthidium","Anthidium","manicatum","Hayedo.       Ventosa",NA,"La Rioja","España","2008 emergencia, primavera-verano","730m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Hayedo.       Ventosa",NA,"La Rioja","España","2008 emergencia, primavera-verano","730m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Ribarrey.       Cenicero",NA,"La Rioja","España","2008 emergencia, primavera-verano","522m",NA,"F. Torres","C. Ornosa",2008,1,NA,"Salamanca"
"Anthidium","Anthidium","manicatum","Ribarrey.       Cenicero",NA,"La Rioja","España","2008 emergencia, primavera-verano","522m",NA,"F. Torres","C. Ornosa",2008,NA,1,"Salamanca UCME"
"Anthidium","Anthidium","manicatum","Ribarrey.       Cenicero",NA,"La Rioja","España","2008 emergencia, primavera-verano","522m",NA,"F. Torres","C. Ornosa",2008,1,NA,"Salamanca"
"Chalicodoma","Chalicodoma","parietina","Cabeza de Río Chico. Sierra Nevada",NA,"Almería","España","28-VII-06","2728 m","  ","J. Ortiz","J. Ortiz",2008,NA,1,"UCME"
"Chalicodoma","Chalicodoma","pyrenaica","Maraña bajo Tarna",NA,"León","España","20-VI-08","1400 m",NA,"C. Ornosa","F. Torres",NA,NA,1," "
"Anthidium",NA,"punctatum","Crta Embid de la Ribera-Calatayud"," ","Zaragoza","España","7-VII-2008",NA,NA,"C. Ornosa","C. Ornosa",2008,NA,1,NA
"Megachile",NA,"leachella","Crta Embid de la Ribera-Calatayud"," ","Zaragoza","España","7-VII-2008",NA,NA,"C. Ornosa","F. Torres",2008,NA,1,NA
"Megachile","Neoeutric.","apicalis","Crta Embid de la Ribera-Calatayud",NA,"Zaragoza","España","7-VII-2008","640 m",NA,"Torres","Torres",2008,NA,1,NA
"Megachile","Eutrich.","pilidens","Puerto de la Chabola",NA,"Zaragoza","España","8-VII-2008","960 m","41´67,27N1´54,,539W","C. Ornosa","Torres",2008,NA,1,NA
"Megachile","Megach."," melanopyga","Puerto de la Chabola",NA,"Zaragoza","España","8-VII-2008","960 m","41´67,27N1´54,,539W","C. Ornosa","Torres",2008,1,NA,NA
"Megachile","Eutrich.","pilidens","Puerto de la Chabola",NA,"Zaragoza","España","8-VII-2008","960 m","41´67,27N1´54,,539W","C. Ornosa","Torres",2008,NA,1,NA
"Megachile","Neoeutric.","apicalis","Crta Sos Rey Católico (A-127)",NA,"Zaragoza","España"," 8-VII-2008","583 m ","42´37,78N1´26,19W","C. Ornosa","Torres",2008,NA,1,NA
"Megachile","Neoeutric.","apicalis","Crta Sos Rey Católico (A-127)",NA,"Zaragoza","España","  8-VII-2008","583 m","42´37,78N1´26,19W","C. Ornosa","Torres",2008,NA,1,NA
"Trachusa",NA,"interrupta","Crta Sos Rey Católico (A-127)",NA,"Zaragoza","España","8-VII-2008","583 m","42´37,78N1´26,19W","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Pseudoanthidium",NA,"scapulare","Crta Sos Rey Católico (A-127)",NA,"Zaragoza","España","8-VII-2008","583 m","42´37,78N1´26,19W","C. Ornosa","C. Ornosa",2008,1,NA,"UCME"
"Trachusa",NA,"interrupta","Foz de Lumbier",NA,"Navarra","España","8-VII-2008",NA,NA,"C. Ornosa","C. Ornosa",2008,1,NA,"UCME"
"Rhodanthidium","Rhodanthidium","sticticum","Foz de Lumbier",NA,"Navarra","España","8-VII-2008",NA,NA,"C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Anthidium","florentinum","Foz de Lumbier",NA,"Navarra","España","8-VII-2008",NA,NA,"C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Anthidium","cingulatum","Gallocanta",NA,"Teruel","España","9-VII-2008","1063 m","40´98,57N 1´52,37W","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Anthidium","cingulatum","Gallocanta",NA,"Teruel","España","9-VII-2008","1063 m","40´98,57N 1´52,37W","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Anthidium","punctatum","Sierra de Albarracín ",NA,"Teruel","España","9-VII-2008","1158 m","40´43,27N 1´42,51W","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Anthidium","cingulatum","Sierra de Albarracín ",NA,"Teruel","España","9-VII-2008","1158 m","40´43,27N 1´42,51W","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Pseudoanthidium","Royanthidium ","reticulatum","Sierra de Albarracín ",NA,"Teruel","España","9-VII-2008","1158 m","40´43,27N 1´42,51W","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Megachile","Xanthosarus","lagopoda","Cerro Colgado","Cercedilla ","Madrid","España","19-VII-2008","1295m","30TVL12 11","C. Ornosa","F. Torres",2008,NA,1,NA
"Megachile","Eutrich.","leachella","Cerro Colgado","Cercedilla ","Madrid","España","31-VII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Anthidium"," manicatum","Cerro Colgado","Cercedilla ","Madrid","España","4-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Anthidium"," manicatum","Cerro Colgado","Cercedilla ","Madrid","España","4-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","4-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Anthidium"," manicatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Anthidium"," manicatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Megachile","Eutricharaea","leachella","Cerro Colgado","Cercedilla ","Madrid","España","6 VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","8-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","10-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","11-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","11-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","11-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","11-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","12-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","13-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","13-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","13-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","13-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","15-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","15-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","15-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","15-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,1,NA,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","17-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","17-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",2008,NA,1,NA
"Megachile","Neoeutricharaea","apicalis","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,NA
"Megachile","Neoeutricharaea","apicalis","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,NA
"Megachile","Eutricharaea","leachella","Cerro Colgado","Cercedilla ","Madrid","España","27-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,NA
"Megachile","Eutricharaea","leachella","Cerro Colgado","Cercedilla ","Madrid","España","28-VIII-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,NA
"Trachusa ","byssina",NA,"Puerto de Navafría    ",NA,"Madrid",NA,"23-VII-1979",NA,NA,"C. Pérez-Íñigo ","C. Ornosa",2008,NA,1,NA
"Pseudoanthidium ","melanurum",NA,"Navacerrada (Barranca)",NA,"Madrid",NA,"27-VII-1979",NA,NA,"C. Pérez-Íñigo ","C. Ornosa",2008,1,NA,NA
"Chalicodoma","Chalicodoma","parietina","Bco. Nacimiento (Sª Nevada)","Capileira","Granada","España","3-VIII-08","2650","37,017873 N  3,309965 W","J. Ortiz","J. Ortiz",2008,NA,1,NA
"Chalicodoma","Chalicodoma","parietina","Bco. Nacimiento (Sª Nevada)","Capileira","Granada","España","3-VIII-08","2650","37,017873 N  3,309965 W","J. Ortiz","J. Ortiz",2008,NA,1,NA
"Chalicodoma","Chalicodoma","parietina","Bco. Nacimiento (Sª Nevada)","Capileira","Granada","España","3-VIII-08","2650","37,017873 N  3,309965 W","J. Ortiz","J. Ortiz",2008,NA,1,NA
