"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus",NA,"ruderatus","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Bombus",NA,"pacuorum","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Bombus",NA,"pacuorum","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis ",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Bombus",NA,"terrestris","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"4 obreras","Botánico"
"Bombus",NA,"ruderatus","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Apis",NA,"mellifera","Caballo. Sierra Nevada",NA,"Granada","España","2011","P Vargas","C. Ornosa",2011,NA,"1obrera","Botánico"
"Anthidium",NA,"cingulatum","Mojácar-Carboneras",NA,"Almería","España","2011","IML","C. Ornosa",2011,NA,"1","Botánico"
"Eucera",NA,"notata","Mojácar-Carboneras",NA,"Almería","España","2011","IML","C. Ornosa",2011,NA,"1","Botánico"
"Ceratina",NA,"cucurbitina","Mojácar-Carboneras",NA,"Almería","España","2011","IML","C. Ornosa",2011,NA,"1","Botánico"
"Bombus",NA,"pascuorum","Fredes",NA,"Castellón","España","2011","IML","C. Ornosa",2011,NA,"1obrera","Botánico"
"Bombus",NA,"pratorum","Fredes",NA,"Castellón","España","2011","IML","C. Ornosa",2011,NA,"1 obrera","Botánico"
"Apis",NA,"mellifera","Tama","Santander","Cantabria","España","31-XI-2011","C. Onosa","C. Onosa",2011,NA,"1 obrea","Botánico"
"Apis",NA,"mellifera","Tama","Santander","Cantabria","España","31-XI-2011","C. Onosa","C. Onosa",2011,NA,"1 obrea","Botánico"
