Species_name,Number_of_records
Bombus terrestris,9131
Bombus pascuorum,4433
Xylocopa violacea,2873
Lasioglossum malachurum,1542
Andrena flavipes,1440
Halictus scabiosae,1385
Bombus ruderatus,1368
Ceratina cucurbitina,1330
Flavipanurgus venustus,1258
Bombus lapidarius,1226
Bombus hortorum,1104
Xylocopa cantabrita,1089
Bombus lucorum,1075
Panurgus calcaratus,871
Anthidium florentinum,869
Bombus soroeensis,840
Bombus humilis,777
Lasioglossum leucopus,747
Rhodanthidium sticticum,733
Anthophora plumipes,731
Bombus mesomelas,674
Dasypoda cingulata,632
Andrena ovatula,620
Dasypoda crassicornis,614
Megachile willughbiella,584
Amegilla quadrifasciata,578
Bombus pratorum,561
Ceratina cyanea,560
Rhodanthidium septemdentatum,547
Lasioglossum pauxillum,507
Anthophora bimaculata,493
Bombus sylvarum,488
Lasioglossum villosulum,485
Andrena hispania,452
Bombus ruderarius,440
Colletes nigricans,436
Andrena tenuistriata,424
Anthidium manicatum,414
Andrena nigroaenea,387
Lasioglossum interruptum,384
Halictus smaragdulus,377
Lasioglossum albocinctum,376
Halictus gemmeus,374
Andrena dorsata,362
Bombus muscorum,361
Andrena humilis,359
Halictus fulvipes,358
Halictus subauratus,346
Panurgus cephalotes,339
Andrena agilissima,338
