Species_name,Number_of_records
Bombus terrestris,4365
Bombus pascuorum,2297
Xylocopa violacea,1348
Flavipanurgus venustus,1258
Xylocopa cantabrita,920
Andrena flavipes,907
Bombus hortorum,808
Lasioglossum malachurum,804
Bombus lapidarius,733
Lasioglossum leucopus,731
Ceratina cucurbitina,686
Panurgus calcaratus,670
Halictus scabiosae,649
Anthidium florentinum,613
Bombus lucorum,606
Megachile willughbiella,568
Dasypoda crassicornis,556
Dasypoda cingulata,532
Bombus ruderatus,513
Bombus humilis,508
Bombus soroeensis,469
Rhodanthidium sticticum,455
Bombus pratorum,444
Andrena hispania,392
Andrena tenuistriata,381
Andrena ovatula,358
Andrena dorsata,351
Bombus sylvarum,348
Bombus mesomelas,347
Lasioglossum pauxillum,346
Anthophora bimaculata,337
Bombus ruderarius,337
Andrena ranunculi,321
Andrena humilis,306
Rhodanthidium septemdentatum,305
Melitta leporina,285
Anthophora plumipes,280
Halictus smaragdulus,280
Colletes nigricans,274
Eucera collaris,272
Halictus subauratus,261
Lasioglossum villosulum,256
Panurgus cephalotes,250
Panurgus dargius,250
Ceratina cyanea,247
Bombus muscorum,243
Panurgus banksianus,236
Amegilla quadrifasciata,231
Andrena minutula,231
Anthophora hispanica,214
