"Species_name","Number_of_records"
"Andrena trimmerana",3
"Andrena ventricosa",3
"Andrena vulpecula",3
"Anthophora agama",3
"Bombus magnus",3
"Ceratina parvula",3
"Dufourea paradoxa",3
"Eucera cineraria",3
"Eucera longicornis",3
"Halictus cochlearitarsis",3
"Heriades rubicola",3
"Lasioglossum albipes",3
"Lasioglossum callizonium",3
"Lasioglossum minutissimum",3
"Lasioglossum pallens",3
"Lasioglossum podolicum",3
"Lasioglossum punctatissimum",3
"Lasioglossum strictifrons",3
"Megachile circumcincta",3
"Megachile fertoni",3
"Melecta duodecimmaculata",3
"Melitta haemorrhoidalis",3
"Melitta murciana",3
"Nomada fenestrata",3
"Nomada fucata",3
"Nomada fulvicornis",3
"Nomioides minutissimus",3
"Osmia anceyi",3
"Sphecodes olivieri",3
"Systropha curvicornis",3
"Systropha planidens",3
"Andrena angustior",2
"Andrena bicolor",2
"Andrena cinerea",2
"Andrena clarkella",2
"Andrena fabrella",2
"Andrena granulosa",2
"Andrena hedikae",2
"Andrena humilis",2
"Andrena livens",2
"Andrena minutuloides",2
"Andrena nigriceps",2
"Andrena pandosa",2
"Andrena panurgina",2
"Andrena scotica",2
"Andrena semilaevis",2
"Andrena tarsata",2
"Anthidium taeniatum",2
"Anthophora aestivalis",2
"Anthophora atroalba",2
"Anthophora fulvitarsis",2
"Anthophora fulvodimidiata",2
"Anthophora gallica",2
"Anthophora leucophaea",2
"Bombus vestalis",2
"Ceratina dentiventris",2
"Ceratina mocsaryi",2
"Ceratina nigrolabiata",2
"Chelostoma florisomne",2
"Colletes albomaculatus",2
"Colletes floralis",2
"Colletes ligatus",2
"Dufourea dentiventris",2
"Epeolus cruciger",2
"Eucera hispana",2
"Eucera malvae",2
"Halictus consobrinus",2
"Halictus leucaheneus",2
"Hoplitis bisulca",2
"Hoplitis perezi",2
"Hoplitis tridentata",2
"Hylaeus communis",2
"Hylaeus sulphuripes",2
"Hylaeus taeniolatus",2
"Lasioglossum buccale",2
"Lasioglossum glabriusculum",2
"Lasioglossum griseolum",2
"Lasioglossum laevigatum",2
"Lasioglossum lativentre",2
"Lasioglossum leucopus",2
"Lasioglossum limbellum",2
"Lasioglossum mediterraneum",2
"Lasioglossum nitidiusculum",2
"Lasioglossum virens",2
"Lasioglossum xanthopus",2
"Megachile albonotata",2
"Melecta italica",2
"Melitta seitzi",2
"Nomada agrestis",2
"Nomada emarginata",2
"Nomada flavoguttata",2
"Nomada flavopicta",2
"Nomada integra",2
"Osmia ligurica",2
"Osmia nasoproducta",2
"Osmia signata",2
"Osmia tricornis",2
"Osmia versicolor",2
"Panurgus canescens",2
"Rhodanthidium infuscatum",2
"Sphecodes puncticeps",2
"Sphecodes rubripes",2
"Trachusa byssina",2
"Trachusa laeviventris",2
"Amegilla magnilabris",1
"Amegilla ochroleuca",1
"Ammobates rufiventris",1
"Ammobates vinctus",1
"Andrena binominata",1
"Andrena congruens",1
"Andrena cyanomicans",1
"Andrena decipiens",1
"Andrena denticulata",1
"Andrena djelfensis",1
"Andrena fulvicornis",1
"Andrena fuscipes",1
"Andrena impunctata",1
"Andrena lapponica",1
"Andrena nilotica",1
"Andrena nitidula",1
"Andrena niveata",1
"Andrena nuptialis",1
"Andrena pellucens",1
"Andrena ranunculi",1
"Andrena suerinensis",1
"Anthidium punctatum",1
"Anthophora affinis",1
"Anthophora balneorum",1
"Anthophora retusa",1
"Bombus norvegicus",1
"Coelioxys aurolimbatus",1
"Coelioxys haemorrhoa",1
"Coelioxys inermis",1
"Coelioxys mandibularis",1
"Colletes dusmeti",1
"Colletes maidli",1
"Colletes noskiewiczi",1
"Colletes sierrensis",1
"Colletes succinctus",1
"Dasypoda albimana",1
"Dasypoda pyrotrichia",1
"Dasypoda visnaga",1
"Dufourea alpina",1
"Dufourea halictula",1
"Dufourea trautmanni",1
"Eucera nigrescens",1
"Halictus brunnescens",1
"Halictus confusus",1
"Halictus patellatus",1
"Halictus submediterraneus",1
"Heriades truncorum",1
"Hylaeus angustatus",1
"Hylaeus pictus",1
"Hylaeus signatus",1
"Lasioglossum elegans",1
"Lasioglossum ibericum",1
"Lasioglossum intermedium",1
"Lasioglossum laterale",1
"Lasioglossum mesosclerum",1
"Lasioglossum pseudoplanulum",1
"Lasioglossum pygmaeum",1
"Lasioglossum quadrinotatum",1
"Lasioglossum soror",1
"Lasioglossum truncaticolle",1
"Lasioglossum vergilianum",1
"Lithurgus tibialis",1
"Macropis europaea",1
"Megachile genalis",1
"Megachile picicornis",1
"Megachile pyrenaica",1
"Megachile rotundata",1
"Melecta luctuosa",1
"Nomada guttulata",1
"Osmia brevicornis",1
"Osmia spinulosa",1
"Panurgus banksianus",1
"Panurgus perezi",1
"Protosmia capitata",1
"Pseudapis femoralis",1
"Sphecodes crassus",1
"Sphecodes croaticus",1
"Sphecodes dusmeti",1
"Sphecodes hirtellus",1
"Sphecodes reticulatus",1
"Stelis punctulatissima",1
"Thyreus orbatus",1
