"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Anthophora","retusa",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"24; 25; 27; 29; 31",NA,NA,"J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Anthophora","retusa",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"5; 6; 7; 12; 18",NA,NA,"J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Apis","mellifera",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"5",NA,NA,"J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Apis","mellifera",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"30",NA,NA,"J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Apis","mellifera",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"4; 5; 26",NA,NA,"J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Apis","mellifera",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"31",NA,NA,"J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Apis","mellifera",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"20",NA,NA,"J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Bombus","pascuorum",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"12; 14",NA,NA,"J. Valverde","J. Valverde / J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Bombus","terrestris",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"17; 22; 27",NA,NA,"J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Bombus","terrestris",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"3; 9; 10; 11; 12; 13; 15; 16; 17; 18; 24",NA,NA,"J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","callosa",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"24; 29",NA,NA,"J. Valverde","J. Valverde / J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"22; 23; 24; 25; 26; 27; 31",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"1; 2; 3; 4; 5; 6; 7; 8; 23; 25",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,7,"2",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"23; 24; 25",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"5; 9; 10; 11; 12; 14; 15; 29",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"24; 25",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"1; 4",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Crysura","dichroa",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"4",NA,NA,"J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","simplex",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"26",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","simplex",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"19",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","simplex",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,7,"2",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","simplex",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"27",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","simplex",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"9",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","subauratus",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"24",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Halictus","subauratus",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"20",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Hylaeus","angustatus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"22",NA,NA,"J. Valverde","J. Valverde / J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Hylaeus","angustatus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"25",NA,NA,"J. Valverde","J. Valverde / J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Hylaeus","angustatus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"9",NA,NA,"J. Valverde","J. Valverde / J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"22; 23; 24; 25; 26; 27; 29; 31",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"1; 2; 3; 7; 8",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,5,"23; 24; 25; 26; 27; 29; 30; 31",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"1; 2; 3; 4; 5; 9; 10; 11; 12; 13; 14; 15",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"25; 27; 28; 29; 30; 31",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Lasioglossum","xanthopus",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"1; 3; 4; 5; 6; 7; 8; 11",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","brevicornis",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"31",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","brevicornis",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"2; 3; 4; 5; 6; 19; 21; 22; 23; 25",NA,NA,"J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","brevicornis",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"13; 14; 17; 20; 21; 24; 26; 29",NA,NA,"J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","brevicornis",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"31",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","brevicornis",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"4; 15; 16; 20",NA,NA,"J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Osmia","claviventris",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"22; 24",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","alfkenella o nana",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"20",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","alfkenella o nana",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2013,6,"15; 17; 21",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
