"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus ","terrestris",NA,"Spain","Cádiz","Villaluenga del Rosario",36.693937,-5.365823,"GPS",1905-07-09,1900-01-02,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1900-01-05,1899-12-30,NA,"Erica australis",NA,"B. Arroyo-Correa",NA,NA
"Bombus","hortorum",NA,"Spain","Tarragona","Prades",41.313545,0.96349,"GPS",1905-07-07,1900-01-02,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1900-01-07,1899-12-30,NA,"Thymus sp., Helianthemum sp., Genista sp., Bunia sp.",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Tarragona","Prades",41.313545,0.96349,"GPS",1905-07-07,1900-01-02,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1900-01-14,1899-12-30,NA,"Thymus sp., Helianthemum sp., Genista sp., Bunia sp.",NA,"B. Arroyo-Correa",NA,NA
"Bombus ","terrestris",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Bombus ","pascuroum",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia ","cornuta",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Anthophora","quadrimaculata",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1900-02-24,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia","caerulescens",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",1905-07-10,1900-01-04,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Girona","Cadí-Moixeró",42.343179,1.831577,"GPS",1905-07-09,1900-01-05,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Linum sp.",NA,"B. Arroyo-Correa",NA,NA
