"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Vérigo","39.942725"," -8.581648","<1km",2019,7,27,43673,43673,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Euonymus japonicus","488","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Vérigo","39.942725"," -8.581648","<1km",2019,7,27,43673,43673,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Euonymus japonicus","489","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus hortorum",NA,"Portugal","Braga","Rendufe"," 41.625289","-8.418566","<1km",2019,3,11,43535,43536,"H. Gaspar","H. Gaspar",2,NA,NA,0,NA,NA,"203,616 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus hortorum",NA,"Portugal","Leiria","Vérigo","39.942533"," -8.581741","<1km",2016,9,1,42614,42614,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"13","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus hortorum",NA,"Portugal","Leiria","Vérigo"," 39.942492"," -8.581525","<1km",2018,8,12,43324,43324,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"304","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus hortorum",NA,"Portugal","Leiria","Vérigo","39.941813"," -8.582084","<1km",2019,5,11,43596,43596,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Echium sp.","465","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus muscorum",NA,"Portugal","Leiria","Vérigo","39.942427"," -8.58169","<1km",2019,7,21,43667,43667,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Agapanthus sp.","521","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"127 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Coimbra","Soure","40.044428","-8.599513","<1km",2019,3,13,43537,43538,"H. Gaspar","H. Gaspar",NA,3,NA,0,NA,NA,"285,363,615 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,5,26,43611,43612,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"837 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,9,4,43712,43713,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"876 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Vérigo","39.942593"," -8.581588","<1km",2017,6,28,42914,42914,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Rosa sp.?","134","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus pratorum",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,11,15,43784,43785,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"927 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Vérigo","39.942505"," -8.58152","<1km",2018,5,7,43227,43227,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Chamelaucium uncinatum","242","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Vérigo","39.941748"," -8.582082","<1km",2019,3,16,43540,43540,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"387","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","São Vicente","39.844373"," -8.642065","<1km",2019,3,24,43548,43548,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"402","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus terrestris ",NA,"Portugal","Leiria","Vérigo","39.941733"," -8.581914","<1km",2019,3,11,43535,43535,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Echium sp.","459","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Vérigo","39.941794"," -8.581906","<1km",2019,5,11,43596,43596,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Echium sp.","461","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus",NA,"Bombus vestalis",NA,"Portugal","Leiria","Vérigo"," 39.942492"," -8.581525","<1km",2018,4,13,43203,43203,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Chamelaucium uncinatum","217","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus ",NA,"Bombus terrestris",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,3,16,43540,43541,"H. Gaspar","H. Gaspar",5,NA,NA,0,NA,NA,"155,210,356,614,644 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Bombus ",NA,"Bombus terrestris",NA,"Portugal","Coimbra","Soure","40.044428","-8.599513","<1km",2019,3,13,43537,43538,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"284 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Ceratina",NA,"Ceratina albosticta",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,5,26,43611,43612,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"509 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Ceratina",NA,"Ceratina cucurbitina",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,5,25,43610,43611,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"442 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Ceratina",NA,"Ceratina cucurbitina",NA,"Portugal","Porto","Vilar de Andorinho"," 41.100857","-8.578044","<1km",2019,5,24,43609,43610,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"526 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Ceratina",NA,"Ceratina cucurbitina",NA,"Portugal","Leiria","Vérigo","39.941758"," -8.581809","<1km",2019,6,2,43618,43618,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"477","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Ceratina",NA,"Ceratina dallatorreana",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,10,28,43766,43767,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"893 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Coelioxys","Allocoelioxys","Coelioxys coturnix",NA,"Portugal","Leiria","Vérigo","39.941818"," -8.581964","<1km",2019,5,19,43604,43604,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"468","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Colletes",NA,"Colletes cunicularius",NA,"Portugal","Aveiro","Mogofores"," 40.462838"," -8.481978","<1km",2019,5,24,43609,43610,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"387 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,"Dasypoda albimana",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,8,18,43695,43696,"H. Gaspar","H. Gaspar",2,NA,NA,0,NA,NA,"726,727 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,"Dasypoda cingulata",NA,"Portugal","Leiria","Guia"," 39.943199","-8.825229","<1km",2019,5,1,43586,43587,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"271 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,"Dasypoda dusmeti",NA,"Portugal","Coimbra","Arazede"," 40.278669"," -8.699467","<1km",2019,8,1,43678,43679,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"800 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,"Dasypoda hirtipes",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,10,28,43766,43767,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"892 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,NA,NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,8,18,43695,43696,"H. Gaspar","H. Gaspar",NA,2,NA,0,NA,NA,"724,725 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,NA,NA,"Portugal","Coimbra","Arazede"," 40.278669"," -8.699467","<1km",2019,8,1,43678,43679,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"799 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Dasypoda",NA,NA,NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,8,1,43678,43679,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"871 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera collaris",NA,"Portugal","Braga","Rendufe"," 41.625289","-8.418566","<1km",2019,3,11,43535,43536,"H. Gaspar","H. Gaspar",NA,2,NA,0,NA,NA,"201,202 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,NA,NA,"Portugal","Leiria","Pousadas Vedras","39.955973"," -8.551064","<1km",2019,4,26,43581,43581,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"442","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera hispana",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,5,23,43608,43609,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"630 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera interrupta",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,5,23,43608,43609,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"620 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera interrupta",NA,"Portugal","Leiria","Vérigo","39.942548"," -8.581561","<1km",2018,7,15,43296,43296,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"285","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera longicornis",NA,"Portugal","Leiria","Vérigo","39.941456"," -8.581139","<1km",2019,3,19,43543,43543,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Apiaceae","472","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera longicornis ",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,7,5,43651,43652,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"864 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera nigrilabris",NA,"Portugal","Braga","Rendufe"," 41.625289","-8.418566","<1km",2019,3,11,43535,43536,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"197 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera nigrilabris ",NA,"Portugal","Leiria","Vale","39.888903"," -8.562402","<1km",2019,3,10,43534,43534,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Ficaria verna","385","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,"Eucera numida",NA,"Portugal","Leiria","Vérigo","39.942883"," -8.581516","<1km",2019,2,19,43515,43515,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Asteraceae","361","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,NA,NA,"Portugal","Leiria","Vérigo","39.942056"," -8.581658","<1km",2019,4,20,43575,43575,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Euphorbia sp. ","427","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,NA,NA,"Portugal","Leiria","Vérigo","39.942427"," -8.58169","<1km",2019,7,21,43667,43667,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Agapanthus sp.","520","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Eucera",NA,NA,NA,"Portugal","Leiria","Vérigo","39.942371"," -8.581712","<1km",2017,4,8,42833,42833,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"52","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,NA,NA,"Portugal","Leiria","Vérigo","39.941564"," -8.581449","<1km",2018,8,22,43334,43334,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Carlina hispanica","325","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus gemmeus",NA,"Portugal","Coimbra","Arazede"," 40.278669"," -8.699467","<1km",2019,5,30,43615,43616,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"810 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus maculatus",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,5,25,43610,43611,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"443 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus maculatus",NA,"Portugal","Leiria","Vérigo","39.942519"," -8.581541","<1km",2018,8,12,43324,43324,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"303","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus quadricinctus",NA,"Portugal","Leiria","Vérigo","39.941564"," -8.581449","<1km",2018,8,17,43329,43329,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Carlina hispanica","321","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus quadricinctus",NA,"Portugal","Leiria","Vérigo","39.941564"," -8.581449","<1km",2019,8,5,43682,43682,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Carlina hispanica","527","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus quadricinctus ",NA,"Portugal","Porto","Paredes de Viadores"," 41.133498"," -8.132800","<1km",2019,5,30,43615,43616,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"542 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus rubicundus",NA,"Portugal","Coimbra","Arazede"," 40.278669"," -8.699467","<1km",2019,5,29,43614,43615,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"594 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,4,30,43585,43586,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"244 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,5,26,43611,43612,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"504 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,5,15,43600,43601,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"651 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,9,15,43723,43724,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"821 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,10,7,43745,43746,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"845 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Leiria","Vérigo","39.941564"," -8.581449","<1km",2018,8,16,43328,43328,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Carlina hispanica","314","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Leiria","São Vicente","39.844312"," -8.641976","<1km",2019,7,19,43665,43665,"H.Gaspar & P.Ferreira","H. Gaspar ",NA,1,NA,0,NA,"Lamiaceae or Poaceae","510","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus seladonius",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,5,25,43610,43611,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"444 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus seladonius",NA,"Portugal","Porto","Vilar de Andorinho"," 41.100857","-8.578044","<1km",2019,5,24,43609,43610,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"523 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus","Seladonia","Halictus seladonius",NA,"Portugal","Leiria","Vérigo","39.942519"," -8.581541","<1km",2018,8,12,43324,43324,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"302","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,NA,NA,"Portugal","Porto","Pedreira, Rande e Sernande"," 41.331375"," -8.226857","<1km",2019,5,23,43608,43609,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"392 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,NA,NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,5,26,43611,43612,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"505 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus smaragdulus",NA,"Portugal","Coimbra","Cantanhede","40.368210","-8.621492","<1km",2019,4,29,43584,43585,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"258 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus","Seladonia","Halictus smaragdulus",NA,"Portugal","Leiria","Vérigo","39.942616"," -8.581788","<1km",2018,4,14,43204,43204,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"227","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus","Seladonia","Halictus smaragdulus",NA,"Portugal","Leiria","Vérigo"," 39.941929"," -8.582225","<1km",2019,7,27,43673,43673,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"523","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus subauratus",NA,"Portugal","Coimbra","Cantanhede","40.368210","-8.621492","<1km",2019,4,29,43584,43585,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"254 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,"Halictus subauratus",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,9,5,43713,43714,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"891 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus","Seladonia","Halictus subauratus",NA,"Portugal","Leiria","São Vicente","39.844434"," -8.641843","<1km",2019,4,27,43582,43582,"H.Gaspar & P.Ferreira","H. Gaspar ",1,NA,NA,0,NA,NA,"447","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Halictus",NA,NA,NA,"Portugal","Porto","Guilhabreu","41.290484","-8.649053","<1km",2019,5,22,43607,43608,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"354 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
