"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena",NA,"Andrena florea???",NA,"Portugal","Aveiro","Espargo"," 40.918584"," -8.578067","<1km",2019,5,15,43600,43601,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"926 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena fulvicornis",NA,"Portugal","Leiria","Vérigo","39.941768","-8.581936","<1km",2019,4,12,43567,43567,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"418","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena labialis",NA,"Portugal","Coimbra","Cantanhede","40.368210","-8.621492","<1km",2019,4,29,43584,43585,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"257 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena labialis",NA,"Portugal","Leiria","Vérigo","39.941805","-8.582082","<1km",2019,5,18,43603,43603,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Asteraceae","467","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena leptopyga???",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,5,26,43611,43612,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"838 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena leucophaea",NA,"Portugal","Leiria","Vérigo","39.942436","-8.581506","<1km",2019,1,26,43491,43491,"H.Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"352","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena leucophaea",NA,"Portugal","Leiria","Vérigo","39.942774","-8.58137","<1km",2019,2,24,43520,43520,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Asteraceae","367","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena leucophaea",NA,"Portugal","Leiria","Vérigo","39.942436","-8.581506","<1km",2019,3,2,43526,43526,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"371","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena limata",NA,"Portugal","Leiria","São Vicente","39.844346","-8.641935","<1km",2019,3,24,43548,43548,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"401","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena livens",NA,"Portugal","Braga","Rendufe"," 41.625289","-8.418566","<1km",2019,3,11,43535,43536,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"200 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
