"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena","nitida",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,6,23,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13630",NA,3623,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12665",NA,65,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12690",NA,101,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,16,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12740",NA,197,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico Dos Hermanas",40.8356,-3.9667,"GPS",2011,6,21,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12761",NA,247,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico Dos Hermanas",40.8356,-3.9667,"GPS",2011,6,22,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12828",NA,386,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","nitida",NA,"Spain","Madrid","Pico Dos Hermanas",40.8356,-3.9667,"GPS",2011,6,22,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12835",NA,397,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14076",NA,5062,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14077",NA,5063,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14078",NA,5064,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14079",NA,5065,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14080",NA,5066,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14081",NA,5067,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14089",NA,5150,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14090",NA,5151,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14091",NA,5152,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14092",NA,5161,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14093",NA,5162,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14094",NA,5163,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14095",NA,5164,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero cima",40.9818,-3.8486,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.14096",NA,5165,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12663",NA,56,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12666",NA,70,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12671",NA,76,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12674",NA,81,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12675",NA,82,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12683",NA,92,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12684",NA,93,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12685",NA,95,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12695",NA,108,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,16,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12741",NA,206,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,16,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12744",NA,211,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,23,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.12860",NA,443,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13071",NA,1013,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13072",NA,1015,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13073",NA,1017,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13085",NA,1061,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13087",NA,1064,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13091",NA,1076,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,6,30,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13102",NA,1098,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13110",NA,1157,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13111",NA,1158,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13112",NA,1159,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13113",NA,1160,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13115",NA,1162,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13117",NA,1164,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13118",NA,1165,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13121",NA,1169,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13129",NA,1181,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13130",NA,1182,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13138",NA,1194,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13141",NA,1197,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13144",NA,1205,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13145",NA,1206,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13155",NA,1241,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13156",NA,1244,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13157",NA,1245,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13163",NA,1303,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13166",NA,1306,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,1,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13185",NA,1398,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,7,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13300",NA,2051,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13339",NA,2253,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico del Nevero ladera norte",40.9799,-3.8506,"GPS",2011,7,15,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13351",NA,2349,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico Dos Hermanas",40.8356,-3.9667,"GPS",2011,6,28,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13001",NA,788,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
"Andrena","ovatula",NA,"Spain","Madrid","Pico Dos Hermanas",40.8356,-3.9667,"GPS",2011,6,28,"Carlos Lara-Romero, Javier Morente-López, José Iriondo","Concepción Ornosa",NA,NA,NA,NA,"10.1111/1365-2435.13003",NA,791,"Carlos Lara-Romero, Javier Morente-López, José Iriondo",NA,NA
