Genus,species,subspecies,year,latitude,longitude
Bombus,hortorum,,2017,43.13559,-6.19261
Bombus,hortorum,,2017,43.13559,-6.19261
Bombus,hortorum,,2017,43.13559,-6.19261
Bombus,hortorum,vasco,2017,43.13559,-6.19261
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.04526,-6.18698
Bombus,hortorum,vasco,2017,43.04526,-6.18698
Bombus,hortorum,,2017,43.01601,-6.18142
Bombus,hortorum,,2017,43.01601,-6.18142
Bombus,hortorum,,2017,43.01601,-6.18142
Bombus,hortorum,,2017,43.01601,-6.18142
Bombus,hortorum,,2017,43.01601,-6.18142
Bombus,hortorum,vasco,2017,43.01601,-6.18142
Bombus,hortorum,,2017,43.04634,-6.18105
Bombus,hortorum,,2017,43.04634,-6.18105
Bombus,hortorum,,2017,43.04634,-6.18105
Bombus,hortorum,,2017,43.04634,-6.18105
Bombus,hortorum,vasco,2017,43.04634,-6.18105
Bombus,hortorum,,2017,43.04377,-6.17313
Bombus,hortorum,,2017,43.04377,-6.17313
Bombus,hortorum,,2017,43.04377,-6.17313
Bombus,hortorum,vasco,2017,43.04377,-6.17313
Bombus,hortorum,,2018,43.56116,-6.16791
Bombus,hortorum,,2018,43.56116,-6.16791
Bombus,hortorum,,2018,43.56116,-6.16791
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2017,43.56281,-6.16521
Bombus,hortorum,,2018,42.98279,-6.16053
Bombus,hortorum,,2018,42.98279,-6.16053
Bombus,hortorum,,2018,42.98279,-6.16053
Bombus,hortorum,,2018,42.98279,-6.16053
Bombus,hortorum,,2018,42.98279,-6.16053
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2017,43.02572,-6.15077
Bombus,hortorum,,2018,43.40689,-6.1406
Bombus,hortorum,,2018,43.40689,-6.1406
Bombus,hortorum,,2018,43.40689,-6.1406
Bombus,hortorum,,2018,43.40689,-6.1406
Bombus,hortorum,,2017,43.5242,-6.13968
Bombus,hortorum,,2017,43.5242,-6.13968
Bombus,hortorum,,2017,43.5242,-6.13968
Bombus,hortorum,,2017,43.5242,-6.13968
