"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","rm","original_species","accepted_name"
"Acrobasis",NA,"porphyrella",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Vives, A., Yela, J. L.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical354","Remove","Acrobasis porphyrella","Acrobasis porphyrella"
"Agrotis",NA,"puta",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Vives, A., Yela, J. L.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical342","Remove","Agrotis puta","Agrotis puta"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GranCanariaMaspalomas",27.70817,-15.55788,NA,1976,NA,NA,"","11/8/1976","Bohart, George","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal11939","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","Maspalomas",27.79844,-15.55834,NA,1976,NA,NA,"","11/8/1976","G.E. Bohart","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal11940","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","TenerifePdelaCruz",28.33318,-16.47922,NA,1978,NA,NA,"","5/16/1978","G.E. Bohart","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal12851","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19982","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",0,2,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19983","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19984","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19985","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GUAMASA",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,3,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20000","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GUAMASA",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,0,0,2,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20001","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20002","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","MONTANADELPULPITO",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20003","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20017","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20018","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","SANCRISTOBALDELA",28.51473,-16.37957,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20019","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","Guinea",27.76714,-17.97124,NA,1994,NA,NA,"","4/3/1994","terracognitas96","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal20053","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","SanSebastianLaGomera",28.05454,-17.08577,NA,2010,NA,NA,"","12/11/2010","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25127","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LaPuntillaValleGranRayLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/7/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25611","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LaPuntillaValleGranRayLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/12/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25612","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ArgagaSchluchtLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/13/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25613","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","PlayadeSantiagoLaGomera",28.05296,-17.18745,NA,2013,NA,NA,"","12/27/2013","531632058","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal26309","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","PlayaBlancaLanzarote",28.87763,-13.82073,NA,2014,NA,NA,"","3/14/2014","-1510526472","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal26317","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33946","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","TenerifeIslade",28.33204,-16.58121,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33947","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","FamaraRiscode",29.14528,-13.50929,NA,1991,NA,NA,"","04/00/1991","terracognitas96","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal36176","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Ammophila",NA,"heydeni",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Gayubo, S. F.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical289","Remove","Ammophila heydeni","Ammophila heydeni"
"Andrena",NA,"bicolorata",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",1,0,0,1,"","","","Compiled by T. Wood","","; P. Bogusch Colln.; ; ","Wood_etal26322","Remove","Andrena bicolorata","Andrena bicolorata"
"Andrena",NA,"cinerea",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",3,4,0,1,"","","","Compiled by T. Wood","","; P. Bogusch Colln.; ; ","Wood_etal26324","Remove","Andrena cinerea","Andrena cinerea"
"Andrena",NA,"clarkella",NA,"Spain","Canary Islands","LanzaroteIslade",28.96693,-13.7171,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33954","Remove","Andrena damara","Andrena clarkella"
"Andrena",NA,"clarkella",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33953","Remove","Andrena damara","Andrena clarkella"
"Andrena",NA,"cyanomicans",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",2,1,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal26328","Remove","Andrena cyanomicans","Andrena cyanomicans"
"Andrena",NA,"cyanomicans",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","12/31/1920","","",0,0,0,1,"Cockerell,1922","","","Compiled by T. Wood","","; ; ; ","Wood_etal32995","Remove","Andrena cyanomicans","Andrena cyanomicans"
"Andrena",NA,"cyanomicans",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","12/31/1920","","",0,0,0,1,"Cockerell,1922","","","Compiled by T. Wood","","; ; ; ","Wood_etal32996","Remove","Andrena cyanomicans","Andrena cyanomicans"
"Andrena",NA,"ferrugineicrus",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",1,1,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal26330","Remove","Andrena ferrugineicrus","Andrena ferrugineicrus"
"Andrena",NA,"flavipes",NA,"Spain","Canary Islands","TenerifeIslade",28.33204,-16.58121,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33955","Remove","Andrena flavipes","Andrena flavipes"
"Andrena",NA,"fria",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",1,0,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal26331","Remove","Andrena fria","Andrena fria"
"Andrena",NA,"fuscosa",NA,"Spain","Canary Islands","LanzaroteTefio",29.1939,-13.4794,"<10km",1979,2,6,"2/6/1979","2/6/1979","E. & S. Thomas","T. Wood",1,0,0,1,"","","ZMA.INS.5088358","Compiled by T. Wood","","; ; ; ","Wood_etal13325","Remove","Andrena fuscosa","Andrena fuscosa"
"Andrena",NA,"fuscosa",NA,"Spain","Canary Islands","LanzaroteLaCaleta",29.1136,-13.5643,"<10km",1979,2,5,"2/5/1979","2/16/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088536","Compiled by T. Wood","","; ; ; ","Wood_etal13345","Remove","Andrena fuscosa","Andrena fuscosa"
"Andrena",NA,"fuscosa",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",1,2,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal26333","Remove","Andrena fuscosa","Andrena fuscosa"
"Andrena",NA,"fuscosa",NA,"Spain","Canary Islands","GranCanariaIslade",27.97898,-15.55927,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33956","Remove","Andrena fuscosa","Andrena fuscosa"
"Andrena",NA,"impunctata","contusa","Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33958","Remove","Andrena impunctata","Andrena impunctata"
"Andrena",NA,"impunctata","contusa","Spain","Canary Islands","TenerifeIslade",28.33204,-16.58121,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33959","Remove","Andrena impunctata","Andrena impunctata"
"Andrena",NA,"lepida",NA,"Spain","","Albaricoquesenv",26.8299,-2.1558,"<10km",2014,3,25,"3/25/2014","3/25/2014","P. Bogusch","T. Wood",1,0,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal26334","Remove","Andrena lepida","Andrena lepida"
"Andrena",NA,"mariana",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1967","","",0,0,0,1,"Warncke,1968","","","Compiled by T. Wood","","; ; ; ","Wood_etal33502","Remove","Andrena mariana","Andrena mariana"
"Andrena",NA,"nigroaenea",NA,"Spain","Canary Islands","HierroSpanishFerroconventional",27.76714,-17.97124,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33963","Remove","Andrena nigroaenea","Andrena nigroaenea"
"Andrena",NA,"nigroaenea",NA,"Spain","Canary Islands","PalmaseeLaPalmaIslade",28.67084,-17.9162,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33964","Remove","Andrena nigroaenea","Andrena nigroaenea"
"Andrena",NA,"nigroaenea",NA,"Spain","Canary Islands","TenerifeIslade",28.33204,-16.58121,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33965","Remove","Andrena nigroaenea","Andrena nigroaenea"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","GraciosaIsla",29.2355,-13.50799,NA,1949,NA,NA,"","3/20/1949","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal2859","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","GraciosaIsla",29.2355,-13.50799,NA,1949,NA,NA,"","3/20/1949","Lindberg","Warncke K",15,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal2860","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/20/1983","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15070","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/20/1983","","Warncke K",0,17,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15071","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","Cofete",28.0688,-14.3385,NA,1983,NA,NA,"","2/21/1983","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15072","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/21/1983","","Warncke K",0,2,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15073","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/22/1983","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15074","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/23/1983","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15075","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/23/1983","","Warncke K",0,1,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15076","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","SotaventoPlayadeseeSotaventodeJandaPlay",28.06827,-14.23674,NA,1983,NA,NA,"","2/24/1983","","Warncke K",0,1,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15077","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","LosValles",29.05505,-13.51059,NA,1983,NA,NA,"","2/26/1983","","Warncke K",0,1,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal15078","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","JandaPennsulade",28.06963,-14.54203,NA,1985,NA,NA,"","2/23/1985","","Warncke K",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal16266","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","Tostn",28.69877,-14.02747,NA,1990,NA,NA,"","2/3/1990","","Warncke K",0,2,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal19069","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","TostonCalaseeCotilloCaletadel",28.69877,-14.02747,NA,1990,NA,NA,"","2/3/1990","","Warncke K",0,2,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal19070","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa",NA,"Spain","","Ifkern25kmEBoulemane",33.3751,-4.4502,"<10km",1995,5,24,"5/24/1995","5/25/1995","Ma. Halada","T. Wood",1,0,0,1,"","","","Compiled by T. Wood","","; TJW Colln.; ; ","Wood_etal20869","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"pandosa","graciosa","Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33966","Remove","Andrena pandosa","Andrena pandosa"
"Andrena",NA,"similis",NA,"Portugal","Tr�s-os-Montes","DouroInternationalParkBemposta",41.31,6.505,"<1km",2017,4,7,"4/7/2017","4/7/2017","M.Jenner","D.Baldock",2,0,0,1,"","","","Compiled by T. Wood","","; M.Jenner Colln.; ; ","Wood_etal30677","Remove","Andrena similis","Andrena similis"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",1,0,0,1,"","","ZMA.INS.5088555","Compiled by T. Wood","","; ; ; ","Wood_etal13311","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteFamara",29.115,-13.5565,"<10km",1979,2,4,"2/4/1979","2/15/1979","E. & S. Thomas","T. Wood",1,0,0,1,"","","ZMA.INS.5088553","Compiled by T. Wood","","; ; ; ","Wood_etal13336","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088504","Compiled by T. Wood","","; ; ; ","Wood_etal13302","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088505","Compiled by T. Wood","","; ; ; ","Wood_etal13303","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088506","Compiled by T. Wood","","; ; ; ","Wood_etal13304","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088507","Compiled by T. Wood","","; ; ; ","Wood_etal13305","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088508","Compiled by T. Wood","","; ; ; ","Wood_etal13306","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088509","Compiled by T. Wood","","; ; ; ","Wood_etal13307","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088510","Compiled by T. Wood","","; ; ; ","Wood_etal13308","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088511","Compiled by T. Wood","","; ; ; ","Wood_etal13309","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteLasNieves",29.1075,-13.5269,"<10km",1979,2,4,"2/4/1979","2/4/1979","E. & S. Thomas","T. Wood",1,0,0,1,"","","ZMA.INS.5088554","Compiled by T. Wood","","; ; ; ","Wood_etal13310","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteHara",29.1462,-13.4982,"<10km",1979,2,6,"2/6/1979","2/11/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088512","Compiled by T. Wood","","; ; ; ","Wood_etal13326","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteFamara",29.115,-13.5565,"<10km",1979,2,4,"2/4/1979","2/15/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088513","Compiled by T. Wood","","; ; ; ","Wood_etal13333","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteFamara",29.115,-13.5565,"<10km",1979,2,4,"2/4/1979","2/15/1979","E. & S. Thomas","T. Wood",0,1,0,1,"","","ZMA.INS.5088514","Compiled by T. Wood","","; ; ; ","Wood_etal13334","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","LanzaroteFamara",29.115,-13.5565,"<10km",1979,2,4,"2/4/1979","2/15/1979","E. & S. Thomas","T. Wood",1,0,0,1,"","","ZMA.INS.5088552","Compiled by T. Wood","","; ; ; ","Wood_etal13335","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","FuerteventuraCorralejo",28.7239,-13.8582,"<10km",1990,3,3,"3/3/1990","3/20/1990","A.C. & W.N. Ellis","T. Wood",1,0,0,1,"","","ZMA.INS.5088359","Compiled by T. Wood","","; ; ; ","Wood_etal19126","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","FuerteventuraCorralejo",28.7239,-13.8582,"<10km",1990,3,3,"3/3/1990","3/20/1990","A.C. & W.N. Ellis","T. Wood",1,0,0,1,"","","ZMA.INS.5088360","Compiled by T. Wood","","; ; ; ","Wood_etal19127","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","FuerteventuraCorralejo",28.7239,-13.8582,"<10km",1990,3,3,"3/3/1990","3/20/1990","A.C. & W.N. Ellis","T. Wood",1,0,0,1,"","","ZMA.INS.5088361","Compiled by T. Wood","","; ; ; ","Wood_etal19128","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"spreta",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33971","Remove","Andrena spreta","Andrena spreta"
"Andrena",NA,"suerinensis",NA,"Portugal","Tr�s-os-Montes","DouroInternationalParkBemposta",41.31,6.505,"<1km",2017,4,7,"4/7/2017","4/7/2017","M.Jenner","D.Baldock",1,0,0,1,"","","","Compiled by T. Wood","","; M.Jenner Colln.; ; ","Wood_etal30678","Remove","Andrena suerinensis","Andrena suerinensis"
"Andrena",NA,"vulcana","ferina","Spain","Canary Islands","GranCanariaSanBartolomeDeTirajana",27.9223,-15.5735,"<10km",1987,3,24,"3/24/1987","3/24/1987","A.C. & W.N. Ellis","T. Wood",1,0,0,1,"","","ZMA.INS.5088186","Compiled by T. Wood","","; ; ; ","Wood_etal17111","Remove","Andrena vulcana","Andrena vulcana"
