Family;Genus;Species;Subspecies;Authority;Notes
Andrenidae;Andrena;humilis;NA;Imhoff, 1832;NA
Andrenidae;Andrena;hypopolia;NA;Schmiedeknecht, 1883;NA
Andrenidae;Andrena;hystrix;NA;Schmiedeknecht, 1883;NA
Andrenidae;Andrena;icterina;NA;Warncke, 1974;NA
Andrenidae;Andrena;impunctata;NA;Pérez, 1895;NA
Andrenidae;Andrena;incisa;NA;Eversmann, 1852;New for Europe, in the process of being published
Andrenidae;Andrena;intermedia;NA;Thomson, 1870;NA
Andrenidae;Andrena;labialis;NA;(Kirby, 1802);NA
Andrenidae;Andrena;labiata;NA;Fabricius, 1781;NA
Andrenidae;Andrena;lagopus;NA;Latreille, 1809;NA
Andrenidae;Andrena;langadensis;NA;Warncke, 1965;NA
Andrenidae;Andrena;lapponica;NA;Zetterstedt, 1838;NA
Andrenidae;Andrena;lateralis;NA;Morawitz, 1876;NA
Andrenidae;Andrena;lathyri;NA;Alfken, 1899;NA
Andrenidae;Andrena;laurivora;NA;Warncke, 1974;NA
Andrenidae;Andrena;lepida;NA;Schenck, 1859;NA
Andrenidae;Andrena;leptopyga;NA;Pérez, 1895;New for Europe, in the process of being published
Andrenidae;Andrena;leucolippa;NA;Pérez, 1895;NA
Andrenidae;Andrena;leucophaea;NA;Lepeletier, 1841;NA
Andrenidae;Andrena;limata;NA;Smith, 1853;NA
Andrenidae;Andrena;limbata;NA;Eversmann, 1852;NA
Andrenidae;Andrena;livens;NA;Pérez, 1895;NA
Andrenidae;Andrena;longibarbis;NA;Pérez, 1895;NA
Andrenidae;Andrena;macroptera;NA;Warncke, 1974;NA
Andrenidae;Andrena;marginata;NA;Fabricius, 1776;NA
Andrenidae;Andrena;mariana;NA;Warncke, 1968;NA
Andrenidae;Andrena;medeninensis;donata;Warncke, 1967;NA
Andrenidae;Andrena;melacana;NA;Warncke, 1967;New for Europe, in the process of being published
Andrenidae;Andrena;microthorax;NA;Pérez, 1895;NA
Andrenidae;Andrena;miegiella;NA;Dours, 1873;NA
Andrenidae;Andrena;minapalumboi;NA;Gribodo, 1894;NA
Andrenidae;Andrena;minutula;NA;(Kirby, 1802);NA
Andrenidae;Andrena;minutuloides;NA;Perkins, 1914;NA
Andrenidae;Andrena;mitis;NA;Schmiedekneckt, 1883;NA
Andrenidae;Andrena;monilia;NA;Warncke, 1967;As distinct from A. fulvicornis
Andrenidae;Andrena;montarca;NA;Warncke, 1975;NA
Andrenidae;Andrena;morio;NA;Brullé, 1832;NA
Andrenidae;Andrena;mucida;NA;Kreichbaumer, 1873;NA
Andrenidae;Andrena;murana;NA;Warncke, 1967;NA
Andrenidae;Andrena;nana;NA;(Kirby, 1802);NA
Andrenidae;Andrena;nanula;NA;Nylander, 1848;NA
Andrenidae;Andrena;nebularia;NA;Warncke, 1975;NA
Andrenidae;Andrena;nigriceps;NA;(Kirby, 1802);NA
Andrenidae;Andrena;nigroaenea;NA;(Kirby, 1802);NA
Andrenidae;Andrena;nigroolivacea;NA;Dours, 1873;NA
Andrenidae;Andrena;nigroviridula;NA;Dours, 1873;NA
Andrenidae;Andrena;nilotica;NA;Warncke, 1967;NA
Andrenidae;Andrena;nitida;NA;(Müller, 1776);NA
Andrenidae;Andrena;nitidiuscula;NA;Schenck, 1853;NA
Andrenidae;Andrena;nitidula;NA;Pérez, 1903;NA
Andrenidae;Andrena;niveata;NA;Friese, 1887;NA
Andrenidae;Andrena;nuptualis;NA;Pérez, 1902;NA
Andrenidae;Andrena;omnilaevis;NA;Wood, 2020;In the process of being published
Andrenidae;Andrena;orana;NA;Warncke, 1975;NA
Andrenidae;Andrena;orbitalis;NA;Morawitz, 1871;NA
Andrenidae;Andrena;ovatula;aggregate;(Kirby, 1802);sensu latu, taxon is dire need of revision
Andrenidae;Andrena;oviventris;NA;Pérez, 1895;NA
Andrenidae;Andrena;pallitarsis;NA;Pérez, 1903;NA
Andrenidae;Andrena;pandellei;NA;Pérez, 1895;NA
Andrenidae;Andrena;pandosa;NA;Warncke, 1968;NA
Andrenidae;Andrena;panurgina;NA;Destefani, 1889;NA
Andrenidae;Andrena;parviceps;NA;Kreichbaumer, 1873;NA
Andrenidae;Andrena;paucisquama;NA;Noskiewicz, 1924;NA
Andrenidae;Andrena;pellucens;NA;Pérez, 1895;NA
Andrenidae;Andrena;pilipes;NA;Fabricius, 1781;NA
Andrenidae;Andrena;polita;NA;Smith, 1847;NA
Andrenidae;Andrena;praecox;NA;(Scopoli, 1763);NA
Andrenidae;Andrena;propinqua;NA;Schenck, 1853;As distinct from A. dorsata
Andrenidae;Andrena;pruinosa;NA;Erichson, 1835;NA
Andrenidae;Andrena;ranunculi;NA;Schmiedeknecht, 1883;NA
Andrenidae;Andrena;ranunculorum;NA;Morawitz, 1878;NA
Andrenidae;Andrena;relata;NA;Warncke, 1967;NA
Andrenidae;Andrena;reperta;varuga;Warncke, 1975;NA
Andrenidae;Andrena;rhenana;NA;Stöckhert, 1930;NA
Andrenidae;Andrena;rhypara;NA;Pérez, 1903;NA
Andrenidae;Andrena;rhyssonata;NA;Pérez, 1895;NA
Andrenidae;Andrena;rosae;NA;Panzer, 1801;NA
Andrenidae;Andrena;rufizona;NA;Imhoff, 1834;NA
Andrenidae;Andrena;rufula;NA;Schmiedekneckt, 1883;NA
Andrenidae;Andrena;sardoa;NA;Lepeletier, 1841;NA
Andrenidae;Andrena;saxonica;NA;Stöckhert, 1935;NA
Andrenidae;Andrena;schencki;NA;Morawitz, 1866;NA
Andrenidae;Andrena;scotica;NA;Perkins, 1916;NA
Andrenidae;Andrena;semilaevis;NA;Pérez, 1903;NA
Andrenidae;Andrena;senecionis;NA;Pérez, 1895;NA
Andrenidae;Andrena;sericata;NA;Imhoff, 1866;NA
Andrenidae;Andrena;similis;NA;Smith, 1849;NA
Andrenidae;Andrena;simillima;NA;Smith, 1851;NA
Andrenidae;Andrena;simontornyella;NA;Noskiewicz, 1939;NA
Andrenidae;Andrena;solenopalpa;NA;Benoist, 1945;NA
Andrenidae;Andrena;soror;NA;Dours, 1872;Aggregate, in dire need of revision
Andrenidae;Andrena;spreta;NA;Pérez, 1895;NA
Andrenidae;Andrena;suerinensis;NA;Friese, 1884;NA
Andrenidae;Andrena;symphyti;NA;Schmiedekneckt, 1883;NA
Andrenidae;Andrena;synadelpha;NA;Perkins, 1914;NA
Andrenidae;Andrena;tarsata;NA;Nylander, 1848;NA
Andrenidae;Andrena;taxana;NA;Warncke, 1975;NA
Andrenidae;Andrena;tenuistriata;NA;Pérez, 1895;NA
Andrenidae;Andrena;thomsoni;NA;Ducke, 1898;NA
Andrenidae;Andrena;thoracica;NA;(Fabricius, 1775);NA
Andrenidae;Andrena;tiaretta;NA;Warncke, 1974;NA
Andrenidae;Andrena;tibialis;NA;(Kirby, 1802);NA
Andrenidae;Andrena;trimmerana;espanola;(Kirby, 1802);I am not sure of the species status of A. t. espanola, could just be a form
Andrenidae;Andrena;truncatilabris;NA;Warncke, 1967;NA
Andrenidae;Andrena;tunetana;NA;Schmiedeknecht, 1900;NA
Andrenidae;Andrena;urdula;NA;Warncke, 1965;NA
Andrenidae;Andrena;vacella;NA;Warncke, 1975;NA
Andrenidae;Andrena;variabilis;NA;Smith, 1853;NA
Andrenidae;Andrena;vaulogeri;NA;Pérez, 1895;NA
Andrenidae;Andrena;ventralis;NA;Imhoff, 1832;NA
Andrenidae;Andrena;ventricosa;NA;Dours, 1873;NA
Andrenidae;Andrena;verticalis;NA;Pérez, 1895;NA
Andrenidae;Andrena;vetula;NA;Lepeletier, 1841;NA
Andrenidae;Andrena;villipes;NA;Pérez, 1895;NA
Andrenidae;Andrena;viridescens;NA;Viereck, 1916;NA
Andrenidae;Andrena;vulcana;NA;Dours, 1873;NA
Andrenidae;Andrena;vulpecula;NA;Kreichbaumer, 1873;NA
Andrenidae;Andrena;wilkella;NA;(Kirby, 1802);Material identified as A. w. beaumonti is an undescribed taxon
Andrenidae;Camptopoeum;baldocki;NA;Wood & Cross, 2017;NA
Andrenidae;Camptopoeum;friesei;euzonum;(Warncke, 1972);NA
Andrenidae;Flavipanurgus;flavus;NA;(Friese, 1897);NA
Andrenidae;Flavipanurgus;fuzetus;NA;Patiny, 1999;NA
Andrenidae;Flavipanurgus;granadensis;NA;(Warncke, 1987);NA
Andrenidae;Flavipanurgus;ibericus;NA;(Warncke, 1972);NA
Andrenidae;Flavipanurgus;kastiliensis;NA;(Warncke, 1987);NA
Andrenidae;Flavipanurgus;merceti;NA;(Vachal, 1910);NA
Andrenidae;Melitturga;caudata;NA;Pérez, 1879;NA
Andrenidae;Melitturga;clavicornis;NA;(Latreille, 1806);NA
Andrenidae;Panurginus;albopilosus;NA;(Lucas, 1849);NA
Andrenidae;Panurginus;annulatus;NA;(Sichel, 1859);NA
Andrenidae;Panurgus;banksianus;NA;(Kirby, 1802);NA
Andrenidae;Panurgus;calcaratus;NA;(Scopoli, 1763);NA
Andrenidae;Panurgus;canescens;NA;Latreille, 1811;NA
Andrenidae;Panurgus;cephalotes;NA;Latreille, 1811;NA
Andrenidae;Panurgus;dargius;NA;Warncke, 1972;NA
Andrenidae;Panurgus;dentipes;NA;Latreille, 1811;NA
Andrenidae;Panurgus;meridionalis;NA;Patiny, Ortiz-Sánchez & Michez, 2005;NA
Andrenidae;Panurgus;perezi;NA;Saunders, 1882;NA
Andrenidae;Simpanurgus;phyllopodus;NA;(Warncke, 1972);NA
Apidae;Amegilla;albigena;albigena;(Lepeletier, 1841);NA
Apidae;Amegilla;albigena;talaris;(Pérez, 1879);Status of this taxon is unclear, it may be a valid species
Apidae;Amegilla;andresi;NA;(Friese, 1914);NA
Apidae;Amegilla;fasciata;NA;(Fabricius, 1775);NA
Apidae;Amegilla;garrula;NA;(Rossi, 1790);NA
Apidae;Amegilla;magnilabris;NA;(Fedtschenko, 1875);Ortiz-Sanchez 2011 listing of A. savignyi refers to this taxon
Apidae;Amegilla;ochroleuca;NA;(Pérez, 1879);NA
Apidae;Amegilla;quadrifasciata;NA;(de Villiers, 1789);NA
Apidae;Amegilla;salviae;NA;(Morawitz, 1876);NA
Apidae;Amegilla;velocissima;NA;(Fedtschenko, 1875);This is not true velocissima, not clear if the Spanish material is actually described
Apidae;Ammobates;dusmeti;NA;Popov, 1951;NA
Apidae;Ammobates;muticus;NA;Spinola, 1843;NA
Apidae;Ammobates;punctatus;NA;(Fabricius, 1804);NA
Apidae;Ammobates;rufiventris;NA;Latreille, 1809;NA
Apidae;Ammobates;vinctus;NA;Gerstaecker, 1869;NA
Apidae;Ammobatoides;scriptus;NA;(Gerstaecker, 1869);NA
Apidae;Anthophora;aestivalis;NA;(Panzer, 1801);NA
Apidae;Anthophora;affinis;NA;Brullé, 1832;A. biciliata is a synonym, both species listed by Ortiz-Sanchez
Apidae;Anthophora;agama;NA;Radoszkowski, 1869;NA
Apidae;Anthophora;andalusica;NA;Pérez, 1902;NA
Apidae;Anthophora;atriceps;NA;Pérez, 1879;A. thompsoni is a synonym, both species listed by Ortiz-Sanchez
Apidae;Anthophora;atroalba;NA;Lepeletier, 1841;NA
Apidae;Anthophora;balearica;NA;(Friese, 1896);NA
Apidae;Anthophora;balneorum;NA;Lepeletier, 1841;NA
Apidae;Anthophora;bimaculata;NA;(Panzer, 1798);NA
Apidae;Anthophora;calcarata;NA;Lepeletier, 1841;NA
Apidae;Anthophora;canescens;NA;Brullé, 1832;A. subterranea is a synonym, listed by Ortiz-Sanchez
Apidae;Anthophora;crassipes;NA;Lepeletier, 1841;NA
