Family;Genus;Species;Subspecies;Authority;Notes
Apidae;Nomada;conjungens;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;connectens;NA;Pérez, 1884;NA
Apidae;Nomada;corcyraea;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;coronata;NA;Pérez, 1895;NA
Apidae;Nomada;cristata;NA;Pérez, 1895;NA
Apidae;Nomada;dira;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;discedens;NA;Pérez, 1884;NA
Apidae;Nomada;discrepans;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;distinguenda;NA;Morawitz, 1874;NA
Apidae;Nomada;dolosa;NA;Mocsáry, 1883;N. centenarii Dusmet is a synonym, listed by Ortiz-Sanchez
Apidae;Nomada;duplex;NA;Smith, 1854;NA
Apidae;Nomada;elsei;NA;Schwarz & Smit, 2018;NA
Apidae;Nomada;emarginata;NA;Morawitz, 1877;NA
Apidae;Nomada;errans;NA;Lepeletier, 1841;NA
Apidae;Nomada;erythrocephala;NA;Morawitz, 1870;NA
Apidae;Nomada;fabriciana;NA;(Linnaeus, 1767);NA
Apidae;Nomada;facilis;NA;Schwarz, 1967;NA
Apidae;Nomada;fallax;NA;Pérez, 1913;NA
Apidae;Nomada;femoralis;NA;Morawitz, 1869;NA
Apidae;Nomada;fenestrata;NA;Lepeletier, 1841;NA
Apidae;Nomada;ferruginata;NA;(Linnaeus, 1767);NA
Apidae;Nomada;flavilabris;NA;Morawitz, 1875;NA
Apidae;Nomada;flavoguttata;NA;(Kirby, 1802);NA
Apidae;Nomada;flavopicta;NA;(Kirby, 1802);NA
Apidae;Nomada;fucata;NA;Panzer, 1798;NA
Apidae;Nomada;fulvicornis;NA;Fabricius, 1793;NA
Apidae;Nomada;furva;NA;Panzer, 1798;NA
Apidae;Nomada;fuscicornis;NA;Nylander, 1848;NA
Apidae;Nomada;glaucopis;NA;Pérez, 1890;NA
Apidae;Nomada;goodeniana;NA;(Kirby, 1802);NA
Apidae;Nomada;gribodoi;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;guttulata;NA;Schenck, 1859;NA
Apidae;Nomada;hispanica;NA;Dusmet, 1913;NA
Apidae;Nomada;illustris;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;insignipes;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;integra;NA;Brullé, 1832;NA
Apidae;Nomada;italica;NA;Dalla Torre & Friese, 1894;NA
Apidae;Nomada;jaramensis;NA;Dusmet, 1913;NA
Apidae;Nomada;kohli;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;lamellata;NA;Schwarz, 1977;NA
Apidae;Nomada;lathburiana;NA;(Kirby, 1802);NA
Apidae;Nomada;linsenmaieri;NA;Schwarz, 1974;NA
Apidae;Nomada;maculicornis;NA;Pérez, 1884;NA
Apidae;Nomada;mandibularis;NA;Schwarz & Gusenleitner, 2013;NA
Apidae;Nomada;marshamella;NA;(Kirby, 1802);NA
Apidae;Nomada;mauritanica;NA;Lepeletier, 1841;NA
Apidae;Nomada;melathoracica;NA;Imhoff, 1834;NA
Apidae;Nomada;merceti;NA;Alfken, 1909;NA
Apidae;Nomada;minuscula;NA;Noskiewicz, 1930;NA
Apidae;Nomada;mocsaryi;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;mutabilis;NA;Morawitz, 1870;NA
Apidae;Nomada;mutica;NA;Morawitz, 1872;NA
Apidae;Nomada;nigrovaria;NA;Pérez, 1895;NA
Apidae;Nomada;nobilis;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;numida;manni;Morawitz, 1872;NA
Apidae;Nomada;orbitalis;NA;Pérez, 1913;NA
Apidae;Nomada;panurgina;NA;Morawitz, 1869;NA
Apidae;Nomada;panzeri;NA;Lepeletier, 1841;NA
Apidae;Nomada;pectoralis;NA;Morawitz, 1877;NA
Apidae;Nomada;piccioliana;NA;Magretti, 1883;NA
Apidae;Nomada;pleurosticta;NA;Herrich-Schäffer, 1839;NA
Apidae;Nomada;rhenana;NA;Morawitz, 1872;NA
Apidae;Nomada;roberjeotiana;NA;Panzer, 1799;NA
Apidae;Nomada;rubiginosa;NA;Pérez, 1884;NA
Apidae;Nomada;rubricoxa;NA;Schwarz, 1977;NA
Apidae;Nomada;ruficornis;NA;(Linnaeus, 1758);N. bifida Thomson, 1872 is a synonym, listed by Ortiz-Sanchez
Apidae;Nomada;rufipes;NA;Fabricius, 1793;NA
Apidae;Nomada;sabulosa;NA;Radoszkowski, 1876;NA
Apidae;Nomada;sanguinea;NA;Smith, 1854;NA
Apidae;Nomada;serricornis;NA;Pérez, 1884;NA
Apidae;Nomada;sexfasciata;NA;Panzer, 1799;NA
Apidae;Nomada;sheppardana;NA;(Kirby, 1802);NA
Apidae;Nomada;signata;NA;Jurine, 1807;NA
Apidae;Nomada;similis;NA;Morawitz, 1872;NA
Apidae;Nomada;smiti;NA;Schwarz, 2018;NA
Apidae;Nomada;stigma;NA;Fabricius, 1804;NA
Apidae;Nomada;stoeckherti;NA;Pittioni, 1951;NA
Apidae;Nomada;striata;NA;Fabricius, 1793;NA
Apidae;Nomada;succincta;NA;Panzer, 1798;NA
Apidae;Nomada;thersites;NA;Schmiedeknecht, 1882;NA
Apidae;Nomada;tridentirostris;NA;Dours, 1873;NA
Apidae;Nomada;villosa;NA;Thomson, 1870;NA
Apidae;Nomada;zonata;NA;Panzer, 1798;NA
Apidae;Pasites;maculatus;NA;Jurine, 1807;NA
Apidae;Thyreus;affinis;NA;(Morawitz, 1874);NA
Apidae;Thyreus;hirtus;NA;(de Beaumont, 1940);NA
Apidae;Thyreus;histrionicus;NA;(Illiger, 1806);NA
Apidae;Thyreus;orbatus;NA;(Lepeletier, 1841);NA
Apidae;Thyreus;picaron;NA;Lieftinck, 1968;NA
Apidae;Thyreus;ramosus;NA;(Lepeletier, 1841);NA
Apidae;Thyreus;truncatus;NA;(Pérez, 1883);NA
Apidae;Triepeolus;tristis;NA;(Smith, 1854);NA
Apidae;Xylocopa;amedaei;NA;Lepeletier, 1841;NA
Apidae;Xylocopa;cantabrita;NA;Lepeletier, 1841;NA
Apidae;Xylocopa;iris;iris;(Christ, 1791);NA
Apidae;Xylocopa;iris;uclesiensis;Pérez, 1901;NA
Apidae;Xylocopa;valga;NA;Gerstäcker, 1872;NA
Apidae;Xylocopa;violacea;NA;(Linnaeus, 1758);NA
Colletidae;Colletes;abeillei;NA;Pérez, 1903;NA
Colletidae;Colletes;acutiformis;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;acutus;NA;Pérez, 1903;NA
Colletidae;Colletes;albomaculatus;NA;(Lucas, 1849);NA
Colletidae;Colletes;brevigena;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;canescens;NA;Smith, 1853;NA
Colletidae;Colletes;carinatus;NA;Radoszkowski, 1891;NA
Colletidae;Colletes;collaris;NA;Dours, 1872;NA
Colletidae;Colletes;cunicularis;NA;(Linnaeus, 1761);NA
Colletidae;Colletes;daviesanus;NA;Smith, 1846;NA
Colletidae;Colletes;dinizi;NA;Kuhlman, Ortiz & Ornosa 2001;NA
Colletidae;Colletes;dusmeti;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;eous;NA;Morice, 1904;NA
Colletidae;Colletes;escalerai;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;floralis;NA;Eversmann, 1852;NA
Colletidae;Colletes;fodiens;NA;(Geoffroy in Fourcroy, 1785);NA
Colletidae;Colletes;foveolaris;NA;Pérez, 1903;NA
Colletidae;Colletes;gallicus;NA;Radoszkowski, 1891;NA
Colletidae;Colletes;hederae;NA;Schmidt & Westrich, 1993;NA
Colletidae;Colletes;hylaeformis;NA;Eversmann, 1852;NA
Colletidae;Colletes;intricans;NA;Spinola, 1838;NA
Colletidae;Colletes;ligatus;NA;Erichson, 1835;NA
Colletidae;Colletes;maidli;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;marginatus;NA;Smith, 1846;NA
Colletidae;Colletes;merceti;NA;Noskiewicz, 1936;NA
Colletidae;Colletes;mlokossewiczi;NA;Radoszkowski, 1891;NA
Colletidae;Colletes;nigricans;NA;Gistel, 1857;NA
Colletidae;Colletes;noskiewiczi;NA;Cockerell, 1942;NA
Colletidae;Colletes;pulchellus;NA;Pérez, 1903;NA
Colletidae;Colletes;schmidi;NA;Noskiewicz, 1962;NA
Colletidae;Colletes;sierrensis;NA;Frey-Gessner, 1901;NA
Colletidae;Colletes;similis;NA;Schenck, 1853;NA
Colletidae;Colletes;succinctus;NA;(Linnaeus, 1785);NA
Colletidae;Colletes;tuberculiger;NA;Noskiewicz, 1936;NA
Colletidae;Hylaeus;absolutus;NA;(Gribodo, 1894);NA
Colletidae;Hylaeus;alpinus;NA;(Morawitz, 1867);NA
Colletidae;Hylaeus;angustatus;NA;(Schenck, 1861);NA
Colletidae;Hylaeus;annularis;NA;(Kirby, 1802);NA
Colletidae;Hylaeus;brachycephalus;NA;(Morawitz, 1868);NA
Colletidae;Hylaeus;brevicornis;NA;Nylander, 1852;NA
Colletidae;Hylaeus;clypearis;NA;(Schenck, 1853);NA
Colletidae;Hylaeus;communis;NA;Nylander, 1852;NA
Colletidae;Hylaeus;conformis;NA;Förster, 1871;NA
Colletidae;Hylaeus;confusus;NA;Nylander, 1852;NA
Colletidae;Hylaeus;convergens;NA;Dathe, 2000;NA
Colletidae;Hylaeus;coriaceus;NA;(Pérez, 1895);NA
Colletidae;Hylaeus;cornutus;NA;Curtis, 1831;NA
Colletidae;Hylaeus;crassanus;NA;(Warncke, 1972);NA
Colletidae;Hylaeus;diffiformis;hispanicus;(Warncke, 1972);NA
Colletidae;Hylaeus;dilatatus;NA;(Kirby, 1802);NA
Colletidae;Hylaeus;euryscapus;NA;Förster, 1871;NA
Colletidae;Hylaeus;garrulus;NA;(Warncke, 1981);NA
Colletidae;Hylaeus;gazagnairei;NA;(Vachal, 1891);NA
Colletidae;Hylaeus;gibbus;NA;Saunders, 1850;NA
Colletidae;Hylaeus;glacialis;NA;Morawitz, 1872;NA
Colletidae;Hylaeus;gracilicornis;NA;(Morawitz, 1867);NA
Colletidae;Hylaeus;gredleri;NA;Förster, 1871;NA
Colletidae;Hylaeus;hyalinatus;NA;Smith, 1843;NA
Colletidae;Hylaeus;ibericus;NA;Dathe, 2000;NA
Colletidae;Hylaeus;imparilis;NA;Förster, 1871;NA
Colletidae;Hylaeus;incongruus;NA;Förster, 1871;NA
Colletidae;Hylaeus;kahri;NA;Förster, 1871;NA
Colletidae;Hylaeus;leptocephalus;NA;(Morawitz, 1870);NA
Colletidae;Hylaeus;lineolatus;NA;(Schenck, 1861);NA
Colletidae;Hylaeus;meridionalis;NA;Förster, 1871;NA
Colletidae;Hylaeus;moricei;NA;(Friese, 1898);NA
Colletidae;Hylaeus;nigritus;NA;(Fabricius, 1798);NA
Colletidae;Hylaeus;penalaris;NA;Dathe, 1979;NA
Colletidae;Hylaeus;pictipes;NA;Nylander, 1852;NA
Colletidae;Hylaeus;pictus;NA;(Smith, 1853);NA
Colletidae;Hylaeus;pilosulus;NA;(Pérez, 1903);NA
Colletidae;Hylaeus;praenotatus;NA;Förster, 1871;NA
Colletidae;Hylaeus;punctatus;NA;(Brullé, 1832);NA
Colletidae;Hylaeus;punctulatissimus;NA;Smith, 1843;NA
Colletidae;Hylaeus;pyrenaicus;NA;Dathe, 2000;NA
Colletidae;Hylaeus;rubicola;NA;Saunders, 1850;NA
Colletidae;Hylaeus;signatus;NA;(Panzer, 1798);NA
Colletidae;Hylaeus;sinuatus;NA;(Schenck, 1853);NA
Colletidae;Hylaeus;soror;NA;(Pérez, 1903);NA
Colletidae;Hylaeus;sulphuripes;NA;(Gribodo, 1894);NA
Colletidae;Hylaeus;taeniolatus;NA;Förster, 1871;NA
Colletidae;Hylaeus;teruelus;NA;(Warncke, 1981);NA
Colletidae;Hylaeus;trinotatus;NA;(Pérez, 1895);NA
Colletidae;Hylaeus;variegatus;NA;(Fabricius, 1798);NA
Halictidae;Ceylalictus;variegatus;NA;(Olivier, 1789);NA
Halictidae;Dioxys;schenckii;NA;Hagens, 1882;NA
Halictidae;Dufourea;alpina;NA;Morawitz, 1865;NA
Halictidae;Dufourea;balearica;NA;Ebmer, 2015;NA
Halictidae;Dufourea;dentiventris;NA;(Nylander, 1848);NA
Halictidae;Dufourea;gaullei;NA;Vachal, 1897;NA
Halictidae;Dufourea;halictula;NA;(Nylander, 1852);NA
Halictidae;Dufourea;longiglossa;NA;Ebmer, 1993;NA
Halictidae;Dufourea;lusitanica;NA;Ebmer, 1999;NA
Halictidae;Dufourea;merceti;NA;Vachal, 1907;NA
Halictidae;Dufourea;minuta;NA;Lepeletier, 1841;NA
Halictidae;Dufourea;paradoxa;NA;(Morawitz, 1867);NA
Halictidae;Dufourea;trautmanni;NA;Dusmet, 1935;NA
Halictidae;Halictus;brunnescens;NA;(Eversmann, 1852);NA
Halictidae;Halictus;cochlearitarsis;NA;(Dours, 1872);NA
Halictidae;Halictus;confusus;NA;Smith, 1853;NA
Halictidae;Halictus;consobrinus;NA;Pérez, 1895;NA
Halictidae;Halictus;crenicornis;NA;Blüthgen, 1923;NA
Halictidae;Halictus;eurygnathus;NA;Blüthgen, 1931;NA
Halictidae;Halictus;fulvipes;NA;(Klug, 1817);NA
Halictidae;Halictus;fumatipennis;NA;Blüthgen, 1923;Probably the female of H. jaramielicus
Halictidae;Halictus;gavarnicus;NA;Pérez, 1903;NA
Halictidae;Halictus;gemella;NA;(Pauly, 2015);NA
Halictidae;Halictus;gemmeus;NA;Dours, 1872;NA
Halictidae;Halictus;jaramielicus;NA;Blüthgen, 1923;Probably the male of H. fumatipennis
Halictidae;Halictus;kessleri;NA;(Bramson, 1879);NA
Halictidae;Halictus;langobardicus;NA;Blüthgen, 1944;NA
Halictidae;Halictus;leucaheneus;NA;Ebmer, 1972;NA
Halictidae;Halictus;maculatus;NA;Smith, 1848;NA
Halictidae;Halictus;microcardia;NA;Pérez, 1895;NA
Halictidae;Halictus;orientanus;NA;(Pauly & Devalez, 2015);NA
Halictidae;Halictus;patellatus;NA;Morawitz, 1874;NA
Halictidae;Halictus;pici;NA;Pérez, 1895;NA
Halictidae;Halictus;pollinosus;NA;Sichel, 1860;NA
Halictidae;Halictus;pyrenaeus;NA;Pérez, 1903;NA
Halictidae;Halictus;quadricintus;NA;(Fabricius, 1776);NA
Halictidae;Halictus;quadripartitus;NA;Blüthgen, 1923;NA
Halictidae;Halictus;rubicundus;NA;(Christ, 1791);NA
Halictidae;Halictus;scabiosae;NA;(Rossi, 1790);NA
Halictidae;Halictus;seladonius;NA;Fabricius, 1794;NA
Halictidae;Halictus;senilis;NA;(Eversmann, 1852);NA
Halictidae;Halictus;sexcinctus;NA;(Fabricius, 1775);NA
Halictidae;Halictus;simplex;NA;Blüthgen, 1923;NA
Halictidae;Halictus;smaragdulus;NA;Vachal, 1895;NA
Halictidae;Halictus;subauratus;NA;(Rossi, 1792);NA
Halictidae;Halictus;submediterraneus;NA;(Pauly, 2015);NA
Halictidae;Halictus;toparensis;NA;Pauly, 2017;NA
Halictidae;Halictus;tridivisus;NA;Blüthgen, 1923;NA
Halictidae;Halictus;tumulorum;NA;(Linnaeus, 1758);NA
Halictidae;Halictus;vestitus;NA;Lepeletier, 1841;NA
Halictidae;Lasioglossum;aeratum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;albipes;NA;(Fabricius, 1781);NA
Halictidae;Lasioglossum;albocinctum;NA;(Lucas, 1846);NA
Halictidae;Lasioglossum;albovirens;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;algericolellum;NA;(Strand, 1909);NA
Halictidae;Lasioglossum;angusticeps;NA;(Perkins, 1895);NA
Halictidae;Lasioglossum;articulare;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;asellum;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;aureolum;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;bimaculatum;NA;(Dours, 1872);NA
Halictidae;Lasioglossum;bluethgeni;NA;Ebmer, 1971;NA
Halictidae;Lasioglossum;brevicorne;NA;(Schenck, 1869);NA
Halictidae;Lasioglossum;breviventre;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;buccale;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;calceatum;NA;(Scopoli, 1763);NA
Halictidae;Lasioglossum;callizonium;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;capitale;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;castillianum;NA;(Blüthgen, 1931);NA
Halictidae;Lasioglossum;collopiense;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;corvinum;NA;(Morawitz, 1878);NA
Halictidae;Lasioglossum;costulatum;NA;(Kriechbaumer, 1873);NA
Halictidae;Lasioglossum;crassepunctatum;NA;(Blüthgen, 1923);NA
Halictidae;Lasioglossum;cristula;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;cupromicans;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;discum;discum;(Smith, 1853);NA
Halictidae;Lasioglossum;discum;fertoni;(Vachal, 1895);NA
Halictidae;Lasioglossum;duckei;helios;(Alfken, 1909);NA
Halictidae;Lasioglossum;dusmeti;NA;(Blüthgen, 1924);NA
Halictidae;Lasioglossum;elegans;NA;(Lepeletier, 1841);NA
Halictidae;Lasioglossum;euboeense;NA;(Strand, 1909);NA
Halictidae;Lasioglossum;fratellum;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;fulvicorne;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;glabriusculum;NA;(Morawitz, 1872);NA
Halictidae;Lasioglossum;griseolum;NA;(Morawitz, 1872);NA
Halictidae;Lasioglossum;ibericum;NA;Ember, 1975;NA
Halictidae;Lasioglossum;immunitum;NA;(Vachal, 1895);NA
Halictidae;Lasioglossum;intermedium;NA;(Schenck, 1868);NA
Halictidae;Lasioglossum;interruptum;NA;(Panzer, 1798);NA
Halictidae;Lasioglossum;laeve;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;laevidorsum;NA;(Blüthgen, 1923);NA
Halictidae;Lasioglossum;laevigatum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;laterale;NA;(Brullé, 1832);NA
Halictidae;Lasioglossum;laticeps;NA;(Schenck, 1869);NA
Halictidae;Lasioglossum;lativentre;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;leucopus;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;leucozonium;cedri;Ebmer, 1976;NA
Halictidae;Lasioglossum;leucozonium;elysium;Ebmer, 1979;NA
Halictidae;Lasioglossum;leucozonium;leucozonium;(Schrank, 1781);NA
Halictidae;Lasioglossum;limbellum;NA;(Morawitz, 1876);NA
Halictidae;Lasioglossum;lissonotum;NA;(Noskiewicz, 1925);NA
Halictidae;Lasioglossum;littorale;littorale;(Blüthgen, 1924);NA
Halictidae;Lasioglossum;littorale;occitanicum;(Ebmer, 1976);NA
Halictidae;Lasioglossum;lucidulum;NA;(Schenck, 1861);NA
Halictidae;Lasioglossum;majus;NA;(Nylander, 1852);NA
Halictidae;Lasioglossum;malachurum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;mandibulare;NA;(Morawitz, 1866);NA
Halictidae;Lasioglossum;marginatum;NA;(Brullé, 1832);NA
Halictidae;Lasioglossum;maurusium;NA;(Blüthgen, 1935);NA
Halictidae;Lasioglossum;medinai;NA;(Vachal, 1895);NA
Halictidae;Lasioglossum;mediterraneum;NA;(Blüthgen, 1926);NA
Halictidae;Lasioglossum;mesosclerum;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;minutissimum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;minutulum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;morio;NA;(Fabricius, 1793);NA
Halictidae;Lasioglossum;musculoides;NA;Ebmer, 1974;NA
Halictidae;Lasioglossum;nigripes;NA;(Lepeletier, 1841);NA
Halictidae;Lasioglossum;nitidiusculum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;nitidulum;hammi;(Saunders, 1904);NA
Halictidae;Lasioglossum;nitidulum;nitidulum;(Fabricius, 1804);NA
Halictidae;Lasioglossum;orihuelicum;NA;(Blüthgen, 1924);NA
Halictidae;Lasioglossum;pallens;NA;(Brullé, 1832);NA
Halictidae;Lasioglossum;parvulum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;pauperatum;NA;(Brullé, 1832);NA
Halictidae;Lasioglossum;pauxillum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;perclavipes;NA;Blüthgen, 1923;NA
Halictidae;Lasioglossum;podolicum;NA;(Noskiewicz, 1924);NA
Halictidae;Lasioglossum;politum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;prasinum;NA;(Smith, 1848);NA
Halictidae;Lasioglossum;pseudoleptocephalum;NA;(Blüthgen, 1923);NA
Halictidae;Lasioglossum;pseudoplanulum;NA;(Blüthgen, 1924);NA
Halictidae;Lasioglossum;punctatissimum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;puncticolle;NA;(Morawitz, 1872);NA
Halictidae;Lasioglossum;pygmaeum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;quadrinotatulum;NA;(Schenck, 1861);NA
Halictidae;Lasioglossum;quadrinotatum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;quadrisignatum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;rufitarse;NA;(Zetterstedt, 1838);NA
Halictidae;Lasioglossum;semilucens;NA;(Alfken, 1914);NA
Halictidae;Lasioglossum;setulellum;NA;(Strand, 1909);NA
Halictidae;Lasioglossum;sexmaculatum;NA;(Schenck, 1853);NA
Halictidae;Lasioglossum;sexnotatum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;sexstrigatum;NA;(Schecnk, 1868);NA
Halictidae;Lasioglossum;smeathmanellum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;soror;NA;(Saunders, 1901);NA
Halictidae;Lasioglossum;sphecidomorphum;NA;(Vachal, 1892);NA
Halictidae;Lasioglossum;strictifrons;NA;(Vachal, 1895);NA
Halictidae;Lasioglossum;subaenescens;NA;(Pérez, 1895);NA
Halictidae;Lasioglossum;subfasciatum;NA;(Imhoff, 1832);NA
Halictidae;Lasioglossum;subhirtum;NA;(Lepeletier, 1841);NA
Halictidae;Lasioglossum;transitorium;planulum;(Pérez, 1903);NA
Halictidae;Lasioglossum;tricinctum;NA;(Schenck, 1874);NA
Halictidae;Lasioglossum;truncaticolle;NA;(Morawitz, 1878);NA
Halictidae;Lasioglossum;vergilianum;NA;(Pérez, 1903);NA
Halictidae;Lasioglossum;villosulum;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;virens;NA;(Erichson, 1835);NA
Halictidae;Lasioglossum;xanthopus;NA;(Kirby, 1802);NA
Halictidae;Lasioglossum;zonulum;NA;(Smith, 1848);NA
Halictidae;Nomioides;facilis;NA;(Smith, 1853);NA
Halictidae;Nomioides;minutissimus;NA;(Rossi, 1790);NA
Halictidae;Pseudapis;bispinosa;albocincta;(Lucas, 1849);NA
Halictidae;Pseudapis;bispinosa;bispinosa;(Brullé, 1832);Ortiz-Sanchez lists monstrosa, but this is a historic misidentification, paper in review
Halictidae;Pseudapis;diversipes;NA;(Latreille, 1806);NA
Halictidae;Pseudapis;femoralis;NA;(Pallas, 1773);NA
Halictidae;Pseudapis;valga;NA;(Gerstäcker, 1872);NA
Halictidae;Rophites;algirus;trispinosus;Pérez, 1903;NA
Halictidae;Rophites;quinquespinosus;NA;Spinola, 1808;NA
Halictidae;Sphecodes;albilabris;albilabris;(Fabricius, 1793);NA
Halictidae;Sphecodes;alternatus;NA;Smith, 1853;NA
Halictidae;Sphecodes;crassanus;NA;Warncke, 1992;NA
Halictidae;Sphecodes;crassus;NA;Thomson, 1870;NA
Halictidae;Sphecodes;croaticus;NA;Meyer, 1922;NA
Halictidae;Sphecodes;dusmeti;NA;Blüthgen, 1924;NA
Halictidae;Sphecodes;ephippius;NA;(Linnaeus, 1767);NA
Halictidae;Sphecodes;ferruginatus;NA;Hagens, 1882;NA
Halictidae;Sphecodes;geoffrellus;NA;(Kirby, 1802);NA
Halictidae;Sphecodes;gibbus;NA;(Linnaeus, 1758);NA
Halictidae;Sphecodes;hirtellus;NA;Blüthgen, 1923;NA
Halictidae;Sphecodes;hyalinatus;NA;Hagens, 1882;NA
Halictidae;Sphecodes;intermedius;NA;Blüthgen, 1923;NA
Halictidae;Sphecodes;longuloides;NA;Blüthgen, 1923;NA
Halictidae;Sphecodes;longulus;NA;Hagens, 1882;NA
Halictidae;Sphecodes;majalis;NA;Pérez, 1903;NA
Halictidae;Sphecodes;marginatus;NA;Hagens, 1882;NA
Halictidae;Sphecodes;miniatus;NA;Hagens, 1882;NA
Halictidae;Sphecodes;monilicornis;NA;(Kirby, 1802);NA
Halictidae;Sphecodes;niger;NA;Hagens, 1874;NA
Halictidae;Sphecodes;olivieri;NA;Lepeletier & Serville, 1825;NA
Halictidae;Sphecodes;pellucidus;NA;Smith, 1845;NA
Halictidae;Sphecodes;pinguiculus;NA;Pérez, 1903;NA
Halictidae;Sphecodes;pseudocrassus;NA;Blüthgen, 1924;NA
Halictidae;Sphecodes;pseudofasciatus;NA;Blüthgen, 1925;NA
Halictidae;Sphecodes;puncticeps;NA;Thomson, 1870;NA
Halictidae;Sphecodes;reticulatus;NA;Thomson, 1870;NA
Halictidae;Sphecodes;rubicundus;NA;Hagens, 1875;NA
Halictidae;Sphecodes;rubripes;NA;Spinola, 1838;Clearly a valid species, not a subspecies of albilabris
Halictidae;Sphecodes;ruficrus;NA;(Erichson, 1835);NA
Halictidae;Sphecodes;rufiventris;NA;(Panzer, 1798);NA
Halictidae;Sphecodes;scabricollis;NA;Wesmael, 1835;NA
Halictidae;Sphecodes;spinulosus;NA;Hagens, 1875;NA
Halictidae;Systropha;curvicornis;NA;(Scopoli, 1770);NA
Halictidae;Systropha;planidens;grandimargo;Pérez, 1905;NA
Megachilidae;Afranthidium;carduele;NA;(Morawitz, 1876);NA
Megachilidae;Afranthidium;schulthessii;NA;(Friese, 1897);NA
Megachilidae;Aglaoapis;tridentata;NA;(Nylander, 1848);NA
Megachilidae;Anthidiellum;breviusculum;NA;(Pérez, 1890);NA
Megachilidae;Anthidiellum;strigatum;NA;(Panzer, 1805);NA
Megachilidae;Anthidium;cingulatum;NA;Latreille, 1809;NA
Megachilidae;Anthidium;diadema;NA;Latreille, 1809;NA
Megachilidae;Anthidium;florentinum;NA;(Fabricius, 1775);NA
Megachilidae;Anthidium;loti;NA;Perris, 1852;NA
Megachilidae;Anthidium;manicatum;NA;(Linnaeus, 1758);NA
Megachilidae;Anthidium;montanum;NA;Morawitz, 1864;NA
Megachilidae;Anthidium;oblongatum;NA;(Illiger, 1806);NA
Megachilidae;Anthidium;punctatum;NA;Latreille, 1809;NA
Megachilidae;Anthidium;septemspinosum;NA;Lepeletier, 1841;NA
Megachilidae;Anthidium;taeniatum;NA;Latreille, 1809;NA
Megachilidae;Chelostoma;campanularum;NA;(Kirby, 1802);NA
Megachilidae;Chelostoma;distinctum;NA;(Stöckhert, 1929);NA
Megachilidae;Chelostoma;edentulum;NA;Pérez, 1895;NA
Megachilidae;Chelostoma;emarginatum;NA;(Nylander, 1856);NA
Megachilidae;Chelostoma;florisomne;NA;(Linnaeus, 1758);NA
Megachilidae;Chelostoma;foveolatum;NA;(Morawitz, 1868);NA
Megachilidae;Chelostoma;nasutum;NA;Pérez, 1895;NA
Megachilidae;Chelostoma;rapunculi;NA;(Lepeletier, 1841);NA
