"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","subspecies"
"23","Bombus terrestris",40.795597,-3.493672,"Apidae",2020,1,11,"jlsoriat",NA,NA,NA
"41","Xylocopa violacea",36.020597,-5.60587,"Apidae",2020,1,8,"Brendan Burke",NA,NA,NA
"42","Xylocopa violacea",38.79999,0.168872,"Apidae",2020,1,27,"supergan",NA,NA,NA
"44","Bombus terrestris",38.862343,0.023646,"Apidae",2020,1,7,"Katja Schulz",NA,NA,NA
"45","Apis mellifera",39.754036,3.158655,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"46","Apis mellifera",39.766457,3.149986,"Apidae",2020,2,15,"-1082328577",NA,NA,NA
"47","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,15,"-1082328577",NA,NA,NA
"48","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"49","Apis mellifera",39.843079,3.117542,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"50","Anthophora plumipes",39.765766,3.146811,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"51","Anthophora plumipes",39.765766,3.146811,"Apidae",2020,2,22,"-1082328577",NA,NA,NA
"52","Apis mellifera",39.740788,3.183975,"Apidae",2020,2,17,"-1082328577",NA,NA,NA
"53","Apis mellifera",39.772263,3.124924,"Apidae",2020,2,23,"-1082328577",NA,NA,NA
"54","Apis mellifera",39.772263,3.124924,"Apidae",2020,2,21,"-1082328577",NA,NA,NA
"55","Apis mellifera",39.743229,3.289976,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"56","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"57","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,23,"-1082328577",NA,NA,NA
"58","Apis mellifera",39.755638,3.166809,"Apidae",2020,2,19,"-1082328577",NA,NA,NA
"59","Apis mellifera",39.761181,3.151617,"Apidae",2020,2,22,"-1082328577",NA,NA,NA
"60","Bombus terrestris",39.743229,3.289976,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"61","Xylocopa violacea",39.855766,3.098168,"Apidae",2020,2,13,"-1857906570",NA,NA,NA
"62","Apis mellifera",38.843607,-6.372959,"Apidae",2020,2,2,"perez_rayego",NA,NA,NA
"64","Xylocopa violacea",36.721668,-4.413889,"Apidae",2020,2,8,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"66","Apis mellifera",41.415478,2.170195,"Apidae",2020,2,21,"Eric Toro Delgado",NA,NA,NA
"67","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,22,"arianey",NA,NA,NA
"69","Xylocopa violacea",37.875557,-4.782778,"Apidae",2020,2,4,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"70","Apis mellifera",41.793575,1.633208,"Apidae",2020,2,1,"peresol",NA,NA,NA
"71","Apis mellifera",41.361173,2.157828,"Apidae",2020,2,23,"sbrnmnndz",NA,NA,NA
"73","Xylocopa violacea",38.030199,-0.663421,"Apidae",2020,2,20,"danielnaturalist91",NA,NA,NA
"74","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,15,"arianey",NA,NA,NA
"75","Xylocopa violacea",37.374776,-5.991898,"Apidae",2020,2,10,"jh",NA,NA,NA
"76","Apis mellifera",39.638075,-0.876889,"Apidae",2020,2,1,"Brendan Burke",NA,NA,NA
"78","Apis mellifera",36.715832,-4.426111,"Apidae",2020,2,8,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"79","Apis mellifera",40.663413,-3.788218,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"80","Xylocopa violacea",37.559989,-4.646659,"Apidae",2020,2,23,"José Ríos",NA,NA,NA
"81","Xylocopa violacea",37.388434,-5.973367,"Apidae",2020,2,18,"ausram",NA,NA,NA
"82","Apis mellifera",42.826318,-2.662964,"Apidae",2020,2,23,"garnikaisabel",NA,NA,NA
"83","Apis mellifera",38.839714,-6.373425,"Apidae",2020,2,23,"perez_rayego",NA,NA,NA
"84","Xylocopa violacea",40.455585,-3.600273,"Apidae",2020,2,1,"ceciliagc",NA,NA,NA
"85","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,19,"arianey",NA,NA,NA
"86","Apis mellifera",40.663418,-3.788215,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"87","Apis mellifera",40.663412,-3.788217,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"89","Bombus pascuorum",42.16537,-8.685963,"Apidae",2020,2,12,"Carlos Pizcueta Suárez",NA,NA,NA
"91","Apis mellifera",38.927969,-6.375381,"Apidae",2020,2,23,"perez_rayego",NA,NA,NA
"92","Xylocopa violacea",41.971524,3.144051,"Apidae",2020,2,22,"Cris",NA,NA,NA
"93","Apis mellifera",38.93527,-6.417925,"Apidae",2020,2,26,"perez_rayego",NA,NA,NA
"94","Xylocopa violacea",37.017798,-4.553178,"Apidae",2020,2,28,"Susanne Vogel",NA,NA,NA
"95","Xylocopa violacea",41.367772,2.166907,"Apidae",2020,2,27,"karsten_s",NA,NA,NA
"97","Bombus lucorum",41.421589,2.179222,"Apidae",2020,2,22,"gedaloop",NA,NA,NA
"98","Anthophora plumipes",41.407417,2.216567,"Apidae",2020,2,19,"manuelala",NA,NA,NA
"99","Anthophora plumipes",41.421597,2.179148,"Apidae",2020,2,22,"gedaloop",NA,NA,NA
"100","Apis mellifera",39.857522,3.098298,"Apidae",2020,3,1,"karsten_s",NA,NA,NA
"101","Xylocopa violacea",39.795967,3.10597,"Apidae",2020,3,1,"karsten_s",NA,NA,NA
"102","Apis mellifera",39.544408,-0.448083,"Apidae",2020,3,11,"Luis Orlando",NA,NA,NA
"104","Apis mellifera",43.238337,-8.381088,"Apidae",2020,3,9,"davidchas",NA,NA,NA
"105","Apis mellifera",40.63785,-3.230711,"Apidae",2020,3,10,"arianey",NA,NA,NA
"106","Apis mellifera",38.715622,-0.47011,"Apidae",2020,3,9,"Sergio Picó",NA,NA,NA
"107","Apis mellifera",38.928357,-6.380416,"Apidae",2020,3,8,"perez_rayego",NA,NA,NA
"108","Xylocopa violacea",41.407135,2.215005,"Apidae",2020,3,11,"Eric Toro Delgado",NA,NA,NA
"109","Apis mellifera",41.766604,2.625895,"Apidae",2020,3,9,"pacoaguayo",NA,NA,NA
"110","Apis mellifera",40.670045,-3.780074,"Apidae",2020,3,8,"Eduardo Ramirez Esteban",NA,NA,NA
"111","Apis mellifera",39.749365,-0.1925,"Apidae",2020,3,12,"Luis Orlando",NA,NA,NA
"112","Apis mellifera",39.545567,-0.447158,"Apidae",2020,3,11,"Luis Orlando",NA,NA,NA
"113","Xylocopa violacea",40.665133,-3.803123,"Apidae",2020,3,12,"Eduardo Ramirez Esteban",NA,NA,NA
"114","Apis mellifera",41.904752,0.375055,"Apidae",2020,3,10,"bixaurin",NA,NA,NA
"115","Apis mellifera",40.4444,-3.621687,"Apidae",2020,3,5,"Eduardo Ramirez Esteban",NA,NA,NA
"117","Xylocopa violacea",36.752318,-3.871982,"Apidae",2020,3,12,"Rob",NA,NA,NA
"118","Apis mellifera",42.267288,3.018011,"Apidae",2020,3,14,"Jofre",NA,NA,NA
"119","Xylocopa violacea",40.7504,-3.79,"Apidae",2020,3,14,"ricardo-anapri",NA,NA,NA
"120","Apis mellifera",39.702263,2.841019,"Apidae",2020,3,16,"Antonio Morell",NA,NA,NA
"121","Xylocopa violacea",42.136651,2.987942,"Apidae",2020,3,13,"mammal",NA,NA,NA
"122","Apis mellifera",38.928144,-6.378033,"Apidae",2020,3,15,"perez_rayego",NA,NA,NA
"124","Apis mellifera",43.279692,-8.306879,"Apidae",2020,3,17,"Manu Cernadas",NA,NA,NA
"125","Apis mellifera",36.624605,-6.3753,"Apidae",2020,3,14,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"126","Bombus terrestris",40.67954,-3.772882,"Apidae",2020,3,19,"a-curuxa",NA,NA,NA
"127","Apis mellifera",42.075682,2.936821,"Apidae",2020,3,18,"mammal",NA,NA,NA
"128","Apis mellifera",40.679909,-3.774267,"Apidae",2020,3,26,"a-curuxa",NA,NA,NA
"149","Bombus lucorum",41.923737,3.157619,"Apidae",2019,1,14,"1129633969",NA,NA,NA
"150","Bombus lucorum",41.889332,3.150673,"Apidae",2019,1,19,"1129633969",NA,NA,NA
"152","Apis mellifera",40.378028,-3.722688,"Apidae",2019,1,13,"poblado_verde_en_acción",NA,NA,NA
"153","Apis mellifera",41.793533,1.633097,"Apidae",2019,1,19,"peresol",NA,NA,NA
"154","Apis mellifera",37.245181,-1.882381,"Apidae",2019,2,4,"heliosg",NA,NA,NA
"155","Anthophora hispanica",37.246297,-1.881686,"Apidae",2019,2,4,"heliosg",NA,NA,NA
"156","Apis mellifera",39.921059,3.085527,"Apidae",2019,2,15,"1665984680",NA,NA,NA
"157","Apis mellifera",39.799339,3.114767,"Apidae",2019,2,11,"1665984680",NA,NA,NA
"158","Apis mellifera",39.780704,3.134365,"Apidae",2019,2,16,"1665984680",NA,NA,NA
"159","Apis mellifera",39.794903,3.103487,"Apidae",2019,2,17,"1665984680",NA,NA,NA
"160","Xylocopa violacea",40.408,-3.607939,"Apidae",2019,2,16,"alasdecera",NA,NA,NA
"161","Xylocopa violacea",37.380562,-5.992587,"Apidae",2019,2,18,"David Remsen",NA,NA,NA
"163","Apis mellifera",39.79937,3.114023,"Apidae",2019,2,20,"1665984680",NA,NA,NA
"165","Xylocopa violacea",40.584121,-5.846692,"Apidae",2019,2,9,"enekogutierrez",NA,NA,NA
"166","Xylocopa violacea",40.37194,-3.708671,"Apidae",2019,2,27,"poblado_verde_en_acción",NA,NA,NA
"168","Apis mellifera",39.780704,3.134365,"Apidae",2019,2,18,"1665984680",NA,NA,NA
"172","Bombus terrestris",41.74257,1.606495,"Apidae",2019,2,3,"peresol",NA,NA,NA
"173","Apis mellifera",41.793903,1.633308,"Apidae",2019,2,3,"peresol",NA,NA,NA
"174","Apis mellifera",39.801117,3.120745,"Apidae",2019,2,14,"1665984680",NA,NA,NA
"175","Apis mellifera",39.79937,3.114023,"Apidae",2019,2,14,"1665984680",NA,NA,NA
"176","Xylocopa violacea",39.709137,2.674941,"Apidae",2019,2,28,"519453048",NA,NA,NA
"178","Xylocopa violacea",36.518192,-4.912263,"Apidae",2019,2,22,"markymark1",NA,NA,NA
"183","Bombus terrestris",40.427272,-3.727872,"Apidae",2019,3,5,"Elliot Greiner",NA,NA,NA
"184","Xylocopa violacea",42.118932,3.1775,"Apidae",2019,3,5,"mammal",NA,NA,NA
"185","Apis mellifera",41.635564,2.699101,"Apidae",2019,3,7,"ant-toniscla",NA,NA,NA
"186","Apis mellifera",41.635541,2.699031,"Apidae",2019,3,14,"ant-toniscla",NA,NA,NA
"188","Apis mellifera",41.635564,2.699157,"Apidae",2019,3,15,"ant-toniscla",NA,NA,NA
"189","Xylocopa violacea",38.006058,-1.154346,"Apidae",2019,3,16,"marhermun",NA,NA,NA
"194","Apis mellifera",39.52421,-0.414044,"Apidae",2019,3,20,"victorgl",NA,NA,NA
"195","Bombus pascuorum",42.251772,-8.7903,"Apidae",2019,3,19,"Carlos Pizcueta Suárez",NA,NA,NA
"199","Xylocopa violacea",40.600705,-6.544961,"Apidae",2019,3,23,"Alvaro Mínguez Velasco",NA,NA,NA
"200","Apis mellifera",37.56404,-6.151272,"Apidae",2019,3,23,"jimarcor",NA,NA,NA
"201","Apis mellifera",42.82554,-2.670727,"Apidae",2019,3,24,"garnikaisabel",NA,NA,NA
"202","Apis mellifera",38.918308,-0.225639,"Apidae",2019,3,24,"supergan",NA,NA,NA
"203","Apis mellifera",41.36164,2.156627,"Apidae",2019,3,26,"Leonardo Platania",NA,NA,NA
"207","Eucera elongatula",39.860867,3.087845,"Apidae",2019,3,23,"-1857906570",NA,NA,NA
"209","Apis mellifera",41.461953,2.218917,"Apidae",2019,3,14,"tawatha",NA,NA,NA
"214","Bombus terrestris",41.635631,2.699449,"Apidae",2019,3,14,"ant-toniscla",NA,NA,NA
"215","Xylocopa violacea",39.860867,3.087845,"Apidae",2019,3,23,"603253980",NA,NA,NA
"216","Xylocopa violacea",40.756298,-3.901475,"Apidae",2019,3,24,"Denis Makhnovsky",NA,NA,NA
"217","Bombus terrestris",38.056019,-3.99736,"Apidae",2019,3,15,"-410828948",NA,NA,NA
"219","Apis mellifera",37.154804,-2.014601,"Apidae",2019,3,21,"-410828948",NA,NA,NA
"220","Xylocopa violacea",38.059475,-2.572536,"Apidae",2019,3,12,"-410828948",NA,NA,NA
"222","Bombus terrestris",42.600733,-5.585712,"Apidae",2019,3,22,"Cesar Pollo",NA,NA,NA
"223","Amegilla salviae",42.243947,2.692617,"Apidae",2019,3,24,"Rafael",NA,NA,NA
"224","Bombus vestalis",42.254656,-8.789757,"Apidae",2019,4,1,"Carlos Pizcueta Suárez",NA,NA,NA
"225","Apis mellifera",41.634348,2.704111,"Apidae",2019,4,7,"ant-toniscla",NA,NA,NA
"227","Anthophora bimaculata",36.727061,-3.9588,"Apidae",2019,4,11,"Stefan",NA,NA,NA
"229","Apis mellifera",41.010133,-3.444692,"Apidae",2019,4,13,"Manuel J. Gomez",NA,NA,NA
"230","Apis mellifera",39.713319,-0.196315,"Apidae",2019,4,14,"verohuellas",NA,NA,NA
"232","Apis mellifera",41.634332,2.704114,"Apidae",2019,4,16,"ant-toniscla",NA,NA,NA
"233","Apis mellifera",41.636966,2.696822,"Apidae",2019,4,19,"ant-toniscla",NA,NA,NA
"234","Apis mellifera",41.634342,2.704119,"Apidae",2019,4,19,"ant-toniscla",NA,NA,NA
"235","Xylocopa violacea",41.769971,-3.689393,"Apidae",2019,4,20,"enekogutierrez",NA,NA,NA
"236","Xylocopa violacea",41.769885,-3.689333,"Apidae",2019,4,20,"enekogutierrez",NA,NA,NA
"238","Apis mellifera",41.852581,2.671898,"Apidae",2019,4,21,"Alfons Delgado-Garcia",NA,NA,NA
"239","Xylocopa cantabrita",41.896112,-6.534165,"Apidae",2019,4,20,"guliao",NA,NA,NA
"240","Apis mellifera",38.816742,0.105464,"Apidae",2019,4,17,"poblado_verde_en_acción",NA,NA,NA
"241","Apis mellifera",41.547034,2.223122,"Apidae",2019,4,27,"John Palmer",NA,NA,NA
"242","Apis mellifera",37.9774,-1.060288,"Apidae",2019,4,26,"fran86",NA,NA,NA
"243","Apis mellifera",41.767941,2.250344,"Apidae",2019,4,24,"miquelcarandellbaruzzi",NA,NA,NA
"244","Apis mellifera",41.793428,1.6332,"Apidae",2019,4,11,"peresol",NA,NA,NA
"245","Apis mellifera",38.754097,0.098303,"Apidae",2019,4,14,"Sergio Picó",NA,NA,NA
"246","Xylocopa violacea",36.634605,-4.645076,"Apidae",2019,4,3,"-211187433",NA,NA,NA
"247","Apis mellifera",36.7808,-3.851054,"Apidae",2019,4,11,"Felix Riegel",NA,NA,NA
"248","Eucera elongatula",36.733631,-3.969867,"Apidae",2019,4,12,"Stefan",NA,NA,NA
"249","Anthophora bimaculata",36.733631,-3.972419,"Apidae",2019,4,14,"Stefan",NA,NA,NA
"250","Bombus terrestris",41.414785,2.153645,"Apidae",2019,4,4,"Guillermo Debandi",NA,NA,NA
"251","Apis mellifera",41.361932,2.157893,"Apidae",2019,4,6,"sbrnmnndz",NA,NA,NA
"252","Bombus terrestris",36.580933,-4.897029,"Apidae",2019,4,6,"Felix Riegel",NA,NA,NA
"257","Apis mellifera",42.335903,3.130664,"Apidae",2019,4,28,"Jofre",NA,NA,NA
"258","Xylocopa valga",40.700287,-3.712438,"Apidae",2019,4,29,"Eduardo Ramirez Esteban",NA,NA,NA
"264","Xylocopa violacea",41.978344,-5.671215,"Apidae",2019,4,14,"Cesar Pollo",NA,NA,NA
"265","Apis mellifera",40.494345,-3.637438,"Apidae",2019,4,16,"Ángel Fernández Cancio",NA,NA,NA
"266","Apis mellifera",40.320849,-3.706256,"Apidae",2019,5,2,"erreala1",NA,NA,NA
"304","Apis mellifera",36.926355,-3.590707,"Apidae",2019,5,5,"iberian_ibex",NA,NA,NA
"305","Apis mellifera",41.91336,-6.543823,"Apidae",2019,5,2,"guliao",NA,NA,NA
"306","Apis mellifera",43.170241,-3.247148,"Apidae",2019,5,1,"enekogutierrez",NA,NA,NA
"307","Apis mellifera",42.845951,-2.643157,"Apidae",2019,5,5,"garnikaisabel",NA,NA,NA
"308","Apis mellifera",38.188434,-3.842174,"Apidae",2019,5,7,"Leslie Flint",NA,NA,NA
"309","Apis mellifera",42.28404,3.156509,"Apidae",2019,5,4,"mammal",NA,NA,NA
"311","Apis mellifera",42.845312,-2.652017,"Apidae",2019,5,12,"garnikaisabel",NA,NA,NA
"312","Apis mellifera",40.426754,-3.72216,"Apidae",2019,5,15,"Manuel J. Gomez",NA,NA,NA
"355","Xylocopa violacea",38.826442,1.398217,"Apidae",2019,5,22,"sp138",NA,NA,NA
"356","Apis mellifera",43.422439,-3.996187,"Apidae",2019,5,27,"johnwitton",NA,NA,NA
"357","Apis mellifera",43.361081,-5.850446,"Apidae",2019,5,13,"bele_gs",NA,NA,NA
"358","Apis mellifera",41.793433,1.63297,"Apidae",2019,5,11,"peresol",NA,NA,NA
"372","Xylocopa violacea",36.053471,-5.63944,"Apidae",2019,5,3,"1047078468",NA,NA,NA
"373","Xylocopa violacea",41.396311,1.100331,"Apidae",2019,5,18,"lekspelunca",NA,NA,NA
"374","Xylocopa violacea",38.972492,-2.891325,"Apidae",2019,5,3,"poblado_verde_en_acción",NA,NA,NA
"376","Xylocopa violacea",39.791523,2.703838,"Apidae",2019,5,22,"-705893685",NA,NA,NA
"378","Xylocopa violacea",40.005426,3.867864,"Apidae",2019,5,11,"marcdomenech",NA,NA,NA
"383","Apis mellifera",41.405336,2.167551,"Apidae",2019,6,2,"gsoldevila",NA,NA,NA
"384","Apis mellifera",36.484283,-4.976915,"Apidae",2019,6,3,"midnightgoblin",NA,NA,NA
"385","Xylocopa violacea",38.963055,1.355833,"Apidae",2019,6,8,"Paul nicholls",NA,NA,NA
"389","Apis mellifera",41.688575,2.817495,"Apidae",2019,6,16,"svetlhom",NA,NA,NA
"390","Apis mellifera",42.659308,-7.189211,"Apidae",2019,6,16,"Anxos Romeo Barreiro",NA,NA,NA
"393","Xylocopa violacea",40.318588,-3.507663,"Apidae",2019,6,22,"David Horcajada",NA,NA,NA
"397","Apis mellifera",36.719231,-4.416171,"Apidae",2019,6,17,"Chad Welch",NA,NA,NA
"398","Xylocopa violacea",41.990155,2.955587,"Apidae",2019,6,30,"davidloeb",NA,NA,NA
"399","Apis mellifera",42.628261,-7.122142,"Apidae",2019,6,16,"Rocío Ocharan",NA,NA,NA
"400","Bombus terrestris",41.741004,2.690247,"Apidae",2019,6,4,"pacoaguayo",NA,NA,NA
"401","Bombus terrestris",43.343749,-5.941417,"Apidae",2019,6,7,"ollosouca",NA,NA,NA
"402","Amegilla quadrifasciata",42.127885,2.645476,"Apidae",2019,6,23,"marcdomenech",NA,NA,NA
"403","Apis mellifera",41.403862,2.185117,"Apidae",2019,6,12,"Jofre",NA,NA,NA
"405","Xylocopa violacea",43.236583,-8.390996,"Apidae",2019,6,21,"davidchas",NA,NA,NA
"406","Apis mellifera",38.716172,-0.471736,"Apidae",2019,7,3,"Sergio Picó",NA,NA,NA
"433","Apis mellifera",41.407673,2.117838,"Apidae",2019,7,12,"victorbach",NA,NA,NA
"434","Xylocopa violacea",42.664325,-2.033414,"Apidae",2019,7,14,"GluGluGlu",NA,NA,NA
"435","Apis mellifera",41.860699,2.663574,"Apidae",2019,7,21,"Alfons Delgado-Garcia",NA,NA,NA
"436","Xylocopa violacea",39.735468,2.803071,"Apidae",2019,7,23,"vrenii",NA,NA,NA
"437","Apis mellifera",41.864188,-6.419993,"Apidae",2019,7,23,"Arno Beidts",NA,NA,NA
"438","Apis mellifera",41.635556,2.699061,"Apidae",2019,7,13,"ant-toniscla",NA,NA,NA
"439","Bombus pascuorum",41.407673,2.117796,"Apidae",2019,7,12,"victorbach",NA,NA,NA
"440","Bombus lucorum",42.613554,-1.131492,"Apidae",2019,7,17,"Stephen Moores",NA,NA,NA
"441","Xylocopa violacea",41.676815,2.805894,"Apidae",2019,7,30,"-114215554",NA,NA,NA
"442","Bombus hypnorum",42.975326,-4.995256,"Apidae",2019,7,28,"juanelipe",NA,NA,NA
"443","Amegilla quadrifasciata",40.850902,-3.949971,"Apidae",2019,7,21,"Arno Beidts",NA,NA,NA
"444","Apis mellifera",42.39725,2.152161,"Apidae",2019,7,23,"Jofre",NA,NA,NA
"445","Xylocopa violacea",40.795055,-3.492292,"Apidae",2019,7,28,"jlsoriat",NA,NA,NA
"446","Bombus terrestris",43.356664,-5.846664,"Apidae",2019,7,16,"rowanstalnaker",NA,NA,NA
"447","Xylocopa violacea",39.776701,2.708723,"Apidae",2019,8,4,"Frank Sengpiel",NA,NA,NA
"448","Apis mellifera",36.497628,-4.942325,"Apidae",2019,8,4,"Paige Chesshire",NA,NA,NA
"449","Bombus pascuorum",43.709625,-7.983008,"Apidae",2019,8,7,"poblado_verde_en_acción",NA,NA,NA
"450","Apis mellifera",41.059608,-3.545697,"Apidae",2019,8,11,"pacoaguayo",NA,NA,NA
"451","Bombus lapidarius",42.371708,2.233857,"Apidae",2019,8,11,"Alfons Delgado-Garcia",NA,NA,NA
"452","Apis mellifera",42.478026,0.298349,"Apidae",2019,8,4,"jimarcor",NA,NA,NA
"453","Amegilla quadrifasciata",42.188238,3.054759,"Apidae",2019,8,13,"mammal",NA,NA,NA
"454","Xylocopa violacea",42.019072,3.14908,"Apidae",2019,8,13,"mammal",NA,NA,NA
"455","Bombus pascuorum",43.440747,-6.01771,"Apidae",2019,8,6,"esthergr",NA,NA,NA
"456","Apis mellifera",42.189123,-8.716523,"Apidae",2019,8,25,"xander20",NA,NA,NA
"457","Apis mellifera",42.855821,-6.873064,"Apidae",2019,8,4,"Manu Cernadas",NA,NA,NA
"459","Xylocopa violacea",42.589561,-2.79174,"Apidae",2019,8,31,"garnikaisabel",NA,NA,NA
"462","Bombus terrestris",41.636452,2.698607,"Apidae",2019,8,7,"ant-toniscla",NA,NA,NA
"463","Xylocopa violacea",42.435467,1.917885,"Apidae",2019,8,19,"-1692779921",NA,NA,NA
"464","Amegilla quadrifasciata",36.733891,-4.92,"Apidae",2019,8,20,"Fernando",NA,NA,NA
"465","Apis mellifera",40.38113,-1.645378,"Apidae",2019,9,8,"Luis Orlando",NA,NA,NA
"466","Apis mellifera",40.381582,-1.645603,"Apidae",2019,9,8,"Luis Orlando",NA,NA,NA
"467","Apis mellifera",40.768589,-3.78214,"Apidae",2019,9,8,"Eduardo Ramirez Esteban",NA,NA,NA
"468","Apis mellifera",41.751392,2.587089,"Apidae",2019,9,12,"pacoaguayo",NA,NA,NA
"469","Amegilla garrula",42.267267,2.953768,"Apidae",2019,9,16,"puigneulos",NA,NA,NA
"470","Xylocopa violacea",36.26471,-5.947939,"Apidae",2019,9,18,"ianjw",NA,NA,NA
"472","Apis mellifera",36.983819,-3.100626,"Apidae",2019,9,26,"Jon Bowen",NA,NA,NA
"473","Xylocopa violacea",37.016869,-3.090316,"Apidae",2019,9,28,"Jon Bowen",NA,NA,NA
"474","Amegilla quadrifasciata",36.997668,-3.085614,"Apidae",2019,9,30,"Jon Bowen",NA,NA,NA
"475","Apis mellifera",39.466732,-0.442708,"Apidae",2019,9,30,"Luis Orlando",NA,NA,NA
"476","Apis mellifera",39.467876,-0.4443,"Apidae",2019,9,30,"Luis Orlando",NA,NA,NA
"477","Amegilla quadrifasciata",39.408811,3.141342,"Apidae",2019,9,8,"drtimk",NA,NA,NA
"478","Apis mellifera",39.458402,-0.352006,"Apidae",2019,10,15,"Luis Orlando",NA,NA,NA
"479","Apis mellifera",39.457627,-0.378622,"Apidae",2019,10,17,"Luis Orlando",NA,NA,NA
"480","Bombus terrestris",42.762757,-1.612855,"Apidae",2019,10,19,"jidean",NA,NA,NA
"481","Apis mellifera",42.10842,-8.77376,"Apidae",2019,10,26,"Alex",NA,NA,NA
"482","Apis mellifera",42.125859,2.867152,"Apidae",2019,10,28,"mammal",NA,NA,NA
"483","Apis mellifera",41.635083,2.017917,"Apidae",2019,10,12,"Jofre",NA,NA,NA
"484","Amegilla quadrifasciata",40.910852,0.831694,"Apidae",2019,10,12,"sfitzgerald86",NA,NA,NA
"485","Xylocopa violacea",39.483243,-0.408277,"Apidae",2019,11,1,"Luis Orlando",NA,NA,NA
"486","Apis mellifera",40.318078,-4.527245,"Apidae",2019,11,1,"poblado_verde_en_acción",NA,NA,NA
"487","Apis mellifera",36.722295,-4.334959,"Apidae",2019,11,28,"villakaren",NA,NA,NA
"488","Apis mellifera",39.458923,-0.44178,"Apidae",2019,11,29,"Luis Orlando",NA,NA,NA
"500","Apis mellifera",41.456104,2.143235,"Apidae",2019,12,10,"jcw",NA,NA,NA
"501","Bombus terrestris",41.456104,2.143235,"Apidae",2019,12,10,"jcw",NA,NA,NA
"502","Apis mellifera",42.00778,2.943525,"Apidae",2019,12,15,"mammal",NA,NA,NA
"535","Apis mellifera",38.828999,0.154186,"Apidae",2019,12,15,"Katja Schulz",NA,NA,NA
"553","Xylocopa violacea",38.866343,0.005761,"Apidae",2018,1,4,"Katja Schulz",NA,NA,NA
"575","Apis mellifera",43.041777,-9.161154,"Apidae",2018,1,28,"Álex Verdía",NA,NA,NA
"587","Apis mellifera",38.909163,-0.229156,"Apidae",2018,2,8,"supergan",NA,NA,NA
"588","Bombus terrestris",37.350185,-6.034832,"Apidae",2018,2,13,"Juan Antonio Sánchez",NA,NA,NA
"593","Apis mellifera",36.723057,-4.411389,"Apidae",2018,3,18,"Bastiaan Notebaert",NA,NA,NA
"595","Apis mellifera",40.449754,-3.663377,"Apidae",2018,3,25,"Agustin de la Fuente",NA,NA,NA
"598","Bombus pascuorum",43.272162,-2.931227,"Apidae",2018,3,21,"zarapito",NA,NA,NA
"602","Bombus terrestris",37.615163,-6.826522,"Apidae",2018,3,31,"José Ríos",NA,NA,NA
"603","Apis mellifera",41.262966,1.600115,"Apidae",2018,3,19,"Ivan Khh",NA,NA,NA
"605","Apis mellifera",37.383392,-5.990556,"Apidae",2018,4,16,"Anita Shaul",NA,NA,NA
"606","Xylocopa violacea",41.420282,1.938714,"Apidae",2018,4,21,"oriolusoriolus",NA,NA,NA
"607","Apis mellifera",36.781053,-2.604673,"Apidae",2018,4,27,"adriacuarista",NA,NA,NA
"608","Apis mellifera",36.780084,-2.602912,"Apidae",2018,4,30,"adriacuarista",NA,NA,NA
"609","Apis mellifera",42.680612,-4.82395,"Apidae",2018,4,23,"Cesar Pollo",NA,NA,NA
"612","Apis mellifera",40.726275,-3.612987,"Apidae",2018,4,14,"Jorge A. Murillo",NA,NA,NA
"613","Apis mellifera",40.507355,0.325816,"Apidae",2018,5,1,"luciadefv",NA,NA,NA
"614","Apis mellifera",37.129939,-3.532092,"Apidae",2018,5,4,"Anita Shaul",NA,NA,NA
"644","Apis mellifera",36.839444,-2.458611,"Apidae",2018,5,9,"n15ayn18a",NA,NA,NA
"646","Apis mellifera",39.829327,-6.224751,"Apidae",2018,5,8,"-658151596",NA,NA,NA
"647","Bombus terrestris",42.182178,2.978295,"Apidae",2018,5,31,"mammal",NA,NA,NA
"648","Bombus terrestris",43.51318,-8.211846,"Apidae",2018,5,22,"José Carlos García Fidalgo",NA,NA,NA
"651","Apis mellifera",40.059382,-0.138968,"Apidae",2018,5,15,"Luis Orlando",NA,NA,NA
"652","Apis mellifera",38.909163,-0.229156,"Apidae",2018,6,9,"supergan",NA,NA,NA
