"","x"
"1","Acmaeodera"
"2","Acrobasis"
"3","Agrotis"
"4","Ammophila"
"5","Anarrhinum"
"6","Ancistrocerus"
"7","Andrena_nigroaenea"
"8","Anthaxia"
"9","Anthrenus"
"10","Apis_mellifera"
"11","Aricia"
"12","Attagenus"
"13","Autographa"
"14","Bembix"
"15","Bibio"
"16","Bombilius"
"17","Bombylius"
"18","Callophorys"
"19","Camponotus"
"20","Cardiophorus"
"21","Cataglyphis"
"22","Cephus"
"23","Cerceris"
"24","Cerocala"
"25","Cetonia"
"26","Chasmatopterus"
"27","Chryptocephalus"
"28","Chrysis"
"29","Chrysolina"
"30","Chrysoperla"
"31","Chrysotoxum"
"32","Coccinella"
"33","Colias"
"34","Conophorus"
"35","Coptocephala"
"36","Crematogaster"
"37","Crysura"
"38","Dasyscolia"
"39","Deilus"
"40","Diodontus"
"41","Discestra"
"42","Dischistus"
"43","Eilema"
"44","Elis"
"45","Episyrphus"
"46","Eristalis"
"47","Eristalodes"
"48","Eumenes"
"49","Euphorinae"
"50","Evergestis"
"51","Exoprosopa"
"52","Formosia"
"53","Gegenes"
"54","Gonepteryx"
"55","Gorytes"
"56","Graphosoma"
"57","Gymnosoma"
"58","Hedychridium"
"59","Heliotaurus"
"60","Heliothis"
"61","Hoplodrina"
"62","Hymenoplia"
"63","Hyponephele"
"64","Laeosopis"
"65","Lampides"
"66","Lasiopogon"
"67","Lasius"
"68","Lathyrophtalmus"
"69","Lindenius"
"70","Lobonyx"
"71","Lomatia"
"72","Lycaena"
"73","Macroglossum"
"74","Malachius"
"75","Malthodes"
"76","Mecyna"
"77","Megachilini"
"78","Megascolia"
"79","Melanostoma"
"80","Mellinus"
"81","Meria"
"82","Metachrostis"
"83","Metasyrphus"
"84","Mordella"
"85","Mordellistena"
"86","Mylabris"
"87","Mylabrix"
"88","Myopa"
"89","Mythimna"
"90","Netocia"
"91","Nustera"
"92","Odynerus"
"93","Oedemera"
"94","Osmiini"
"95","Oxybelus"
"96","Oxythyrea"
"97","Palpita"
"98","Paragus"
"99","Paranthidiellum"
"100","Pechipogo"
"101","Pempeliella"
"102","Petrorossia"
"103","Philanthus"
"104","Phthiria"
"105","Physocephala"
"106","Pieris"
"107","Platynochaetus"
"108","Plebejus"
"109","Podalonia"
"110","Polistes"
"111","Polyommatus"
"112","Pontia"
"113","Pryonix"
"114","Psorosa"
"115","Psylotrix"
"116","Pyronia"
"117","Reanthidium"
"118","Rhagonycha"
"119","Rhodometra"
"120","Scabiosa"
"121","Scolia"
"122","Selidopogon"
"123","Sphaerophoeria"
"124","Sphaerophoria"
"125","Spheciade"
"126","Sphex"
"127","Spodoptera"
"128","Stenopterus"
"129","Syntarucus"
"130","Syritta"
"131","Tapinoma"
"132","Tiphia"
"133","Trichodes"
"134","Tricocerus"
"135","Tropinota"
"136","Tychius"
"137","Udaea"
"138","Vanessa"
"139","Vestitohalictus"
"140","Volucella"
