"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Anthidium ",NA,"manicatum",NA,"Spain","Granada","Granada",37.181741,-3.610319,"<100m",2019,"06","12",NA,NA,"Luis Miguel de Pablos","Luis Miguel de Pablos",4,4,NA,NA,NA,"Lavándula angustifolia","10-17 WTKineto","Luis Miguel de Pablos ",NA,"Analyzed by PCR for Kinetoplastid parasite infection (non detected).","34_dePablos_1"
"Antophora ",NA,"toracica",NA,"Spain","Granada","Venta del Peral",37.553837,-2.603193,"<100m",2020,"01","06",NA,NA,"Luis Miguel de Pablos","Luis Miguel de Pablos",NA,NA,NA,2,NA,NA,"23WTKineto","Luis Miguel de Pablos ",NA,"Analyzed by PCR for Kinetoplastid parasite infection (non detected).","34_dePablos_2"
"Osmia ",NA,"cornuta",NA,"Spain","Granada","Venta del Peral",37.508667,-2.609639,"<1Km",2020,"01","07",NA,NA,"Luis Miguel de Pablos","Luis Miguel de Pablos",NA,NA,NA,4,NA,"Prunus dulcis","24-26WTKineto","Luis Miguel de Pablos ",NA,"Analyzed by PCR for Kinetoplastid parasite infection (non detected).","34_dePablos_3"
"Andrena ",NA,"hispanica",NA,"Spain","Granada","Venta del Peral",37.553837,-2.603197,"<100m",2020,"03","08",NA,NA,"Luis Miguel de Pablos","Luis Miguel de Pablos",NA,NA,NA,1,NA,NA,"27WTKineto","Luis Miguel de Pablos ",NA,"Analyzed by PCR for Kinetoplastid parasite infection (non detected).","34_dePablos_4"
"Osmia ",NA,"cornuta",NA,"Spain","Granada","Venta del Peral",37.553837,-2.603197,"<1Km",2020,"01","07",NA,NA,"Luis Miguel de Pablos","Luis Miguel de Pablos",NA,NA,NA,4,NA,"Prunus dulcis","28-30WTKineto","Luis Miguel de Pablos ",NA,"Analyzed by PCR for Kinetoplastid parasite infection (non detected).","34_dePablos_5"
