Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
NA;NA;NA;Piquera de San Esteban;NA;Soria;NA;30-07-1990;NA;NA;J. García;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Carretera cortada;NA;Cáceres;NA;25-07-1989;NA;NA;J. García;Torres/Ornosa;NA;NA;NA;NA;NA
Stelis;NA;signata;Villanueva de la Quinta;NA;Cáceres;NA;21-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
NA;NA;NA;Poço do Inferno;NA;Portugal;NA;26-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Anthidiellum;NA;strigatum;Riomalo de Abajo;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;1;NA;NA;NA
NA;NA;NA;Unhais da Serra;NA;Portugal;NA;25-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Tortosendo;NA;Portugal;NA;9-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Gonçalo;NA;Portugal;NA;10-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Unhais da Serra;NA;Portugal;NA;25-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Pto. El Portillo;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Riomalo de Abajo;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Unhais da Serra;NA;Portugal;NA;25-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Hernán Pérez;NA;Cáceres;NA;20-061987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Las Batuecas;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Las Mestas;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Anthidiellum;NA;strigatum;Robledo;NA;Cáceres;NA;21-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
Icterantidium;NA;grohmanni;Riomalo de Abajo;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;1;NA;NA;NA
NA;NA;NA;Riomalo de Abajo;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Sotoserrano;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Pseudoanthidium;NA;liturathum;Villanueva de la Quinta;NA;Cáceres;NA;21-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
Anthidium;NA;variegatum;Gouveia;NA;Portugal;NA;8-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
Anthidium;NA;punctatum;Torrecilla de los A.;NA;Cáceres;NA;21-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;1;NA;NA;NA
Anthidium;NA;punctatum;Torre de D. Miguel;NA;Cáceres;NA;22-06-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
Anthidium;NA;blongatum;Monsagro;NA;Salamanca;NA;14-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;1;NA;NA;NA
NA;NA;NA;Tortosendo;NA;Portugal;NA;9-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Cerecera de la Quinta;NA;Salamanca;NA;12-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Tortosendo;NA;Portugal;NA;9-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Anthidium;NA;oblongatum;La Alberca;NA;Salamanca;NA;12-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
Anthidium;NA;florentinum;Tortosendo;NA;Portugal;NA;9-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;1;NA;NA;NA
NA;NA;NA;Tortosendo;NA;Portugal;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Riomalo de Abajo;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Sotoserrano;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Tortosendo;NA;Portugal;NA;9-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Gonçalo;NA;Portugal;NA;10-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Las Mestas;NA;Cáceres;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Anthidium;NA;florentinum;Sotoserrano;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;1;NA;NA
NA;NA;NA;Gonçalo;NA;Portugal;NA;10-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
NA;NA;NA;Sotoserrano;NA;Salamanca;NA;13-08-1987;NA;NA;F.Torres;Torres/Ornosa;NA;NA;NA;NA;NA
Archianthidium;NA;atlanticum;Villanueva de la Quinta;NA;Cáceres;NA;21-06-1987;NA;NA;F.Torres;NA;NA;1;NA;NA;NA
NA;NA;NA;Castilruiz;NA;NA;NA;27-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;San Esteban G.;NA;NA;NA;9-08-1988;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Metam de A.;NA;NA;NA;26-07-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Gormaz;NA;NA;NA;22-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Muriel. V;NA;NA;NA;20-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Ald. De Calat;NA;NA;NA;2-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Fuentelárb;NA;NA;NA;1-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Navapalos;NA;NA;NA;23-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Zamaón;NA;NA;NA;17-07-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Navapalos;NA;NA;NA;23-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Gormaz;NA;NA;NA;22-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Ventosa de la Sierra;NA;Soria;NA;21-08-1989;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Deza;NA;Soria;NA;31-07-1990;NA;NA;J. García;NA;NA;NA;NA;NA;NA
NA;NA;NA;Medina Azahara;NA;Córdoba;NA;96-02-2009;NA;NA;Poned y Salon;NA;NA;NA;NA;NA;NA
NA;NA;NA;Rubí (Can Tinaires);NA;Barcelona;NA;4-08-1980;NA;NA;M.GAJV;NA;NA;NA;NA;NA;NA
Stelis;NA;simillima;Piquera de San Esteban;NA;NA;NA;30-08-90;NA;NA;J. García;NA;NA;NA;NA;NA;NA
Stelis;NA;phoenoptera;NA;NA;Soria;NA;NA;NA;NA;J. García;NA;NA;1;NA;NA;NA
