"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","Notes.and.queries.(2)"
"Andrena","agilissima",NA,"Spain","Asturias","Tiñana",43.3637,-5.763696,"0,1 km",2015,5,3,NA,"O.Aguado",1,0,0,0,NA,"Raphanus raphanistrum","15-093","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","agilissima",NA,"Spain","Asturias","Las Vías",43.500869,-6.086791,"0,1 km",2015,6,7,NA,"O.Aguado",0,1,0,0,NA,"Brassica rapa","K-162","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","agilissima",NA,"Spain","Asturias","Forcinas",43.483535,-6.101761,"0,1 km",2015,6,2,NA,"O.Aguado",1,0,0,0,NA,"Brassica sp.","K-218","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","agilissima",NA,"Spain","Asturias","Repolles",43.442003,-6.131293,"0,1 km",2015,6,2,NA,"O.Aguado",1,0,0,0,NA,"Brassica sp.","K-231","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","agilissima",NA,"Spain","Asturias","Las Vías",43.500869,-6.086791,"0,1 km",2015,6,4,NA,"O.Aguado",1,0,0,0,NA,"Brassica sp.","K-26","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","alfkenella",NA,"Spain","Asturias","Villaviciosa",43.477415,-5.441535,"0,1 km",2017,7,6,"A.Nuñez","A.Núñez",0,1,0,0,NA,NA,"EC17-251","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","alfkenella",NA,"Spain","Asturias","La Lloraza",43.528812,-5.44904,"0,1 km",2017,7,7,"A.Nuñez","A.Núñez",1,0,0,0,NA,NA,"EC17-294","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","alfkenella",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2016,6,7,NA,NA,1,0,0,0,NA,NA,"16-1035","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","alfkenella",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2016,6,7,NA,NA,1,0,0,0,NA,NA,"16-1036","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","alfkenella",NA,"Spain","Asturias","Noreña",43.402281,-5.716353,"0,1 km",2016,6,27,NA,NA,0,1,0,0,NA,NA,"POST-1107","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
