"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","Notes.and.queries.(2)"
"Andrena","alfkenella",NA,"Spain","Asturias","Sorribes",43.479962,-5.445828,"0,1 km",2016,7,14,NA,NA,0,1,0,0,NA,NA,"POST-523","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","alfkenella",NA,"Spain","Asturias","Bustariega",43.455078,-5.465953,"0,1 km",2016,6,27,NA,NA,1,0,0,0,NA,NA,"POST-566","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","alfkenella",NA,"Spain","Asturias","Bustariega",43.455078,-5.465953,"0,1 km",2016,4,18,NA,NA,0,1,0,0,NA,"Bellis perennis","PRE-211","M. Miñarro & A. Núñez",NA,NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","barbilabris",NA,"Spain","Asturias","Priesca",43.485051,-5.360553,"0,1 km",2016,5,23,"A.Nuñez",NA,0,1,0,0,NA,NA,"EC-37","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","barbilabris",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2016,4,18,NA,NA,0,1,0,0,NA,NA,"PRE-745","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","bicolor",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,3,31,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Crepis sp.","14-10","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Proaza",NA,NA,"3 km",2014,4,13,"M.Miñarro","A.Núñez",1,0,0,0,NA,NA,"14-129","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,16,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Malus domestica","14-149","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,22,"M.Miñarro","A.Núñez",0,0,0,1,NA,"Malus domestica","14-159","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Poreño",43.437171,-5.448616,"0,1 km",2014,5,27,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Malus domestica","14-373","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,3,13,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Prunus sp.","14-53","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2015,5,5,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-269","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Sorribes",43.479962,-5.445828,"0,1 km",2015,5,11,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-373","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Sorribes",43.479962,-5.445828,"0,1 km",2015,5,11,NA,"A.Núñez",0,0,0,1,NA,"Geranium dissectum","15-375","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Tiñana",43.3637,-5.763696,"0,1 km",2016,6,1,NA,"A.Núñez",0,1,0,0,NA,NA,"16-1624","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","La Rasa",43.514807,-5.347964,"0,1 km",2016,5,9,NA,"A.Núñez",1,0,0,0,NA,"Vaccinium ashei","16-1703","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Tiñana",43.3637,-5.763696,"0,1 km",2016,6,1,NA,"A.Núñez",0,0,0,1,NA,"Geranium robertianum","16-643","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,4,30,NA,"A.Núñez",0,0,0,1,NA,NA,"C-530","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,NA,"G-62","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Linares",43.448997,-5.138467,"0,1 km",2016,6,20,NA,"A.Núñez",0,1,0,0,NA,"Geranium robertianum","K16-301","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Linares",43.448997,-5.138467,"0,1 km",2016,6,20,NA,"A.Núñez",0,1,0,0,NA,"Geranium robertianum","K16-317","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Repolles",43.442003,-6.131293,"0,1 km",2016,6,11,NA,"A.Núñez",1,0,0,0,NA,"Geranium dissectum","K16-350","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Las Vías",43.500869,-6.086791,"0,1 km",2015,6,4,NA,"A.Núñez",0,1,0,0,NA,"Geranium robertianum","K-32","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Grases",43.4524,-5.500788,"0,1 km",2015,6,3,NA,"A.Núñez",1,0,0,0,NA,"Oenanthe crocata","K-377","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bicolor",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2016,4,11,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-156","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","bimaculata",NA,"Spain","Asturias","Forcinas",43.483535,-6.101761,"0,1 km",2016,6,11,NA,NA,1,0,0,0,NA,"Brassica sp.","K16-82","M. Miñarro & A. Núñez",NA,NA,"Identified by A.Núñez, O. Aguado and/or J. Ortiz"
"Andrena","carantonica",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,21,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Malus domestica","14-157","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-045","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-073","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Tiñana",43.3637,-5.763696,"0,1 km",2015,5,3,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-089","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,5,4,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-119","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","El Rebollar",43.404533,-5.524047,"0,1 km",2015,5,6,NA,"A.Núñez",0,1,0,0,NA,"Malus domestica","15-199","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2015,5,8,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-209","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-223","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Fozana",43.371551,-5.752601,"0,1 km",2015,5,3,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-247","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2015,5,6,NA,"A.Núñez",0,1,0,0,NA,"Malus domestica","15-254","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2015,5,11,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-505","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2015,5,13,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-525","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2016,5,23,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","16-1719","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","El Rebollar",43.404533,-5.524047,"0,1 km",2016,5,26,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","16-599","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Caldones",43.492067,-5.631048,"0,1 km",2016,6,1,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","16-623","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","La Lloraza",43.528812,-5.44904,"0,1 km",2016,5,23,"A.Nuñez","A.Núñez",0,1,0,0,NA,NA,"EC-169","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","G-7","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2016,4,11,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-1169","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","carantonica",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2016,4,18,NA,"A.Núñez",1,0,0,0,NA,"Ranunculus bulbosus","PRE-223","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","cyanomicans",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2015,5,11,NA,"O.Aguado",1,0,0,0,NA,"Malus domestica","15-504","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","cyanomicans",NA,"Spain","Asturias","Noreña",43.402281,-5.716353,"0,1 km",2016,6,1,NA,"O.Aguado",1,0,0,0,NA,"Malus domestica","16-526","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","cyanomicans",NA,"Spain","Asturias","La Quemada",43.497989,-5.65385,"0,1 km",2016,4,25,NA,"O.Aguado",1,0,0,0,NA,NA,"PRE-1000","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","cyanomicans",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2016,4,11,NA,"O.Aguado",1,0,0,0,NA,"Taraxacum officinale","PRE-139","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","cyanomicans",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2016,4,25,NA,"O.Aguado",1,0,0,0,NA,"Taraxacum officinale","PRE-586","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,16,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Malus domestica","14-147","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,21,"M.Miñarro","A.Núñez",0,0,0,1,NA,"Malus domestica","14-155","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Bustariega",43.455078,-5.465953,"0,1 km",2014,5,27,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Malus domestica","14-385","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,3,28,"M.Miñarro","A.Núñez",0,1,0,0,NA,"Brassica oleracea","14-67","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2013,6,19,"M.Miñarro","A.Núñez",1,0,0,0,NA,"Actinidia deliciosa","14-81","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","15-102","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2015,5,7,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-105","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2015,5,8,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-210","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2015,5,5,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-270","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2015,5,7,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-298","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2015,5,7,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-300","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Noreña",43.402281,-5.716353,"0,1 km",2015,5,11,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-310","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2015,5,11,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-503","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2015,5,13,NA,"A.Núñez",1,0,0,0,NA,"Malus domestica","15-569","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Caldones",43.492067,-5.631048,"0,1 km",2016,5,30,NA,"A.Núñez",1,0,0,0,NA,"Oenanthe crocata","16-620","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,NA,"C-497","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,5,6,NA,"A.Núñez",1,0,0,0,NA,NA,"C-498","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Venta de la salve",43.379986,-5.6491,"0,1 km",2015,4,30,NA,"A.Núñez",1,0,0,0,NA,NA,"C-534","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","G-26","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","G-29","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","G-3","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,NA,"G-58","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Mata",43.375878,-6.068432,"0,1 km",2016,4,13,NA,"A.Núñez",1,0,0,0,NA,NA,"G-59","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Peñaullán",43.495229,-6.108252,"0,1 km",2016,6,11,NA,"A.Núñez",0,1,0,0,NA,"Brassica sp.","K16-287","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Cornellana",43.405241,-6.151523,"0,1 km",2016,6,11,NA,"A.Núñez",0,1,0,0,NA,"Bellis perennis","K16-96","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2016,4,12,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-1092","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2016,4,25,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-1120","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Fozana",43.371551,-5.752601,"0,1 km",2016,4,11,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-113","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2016,4,11,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-1167","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","San Juan del Obispo",43.367398,-5.737518,"0,1 km",2016,4,18,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-1171","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2016,4,12,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-14","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Quintana",43.454017,-5.628486,"0,1 km",2016,4,18,NA,"A.Núñez",0,1,0,0,NA,"Bellis perennis","PRE-190","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Camoca",43.451808,-5.482956,"0,1 km",2016,4,18,NA,"A.Núñez",1,0,0,0,NA,"Ranunculus bulbosus","PRE-224","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Verdera",43.403172,-5.500578,"0,1 km",2016,4,18,NA,"A.Núñez",0,1,0,0,NA,"Taraxacum officinale","PRE-281","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Santurio",43.506336,-5.626319,"0,1 km",2016,4,18,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-335","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Cayao",43.454412,-5.410579,"0,1 km",2016,4,18,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-369","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Cayao",43.454412,-5.410579,"0,1 km",2016,4,18,NA,"A.Núñez",1,0,0,0,NA,"Bellis perennis","PRE-372","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2016,4,25,NA,"A.Núñez",1,0,0,0,NA,"Bellis perennis","PRE-509","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Noreña",43.402281,-5.716353,"0,1 km",2016,4,12,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-55","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2016,4,12,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-62","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2016,4,12,NA,"A.Núñez",1,0,0,0,NA,"Taraxacum officinale","PRE-71","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Pañeda Nueva",43.425936,-5.71511,"0,1 km",2016,4,12,NA,"A.Núñez",0,1,0,0,NA,"Taraxacum officinale","PRE-72","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","La Camocha",43.490044,-5.668344,"0,1 km",2016,4,11,NA,"A.Núñez",1,0,0,0,NA,"Cardamine pratensis","PRE-76","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Cayao",43.454412,-5.410579,"0,1 km",2016,4,18,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-794","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Poreño",43.437171,-5.448616,"0,1 km",2016,4,12,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-818","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Quintana",43.454017,-5.628486,"0,1 km",2016,4,11,NA,"A.Núñez",0,1,0,0,NA,"Bellis perennis","PRE-83","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata",NA,"Spain","Asturias","Lavandera",43.468483,-5.648872,"0,1 km",2016,4,11,NA,"A.Núñez",0,1,0,0,NA,NA,"PRE-902","M. Miñarro & A. Núñez","Caught by netting in apple orchard groundcover",NA,NA
"Andrena","dorsata","spp.dorsata","Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,3,31,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Crepis sp.","14-11","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata","spp.dorsata","Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,3,27,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Brassica oleracea","14-109","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata","spp.propinqua","Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,16,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Malus domestica","14-146","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata","spp.dorsata","Spain","Asturias","Villaviciosa",43.474481,-5.443605,"0,1 km",2014,4,16,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Malus domestica","14-148","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata","spp.propinqua","Spain","Asturias","Villaviciosa - El Ricu",43.477415,-5.441535,"0,1 km",2014,4,23,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Malus domestica","14-168","M. Miñarro & A. Núñez",NA,NA,NA
"Andrena","dorsata","spp.propinqua","Spain","Asturias","Villaviciosa - El Ricu",43.477415,-5.441535,"0,1 km",2014,4,23,"M.Miñarro","O.Aguado",1,0,0,0,NA,"Malus domestica","14-169","M. Miñarro & A. Núñez",NA,NA,NA
