Published by;Author;Reference.doi;Local_id;Family;Genus;Species;Subspecies;Sex;Individuals;collector;taxonomist;m_plant_genus;m_plant_species;Other plants;Day;Month;Year;Start.date;End.date;Altitude (m);UTM;Latitude;Longitude;Coordinate.precision;Location;Province;Country;Notes;editor
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Heliotaurus;Heliotaurus ruficolli;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Heliotaurus;Heliotaurus ruficolli;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthaxia;Anthaxia parallela;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthaxia;Anthaxia dimidiata;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthaxia;Anthaxia dimidiata;;;;J. Herrera;Cobos, A.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Acmaeodera;Acmaeodera;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Acmaeodera;Acmaeodera;;;;J. Herrera;Cobos, A.;Helichrysum;Helichrysum picardii;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Malthodes;Malthodes sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Nustera;Nustera distigma;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Nustera;Nustera distigma;;;;J. Herrera;Cobos, A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Deilus;Deilus sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Deilus;Deilus sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Coptocephala;Coptocephala unifasciata;;;;J. Herrera;Cobos, A.;Thymus;Thymus mastichina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Coptocephala;Coptocephala unifasciata;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Coptocephala;Coptocephala scopolina;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
