Published by;Author;Reference.doi;Local_id;Family;Genus;Species;Subspecies;Sex;Individuals;collector;taxonomist;m_plant_genus;m_plant_species;Other plants;Day;Month;Year;Start.date;End.date;Altitude (m);UTM;Latitude;Longitude;Coordinate.precision;Location;Province;Country;Notes;editor
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Tychius;Tychius sp.;;;;J. Herrera;Cobos, A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lobonyx;Lobonyx aeneus;;;;J. Herrera;Cobos, A.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lobonyx;Lobonyx aeneus;;;;J. Herrera;Cobos, A.;Helianthemum;Helianthemum croceum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lobonyx;Lobonyx aeneus;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lobonyx;Lobonyx aeneus;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lobonyx;Lobonyx aeneus;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Thymus;Thymus mastichina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Helianthemum;Helianthemum croceum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Osyris;Osyris alba;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Helichrysum;Helichrysum picardii;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Anthrenus;Anthrenus sp.;;;;J. Herrera;Cobos, A.;Rubus;Rubus ulmifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Attagenus;Attagenus sp.;;;;J. Herrera;Cobos, A.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Cardiophorus;Cardiophorus bipunctatus;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Malachius;Malachius sp.;;;;J. Herrera;Cobos, A.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Malachius;Malachius sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Malachius;Malachius sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mylabrix;Mylabrix sp.;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Chasmatopterus;Chasmatopterus sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Chasmatopterus;Chasmatopterus sp.;;;;J. Herrera;Cobos, A.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Hymenoplia;Hymenoplia sp.;;;;J. Herrera;Cobos, A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mordellistena;Mordellistena sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mordellistena;Mordellistena sp.;;;;J. Herrera;Cobos, A.;Helianthemum;Helianthemum croceum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mordellistena;Mordellistena sp.;;;;J. Herrera;Cobos, A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mordellistena;Mordellistena sp.;;;;J. Herrera;Cobos, A.;Osyris;Osyris alba;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Mordellistena;Mordellistena sp.;;;;J. Herrera;Cobos, A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius argentifrons;;;;J. Herrera;Báez, J., Bowden, J.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius ater;;;;J. Herrera;Báez, J., Bowden, J.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius ater;;;;J. Herrera;Báez, J., Bowden, J.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius fulvescens;;;;J. Herrera;Báez, J., Bowden, J.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius torquatus;;;;J. Herrera;Báez, J., Bowden, J.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius torquatus;;;;J. Herrera;Báez, J., Bowden, J.;Rosmarinus;Rosmarinus officinalis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Bombylius;Bombylius torquatus;;;;J. Herrera;Báez, J., Bowden, J.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Dischistus;Dischistus senex;;;;J. Herrera;Báez, J., Bowden, J.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Conophorus;Conophorus fuminervis;;;;J. Herrera;Báez, J., Bowden, J.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Conophorus;Conophorus fuminervis;;;;J. Herrera;Báez, J., Bowden, J.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lomatia;Lomatia infernalis;;;;J. Herrera;Báez, J., Bowden, J.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Lomatia;Lomatia infernalis;;;;J. Herrera;Báez, J., Bowden, J.;Thymus;Thymus mastichina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Exoprosopa;Exoprosopa italica;;;;J. Herrera;Báez, J., Bowden, J.;Helichrysum;Helichrysum picardii;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Petrorossia;Petrorossia sp.;;;;J. Herrera;Báez, J., Bowden, J.;Myrtus;Myrtus communis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Petrorossia;Petrorossia sp.;;;;J. Herrera;Báez, J., Bowden, J.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Cistus;Cistus libanotis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Rubus;Rubus ulmifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Thymus;Thymus mastichina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Helichrysum;Helichrysum picardii;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Asparagus;Asparagus aphyllus;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Erica;Erica ciliaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Calluna;Calluna vulgaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Halimium;Halimium halimifolium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Phthiria;Phthiria sp.;;;;J. Herrera;Báez, J., Bowden, J.;Rosmarinus;Rosmarinus officinalis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Rosmarinus;Rosmarinus officinalis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Halimium;Halimium commutatum;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Lavandula;Lavandula stoechas;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Armeria;Armeria velutina;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Osyris;Osyris quadripartita;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Rubus;Rubus ulmifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Erica;Erica ciliaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Ulex;Ulex parviflorus;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis tenax;;;;J. Herrera;Marcos, M. A.;Calluna;Calluna vulgaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis arbustorum;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis pratorum;;;;J. Herrera;Marcos, M. A.;Cistus;Cistus salvifolius;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis pratorum;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalis;Eristalis pratorum;;;;J. Herrera;Marcos, M. A.;Calluna;Calluna vulgaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalodes;Eristalodes taeniops;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalodes;Eristalodes taeniops;;;;J. Herrera;Marcos, M. A.;Asparagus;Asparagus aphyllus;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;;Eristalodes;Eristalodes taeniops;;;;J. Herrera;Marcos, M. A.;Calluna;Calluna vulgaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus balteatus;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus balteatus;;;;J. Herrera;Marcos, M. A.;Smilax;Smilax aspera;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus balteatus;;;;J. Herrera;Marcos, M. A.;Calluna;Calluna vulgaris;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus auricollis;;;;J. Herrera;Marcos, M. A.;Rosmarinus;Rosmarinus officinalis;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus auricollis;;;;J. Herrera;Marcos, M. A.;Daphne;Daphne gnidium;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus auricollis;;;;J. Herrera;Marcos, M. A.;Smilax;Smilax aspera;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
Journal of Ecology (1988), 76, 274-287;Herrera, J.;;;Syrphidae;Episyrphus;Episyrphus auricollis;;;;J. Herrera;Marcos, M. A.;Ulex;Ulex minor;;NA;NA;1983;NA;NA;;;36.9625755;-6.42035071;;Doñana National Park;Huelva;Spain;Year from 1982-1984;Blake
