"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08094139,-2.8188463,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_33","Ainhoa Magrach",NA,NA,"24_Magrach_20"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08098949,-2.81890707,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_34","Ainhoa Magrach",NA,NA,"24_Magrach_21"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08098949,-2.81890707,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_35","Ainhoa Magrach",NA,NA,"24_Magrach_22"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08096005,-2.81888838,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_37","Ainhoa Magrach",NA,NA,"24_Magrach_23"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08097377,-2.81884824,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_38","Ainhoa Magrach",NA,NA,"24_Magrach_24"
"Bombus",NA,"terrestris",NA,"Spain","Bizkaia","Orozko",43.081038965583,-2.81892356590864,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_39","Ainhoa Magrach",NA,NA,"24_Magrach_25"
"Bombus",NA,"terrestris",NA,"Spain","Bizkaia","Orozko",43.08095843,-2.81886093,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_40","Ainhoa Magrach",NA,NA,"24_Magrach_26"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08101526,-2.81879945,"<1km",2020,"05","17",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_41","Ainhoa Magrach",NA,NA,"24_Magrach_27"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07817648,-2.81056261,"<1km",2020,"05","18",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_44","Ainhoa Magrach",NA,NA,"24_Magrach_28"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07806197,-2.81040421,"<1km",2020,"05","18",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_45","Ainhoa Magrach",NA,NA,"24_Magrach_29"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07806065,-2.81038693,"<1km",2020,"05","18",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_47","Ainhoa Magrach",NA,NA,"24_Magrach_30"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.078027,-2.81036551,"<1km",2020,"05","18",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_48","Ainhoa Magrach",NA,NA,"24_Magrach_31"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.078065,-2.81036011,"<1km",2020,"05","18",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_49","Ainhoa Magrach",NA,NA,"24_Magrach_32"
"Bombus",NA,"terrestris",NA,"Spain","Bizkaia","Orozko",43.07606731,-2.825079,"<1km",2020,"05","19",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lathyrus linifolius","BC3_51","Ainhoa Magrach",NA,NA,"24_Magrach_33"
"Bombus",NA,"terrestris",NA,"Spain","Bizkaia","Orozko",43.0555662923092,-2.85761617863863,"<1km",2020,"05","21",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Scorzonera humilis ","BC3_65","Ainhoa Magrach",NA,NA,"24_Magrach_34"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08099249,-2.81889022,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_77","Ainhoa Magrach",NA,NA,"24_Magrach_35"
"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08095843,-2.81886093,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_84","Ainhoa Magrach",NA,NA,"24_Magrach_36"
"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08095843,-2.81886093,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_88","Ainhoa Magrach",NA,NA,"24_Magrach_37"
"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08106808,-2.81887066,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_91","Ainhoa Magrach",NA,NA,"24_Magrach_38"
"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08100486,-2.81889434,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_92","Ainhoa Magrach",NA,NA,"24_Magrach_39"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08094663,-2.81900015,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_99","Ainhoa Magrach",NA,NA,"24_Magrach_40"
"Bombus",NA,"lapidarius",NA,"Spain","Bizkaia","Orozko",43.08096005,-2.81888838,"<1km",2020,"05","22",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_106","Ainhoa Magrach",NA,NA,"24_Magrach_41"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07801829,-2.81041914,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_112","Ainhoa Magrach",NA,NA,"24_Magrach_42"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07806065,-2.81038693,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_113","Ainhoa Magrach",NA,NA,"24_Magrach_43"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07812753,-2.81050843,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_114","Ainhoa Magrach",NA,NA,"24_Magrach_44"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07806856,-2.8104906,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_115","Ainhoa Magrach",NA,NA,"24_Magrach_45"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07803835,-2.81034643,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_116","Ainhoa Magrach",NA,NA,"24_Magrach_46"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07804534,-2.81035417,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_117","Ainhoa Magrach",NA,NA,"24_Magrach_47"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07820485,-2.81051492,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_118","Ainhoa Magrach",NA,NA,"24_Magrach_48"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07811263,-2.81039701,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_119","Ainhoa Magrach",NA,NA,"24_Magrach_49"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.07808953,-2.81051383,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_120","Ainhoa Magrach",NA,NA,"24_Magrach_50"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.0781175,-2.81054479,"<1km",2020,"05","24",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Ajuga reptans","BC3_121","Ainhoa Magrach",NA,NA,"24_Magrach_51"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.0759455533569,-2.82516514254564,"<1km",2020,"05","28",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Lotus corniculatus","BC3_189","Ainhoa Magrach",NA,NA,"24_Magrach_52"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08087042,-2.81887645,"<1km",2020,"05","29",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_205","Ainhoa Magrach",NA,NA,"24_Magrach_53"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08087811,-2.8188701,"<1km",2020,"05","29",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_207","Ainhoa Magrach",NA,NA,"24_Magrach_54"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08089714,-2.81898369,"<1km",2020,"05","29",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_208","Ainhoa Magrach",NA,NA,"24_Magrach_55"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08091388,-2.81892667,"<1km",2020,"05","29",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_209","Ainhoa Magrach",NA,NA,"24_Magrach_56"
"Bombus",NA,"pascuorum",NA,"Spain","Bizkaia","Orozko",43.08094195,-2.81898965,"<1km",2020,"05","29",NA,NA,"Paula Dominguez","Paula Dominguez",0,0,0,1,NA,"Vicia pyrenaica","BC3_211","Ainhoa Magrach",NA,NA,"24_Magrach_57"
