"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","26","22-5-2010","31-5-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_12"
"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","13","3-6-2010","22-6-2010","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_13"
"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","26","23-5-2011","31-5-2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_14"
"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","9","1-6-2011","14-6-2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_15"
"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","28","24-5-2012","31-5-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_16"
"Anthophora",NA,"leucophaea",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","10","1-6-2012","18-6-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_17"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","26","23-5-2010","29-5-2010","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_18"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","11","2-6-2010","23-6-2010","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_19"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","23","23-5-2011","23-5-2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_20"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","13-6-2011","13-6-2011","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_21"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","27","24-5-2012","31-5-2012","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_22"
"Anthophora",NA,"retusa",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","10","5-6-2012","18-6-2012","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_23"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","5","5-6-2010","5-6-2010","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_24"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","30","30-5-2011","30-5-2011","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_25"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","12","4-6-2011","26-6-2011","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_26"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","31","31-5-2012","31-5-2012","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_27"
"Apis",NA,"mellifera",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","20","20-6-2012","20-6-2012","J. Valverde","J. Valverde",0,0,1,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_28"
"Bombus",NA,"pascuorum",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","12-6-2011","14-6-2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_29"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","22","17-5-2011","27-5-2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_30"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","3-6-2011","24-6-2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_31"
"Ceratina",NA,"callosa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","26","24-5-2011","29-5-2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_32"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","25","22-5-2010","31-5-2010","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_33"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","8","1-6-2010","25-6-2010","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_34"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"07","2","2-7-2010","2-7-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_35"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","24","23-5-2011","25-5-2011","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_36"
