"Amegilla",NA,"albigena",NA,"Portugal","Leiria","Penedos ",39.839706,-8.64357,"<1km",2019,8,11,"2019-08-11","2019-08-11","H. Gaspar, P.Ferreira","H. Gaspar ",NA,1,NA,0,NA,NA,"532","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_1"
"Amegilla",NA,"quadrifasciata",NA,"Portugal","Leiria","Vérigo",39.94155,-8.581331,"<1km",2017,8,8,"2017-08-08","2017-08-08","H. Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"158","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_2"
"Andrena",NA,"albopunctata",NA,"Portugal","Leiria","Vérigo",39.942318,-8.581725,"<1km",2019,4,22,"2019-04-22","2019-04-22","H. Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Cistus sp.","438","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_3"
"Andrena",NA,"albopunctata",NA,"Portugal","Leiria","Vérigo",39.941636,-8.581751,"<1km",2019,6,29,"2019-06-29","2019-06-29","H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,"Apiaceae?","503","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_4"
"Andrena",NA,"angustior",NA,"Portugal","Aveiro","Branca",40.736853,-8.483334,"<1km",2019,3,11,"2019-03-11","2019-03-12","H. Gaspar","T. Wood 2020",4,NA,NA,0,NA,NA,"18,24,33,40 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro","Andrena angustior s.s.","ADD AN \"A\" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_5"
"Andrena",NA,"angustior",NA,"Portugal","Aveiro","Branca",40.736853,-8.483334,"<1km",2019,4,2,"2019-04-02","2019-04-03","H. Gaspar","T. Wood 2020",NA,2,NA,0,NA,NA,"55,164 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro","Andrena angustior s.s.","ADD AN \"A\" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_6"
"Andrena",NA,"colletiformis",NA,"Portugal","Leiria","São Vicente",39.844266,-8.642109,"<1km",2019,7,19,"2019-07-19","2019-07-19","H. Gaspar, P.Ferreira","T. Wood 2020",NA,1,NA,0,NA,"Lamiaceae or Poaceae","517","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_7"
"Andrena",NA,"flavipes",NA,"Portugal","Aveiro","Eixo e Eirol",40.598941,-8.543732,"<1km",2019,4,2,"2019-04-02","2019-04-03","H. Gaspar","T. Wood 2020",2,NA,NA,0,NA,NA,"116,132 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN \"A\" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_8"
"Andrena",NA,"flavipes",NA,"Portugal","Aveiro","Mogofores",40.462838,-8.481978,"<1km",2019,5,24,"2019-05-24","2019-05-25","H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"383 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN \"A\" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_9"
"Andrena",NA,"flavipes",NA,"Portugal","Porto","Guilhabreu",41.290484,-8.649053,"<1km",2019,5,23,"2019-05-23","2019-05-24","H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"853 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN \"A\" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar","18_Castro_etal_10"
