"Ammobates",NA,"muticus",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","M. Schwarz",2,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_1"
"Ammobates",NA,"muticus",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor",37.2560271303753,-6.41782550789535,NA,2003,"04","18",NA,NA,"S.P.M. Roberts","M. Schwarz",1,1,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_2"
"Colletes",NA,"acutus",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","04",NA,NA,"S.P.M. Roberts","M. Kuhlmann",1,NA,NA,NA,NA,"yellow-flowered Brassicaceae",NA,"Stuart Roberts",NA,"At flowers of sp. indet. yellow-flowered Brassicaceae.","28_Roberts_3"
"Colletes",NA,"acutus",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Matasgordas",37.1194928367639,-6.43822803269698,NA,2003,"04","05",NA,NA,"S.P.M. Roberts","M. Kuhlmann",NA,16,NA,NA,NA,"yellow-flowered Brassicaceae",NA,"Stuart Roberts",NA,"At flowers of yellow-flowered Brassicaceae (sp. indet.).","28_Roberts_4"
"Dioxys",NA,"cinctus",NA,"Spain",NA,"Matalascañas (nw); Parque Nacional de Coto Doñana - Duna del Asperillo",37.0327060701058,-6.59739612445341,NA,2003,"04","09",NA,NA,"S.P.M. Roberts","M. Schwarz",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_5"
"Dioxys",NA,"pumilus",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","M. Schwarz",NA,1,NA,NA,NA,"sp. indet. Carduuae",NA,"Stuart Roberts",NA,"ex. dead stem of sp. indet. Carduuae (Asteraceae)","28_Roberts_6"
"Eucera",NA,"chrysopyga",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","S. Risch",NA,7,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_7"
"Eucera",NA,"codinai",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","06",NA,NA,"S.P.M. Roberts","S. Risch",2,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_8"
"Eucera",NA,"codinai",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","10",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_9"
"Eucera",NA,"collaris",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor",37.2560271303753,-6.41782550789535,NA,2003,"04","18",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_10"
"Eucera",NA,"collaris",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Matasgordas",37.1194928367639,-6.43822803269698,NA,2003,"04","04",NA,NA,"S.P.M. Roberts","S. Risch",NA,1,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_11"
"Eucera",NA,"dalmatica",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","S. Risch",NA,1,NA,NA,NA,NA,NA,"Stuart Roberts",NA,"A very fresh specimen","28_Roberts_12"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor",37.2560271303753,-6.41782550789535,NA,2003,"04","18",NA,NA,"S.P.M. Roberts","S. Risch",4,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_13"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor",37.2560271303753,-6.41782550789535,NA,2003,"04","20",NA,NA,"S.P.M. Roberts","S. Risch",2,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_14"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Matasgordas",37.1194928367639,-6.43822803269698,NA,2003,"04","05",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_15"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","09",NA,NA,"S.P.M. Roberts","S. Risch",NA,2,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_16"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","10",NA,NA,"S.P.M. Roberts","S. Risch",4,2,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_17"
"Eucera",NA,"elongatula",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","11",NA,NA,"S.P.M. Roberts","S. Risch",2,3,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_18"
"Eucera",NA,"eucnemidea",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","S. Risch",NA,1,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_19"
"Eucera",NA,"eucnemidea",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","11",NA,NA,"S.P.M. Roberts","S. Risch",NA,2,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_20"
"Eucera",NA,"hispaliensis",NA,"Spain",NA,"Matalascañas (n); Parque Nacional de Coto Doñana - Nr. Laguna del Taraje",36.9907756676903,-6.48749242920747,NA,2003,"04","10",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,"Lavandula stoechas",NA,"Stuart Roberts",NA,"At flowers of Lavandula stoechas.","28_Roberts_21"
"Eucera",NA,"nigrilabris",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","11",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,"Raphanus raphanistrum",NA,"Stuart Roberts",NA,"At flowers of Raphanus raphanistrum.","28_Roberts_22"
"Eucera",NA,"nigrilabris",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","11",NA,NA,"S.P.M. Roberts","S. Risch",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_23"
"Lasioglossum",NA,"pauperatum",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor",37.2560271303753,-6.41782550789535,NA,2003,"04","20",NA,NA,"S.P.M. Roberts","A.W. Ebmer",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_24"
"Lasioglossum",NA,"prasinum",NA,"Spain",NA,"Coto Doñana",36.9907756676903,-6.48749242920747,NA,1957,"05","01",NA,NA,"G. Mountfort","A. Pauly",1,NA,NA,NA,NA,NA,NA,"Stuart Roberts",NA,"Data extracted 9 May 2003; GR Else. Accession number: B.M. 1957-386. **DATE UNCERTAIN** (Date range 05-06/1957).","28_Roberts_25"
"Nomada",NA,"basalis",NA,"Spain",NA,"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido",37.1335091446843,-6.46139212781948,NA,2003,"04","19",NA,NA,"S.P.M. Roberts","M. Schwarz",NA,1,NA,NA,NA,NA,NA,"Stuart Roberts",NA,NA,"28_Roberts_26"
"Nomada",NA,"bifasciata",NA,"Spain",NA,"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey",37.1419084010387,-6.43296908215856,NA,2003,"04","10",NA,NA,"S.P.M. Roberts","M. Schwarz",1,NA,NA,NA,NA,"Chrysanthemum segetum",NA,"Stuart Roberts",NA,"At flowers of Chrysanthemum segetum.","28_Roberts_27"
